Abe,[eib],"n.亚伯, Abraham 的昵称"
daughter,[5dC:tE],"n.女儿//adj.女儿的, 如女儿的, 关系如女儿的"
dead,[ded],"adj.死的, 无感觉的, 呆板的, 不流动的, (语言、习惯)废弃了的, 熄灭的//n.死者//adv.完全地, 绝对的, 突然的"
deep,[di:p],"adj.深的, 纵深的, 远离中心的, 深奥的, 难懂的, (指人)诡计多端的, 低沉的(声音)//adv.深入地, 迟//n.深渊, 深处"
diary,[5daiEri],n.日记
did,[did],vbl.do的过去式
different,[5difrEnt],adj.不同的
difficult,[5difikElt],"adj.困难的, 艰难的, (人)难相处的"
dinner,[5dinE],"n.正餐, 宴会"
do one's best,[],v.尽全力
do one's lessons,[],做(预习或复习)功课
do some shopping,[],买东西
do some washing,[],洗衣服
each,[i:tF],"adj.各自的, 每个的, 每一//pron.各, 各自, 每个//adv.每个"
each other,[],"adv.彼此, 互相"
easy,[5i:zi],"adj.容易的, 安逸的, 舒适的, 宽裕的, 小康的, 从容的, 宽容的, 流畅的//adv.不费力的, 轻松, 悠闲, 慢慢地//n.短暂的休息"
eat,[i:t],"v.吃, 腐蚀"
even,[5i:vEn],"adj.平的, 平滑的, 偶数的, 一致的, 平静的, 恰好的, 平均的, 连贯的//adv.[加强语气]甚至(...也), 连...都, 即使, 恰好, 正当//vt.使平坦, 使相等//vi.变平, 相等//n.偶数, 偶校验"
everyone,[5evriwQn],"pron.每个人, 人人"
everything,[5evriWiN],"pron.每件事物, 万事"
except,[ik5sept],"vt.除, 把...除外, 反对, 不计//vi.反对//prep.除了...之外, 若不是, 除非//conj.只是, 要不是"
exciting,[ik5saitiN],"adj.令人兴奋的, 使人激动的"
expensive,[iks5pensiv],"adj.花费的, 昂贵的"
far away,[],"遥远, 深远"
farm,[fB:m],"n.农场, 农庄, 农田//vt.耕种//vi.种田, 务农, 经营农场, 从事畜牧"
film,[film],"n.薄膜, 膜层, 胶卷, 影片, 薄雾, 轻烟, 电影//vt.在...上覆以薄膜, 拍成电影//vi.生薄膜, 变成朦胧, 拍电影"
finish,[5finiF],"n.完成, 结束, 磨光, 末道漆, 完美//vt.完成, 结束, 用完, 毁掉, 使完美//vi.结束, 终结, 停止, 终止"
fish,[fiF],"n.鱼, 鱼肉, 鱼类, 接合板//vt.钓, 钓鱼, 查出, 用接合板连接//vi.捕鱼, 钓鱼, 用钩捞取, 间接探听, 拉摸索寻找"
fit,[fit],"n.突然发作, 适合, 痉挛, 一阵//adj.合适的, 恰当的, 健康的, ,准备好的//vt.适合, 安装, 使合身, 使适应, 使合格//vi.适合, 符合"
fly,[flai],"n.苍蝇, 两翼昆虫, 飞行//vi.飞翔, 飘扬, 溃逃//vt.飞越, 使飘扬, 逃脱//adj.机敏的, 敏捷的"
food,[fu:d],"n.食物, 养料"
forest,[5fCrist],"n.森林, 林木, <英>御猎场//adj.森林的, 住在森林中的//vt.植树于"
forget,[fE5get],"vt.忘记, 忽略//vi.忘记, 忘形, 忘乎所以"
free,[fri:],"adj.自由的, 大方的, 免费的, 免税的, 丰富的, 空闲的//vt.释放, 使自由//adv.自由地, 免费"
frog,[frCg],n.青蛙//vi.捕蛙
fun,[fQn],"n.娱乐, 玩笑, 嬉笑, 有趣的人或事物//vi.开玩笑//adj.供娱乐用的"
gate,[geit],n.大门
geography,[dVi5CgrEfi; 5dViCg-],"n.地理学, 地理"
get,[get],"vt.获得, 变成, 收获, 使得, 挣得, 受到(惩罚,打击等), 染上, 抓住//vi.到达, 成为, 变得//n.生殖, 幼兽"
give a talk,[],做讲演(报告)
go fishing,[],v.去钓鱼
go out for a walk,[],出去散步
go to the cinema,[],上电影院，去看电影
gone,[gCn; gC:n],"adj.离去的, 死去的, 深重的, 入迷的, 用光的//vbl.go的过去分词"
great,[greit],"adj.伟大的, 大的, 强烈的, 非常的, 主要的, 大写的, 重大的, 崇高的//adv.顺利地, 得意地//n.全部, 大人物, 大师"
great fun,[],有趣的人[事物]
grow up,[],"v.长大, 成人, 崛起"
guard,[gB:d],"n.守卫, 警戒, 护卫队, 防护装置//vt.保卫, 看守, 当心//vi.防止, 警惕, 警卫"
half an hour,[],半小时
hard,[hB:d],"adj.硬的, 坚固的, (问题, 工作等)困难的, 艰苦的, 猛烈的, 确实的//adv.努力地, 辛苦地, 坚硬地, 牢固地, 接近地, 猛烈地"
have a look,[],看一看
have a match,[],举行(进行)一场比赛
have a meeting,[],开会
have a swim,[],游泳
have to,[],"[have got to]  不得不, 只好"
herself,[hE:5self; hE5self],"pron.她自己, 她本人亲自"
hi,[hai],"int.嗨!(引人注意时的喊声,打招呼) 失常的"
himself,[him5self],"pron.他自己, 他亲自"
history,[5histEri],"n.历史, 历史学, 过去的事(的记载), 来历, 历史记录"
hold,[hEuld],"n.把握, 把持力, 柄, 控制, 监禁, 掌握, 货舱//vt.拿着, 保存, 支持, 占据, 持有, 拥有//vi.支持, 保持, 有效//n.控制, 保留"
hold one's breath,[],v.屏息
holiday,[5hClEdi; 5hClidei],"n.假日, 节日, 假期"
hospital,[5hCspitl],n.医院
how much,[],多少
hungry,[5hQNgri],"adj.饥饿的, 渴望的, 荒年的, 不毛的"
if,[if],"conj.(表条件)如果, (表假设)要是, 是否, 即使//n.条件, 设想"
ill,[il],"adj.有病的, 坏的, 恶意的, 生病"
in the day,[],在白天
in time,[],adv.及时
indeed,[in5di:d],"adv.真正地, (加强语气)确实, (表示让步)当然, 甚至, 真的吗?"
insect,[5insekt],"n.昆虫, 卑鄙的人//adj..虫的, 虫子一样的, 对付虫子的"
instructive,[in5strQktiv],"adj.有益的, 教育性的"
into,[5intu; 5intE],"prep.到...里, 进入到...之内, 成为...状况, 深入...之中"
jump,[dVQmp],"n.跳跃, 上涨, 惊跳//vt.跳跃, 跃过, 突升, 使跳跃//vi.跳跃, 暴涨"
just,[dVQst],"adj.正义的, 公正的, 正确的, 应得的, 有充分根据的//adv.正好, 仅仅, 刚才, 只是, 不过"
just then,[],"就在这时候, 那时候"
keep,[ki:p],"n.保持, 保养, 生计, 监狱, [史]要塞//vt.保持, 保存, 遵守, 经营, 看守, 拘留, 维持, 记(日记,帐等)//vi.保持, 继续不断"
keep up with,[],v.跟上
kept,[kept],vbl.keep的过去式和过去分词//adj.受人资助控制的
kill,[kil],"v.杀死, 毁掉, 杀伤"
kilometre,[`kilEumi:tE(r)n.今晚],n.公里
king,[kiN],"n.国王, 君主, (部落的)首领, 纸牌中的K//vt.立...为王//vi.做国王, 统治"
kite,[kait],"n.风筝, (微风时使用的)高而轻的帆, <俚>[商]空头支票, 试探性行动//vi.象风筝一样飞, 轻快地移动, 使用空头支票//vt.使上升, 骗钱"
land,[lAnd],"n.陆地, (书面语)国家、国土, 地带, [复数]地产, 田产//vi.靠岸, 登陆, 登岸, 到达//vt.使上岸, 使登陆, 使到达, 使处于"
last,[lB:st],"adj.最后的, 临终的, 末尾的, 最近的, 结论性的//vi.持续, 支持, 维持//vt.使维持, 楦//adv.最后, 后来//n.最后, 末尾, 临终, 鞋楦头"
last year,[],去年
late,[leit],"adj.迟的, 晚(期)的, 已故的, 新近的//adv.晚, 迟, 最近, 在晚期"
laugh,[lB:f],"vi.笑, 讥笑//n.笑, 笑声"
learn,[lE:n],"vi.学习, 听到, 获悉//vt.学习, 学会, 认识到"
leave,[li:v],"n.许可, 同意, 请假, 休假//vt.离开, 动身, 剩下, 遗忘, 委托, 遗弃//vi.出发, 离开, 生叶, 动身"
left,[left],"adj.左边的, 左倾的, 左侧的, 左派的, 左翼的//adv.在左面//n.左, 左边, 左派//vbl.leave的过去式和过去分词"
lend,[lend],"v.借给, 贷(款)果, (表假设)要是, 是否, 即使//n.条件, 设想"
library,[5laibrEri],"n.图书馆, 藏书室, 库"
light,[lait],"n.光, 日光, 发光体, 灯//adj.轻的, 发光的, 明亮的, 浅的vt.点燃, 照亮//adv.轻地//vi.点着, 变亮"
like,[laik],"n.爱好, 同样的人(或物)//adj.相似的, 同样的//vt.喜欢, 希望, 愿意//vi.喜欢, 希望//prep.象, 如同//adv.可能"
living,[5liviN],"n.生活, 生计, 生存空间, 居住面积//adj.活的, 起作用的, 逼真的, 现存的"
long,[lCN],"adj.长的, 长期的, 做多头的, 高的//vi.渴望, 热望//adv.长期地, 始终//n.长时间, (市场上)做多头的人, [语音]长音节"
look after,[],"v.目送, 寻求, 照顾, 关心"
look through,[],"v.看穿, 审核, 浏览, 温习, 从...中显露//看穿,彻底审查"
love,[lQv],"n.爱, 热爱, 爱情, 爱好, 性爱, 情人, 零//vt.爱, 热爱, 爱好, 爱慕//vi.爱"
madam,[5mAdEm],"n.女士, 夫人"
magazine,[7mAgE5zi:n],"n.杂志, 期刊, 军火库, 弹药库, (枪、炮的)弹仓, 胶卷盒"
make a noise,[],"(为某事而)吵吵嚷嚷// 成为众人谈论或注意的对象, 轰动一时"
make faces,[],扮鬼脸
make somebody happy,[],使某人高兴
match,[mAtF],"n.火柴, 比赛, 竞赛, 匹配, (足球, 捧球, 蓝球)比赛//v.相配, 相称, 比赛, 相比, 匹配"
may,[mei; me],"aux.可能, 也许, 可以, 祝, 愿//n.(May) 五月, 能, 可能"
meet,[mi:t],"n.会, 集会//adj.适宜的, 合适的//vt.遇见, (迎)接, 与(某人目光)相遇, (赴约)和...会面, (经介绍)与...相识, 对付//vi.相遇, 接触"
meeting,[5mi:tiN],"n.会议, 集会, 会见, 会战, 汇合点"
message,[5mesidV],"n.消息, 通讯, 讯息, 音讯, 差使, 广告词, 预言, 教训//vt.通知//vi.带信息"
milk,[milk],"n.乳, 牛奶//v.挤(奶)事, 奇袭//vt.使惊奇, 奇袭//adj.令人惊讶的"
mind,[maind],"n.头脑, 智力, 精神, 意见, 情绪//vi.介意, 照顾, 留心//vt.注意, 留意, 专心于, 照看, 介意"
moment,[5mEumEnt],"adj.片刻的, 瞬间的, 力矩的//n.瞬间"
monkey,[5mQNki],n.猴子
more,[mC:(r)? 更加; 超过; 多; 大大高于],"adj.更多的//n.更多//adv.更, 更多, 更加, 超过, 多, 大大高于//num.更多"
most,[mEust],"adj.最多的, 多数的, 大部分的//adv.最, 最多, 很, 十分, 最, 最大的, 其中大多数, 极其//n.大多数, 大部分"
move,[mu:v],"n.移动, 迁居, 步骤//vt.移动, 感动, 鼓动//vi.移动, 离开, 运行, 迁移, 搬家"
move away,[],离开
move on,[],v.继续前进
museum,[mju(:)5ziEm],n.博物馆
music,[5mju:zik],"n.音乐, 乐曲"
myself,[mai5self],"pron.我自己, 我亲自, 我本人"
near,[niE],"adj.亲近的, 亲密的, 近, (车, 马等)左侧的, 吝啬的//adv.(时间, 空间方面)近, 不远//prep.在...近旁, 近...//v.接近, 走近"
nearly,[5niEli],"adv.几乎, 密切地"
need,[ni:d],"n.需要, 必需, 必需品, 要求, 贫困//vt.需要//modal v.必要, 必须"
newspaper,[5nju:speipE],n.报纸
nobody,[5nEubEdi],"pron.谁也不, 无人, 任何人, 没有任何人"
noise,[nCiz],"n.喧闹声, 噪声, 噪音"
noon,[nu:n],n.中午
not as...as,[],与…不一样
not...any longer,[],不再
not...any more,[],不再
notice,[5nEutis],"n.通知, 布告, 注意//v.注意到"
obey,[E5bei],"v.服从, 顺从"
office,[5Cfis],"n.办公室, 办事处, 事务所, <英>政府机关, 部, 公职, 职责, 帮助"
once,[wQns],"n.adv.一次, 从前, 曾经//conj.一旦"
one day,[],"adv.有一天, 总有一天"
ourselves,[7auE5selvz],pron.我们自己
palace,[5pAlis],"n.宫, 宫殿"
part,[pB:t],"n.部分, 局部, 零件, 角色//vt.分开, 分离, 分配//vi.分开, 断裂, 分手//adv.部分地, 有几分//adj.部分的, 局部的"
party,[5pB:ti],"n.党, 政党, 随行人员, [律]当事人, 社交会"
pass,[pB:s],"n.经过, 关口, 途径, 护照, 通行证, 入场券, 传球, 及格//vt.通过, 审查通过, 忽略, 传递//vi.经过, 变化, 流通, 宣判, 被忽略, 终止, 传递, 不叫牌"
penny,[5peni],"n.便士, <美> 分"
physical education,[],n.体育
physics,[5fiziks],n.物理学
pile,[pail],"n.堆, 大堆, 高大建筑, <美口>大量钱财, <美>[核]反应堆, [电]电池组//vi.堆起, 堆积, 积累, 挤//vt.堆于, 累积, 堆叠, 打桩于, 用桩支撑"
piles and piles of,[],一堆堆的
playground,[5pleigraund],"n.运动场, 操场"
pocket,[5pCkit],"n.衣袋, 口袋, 钱, 财//vt.装...在口袋里, 隐藏(感情), 据为己有, 击...入袋//adj.袖珍的, 小型的"
politics,[5pClitiks],"n.政治, 政治学, 政纲, 政见"
potato,[pE5teitEu],n.马铃薯
pound,[paund],"n.磅, 英镑, 重击, 鱼塘, 兽栏, 拘留所//vt.强烈打击, 捣烂, 监禁, 关入栏//vi.连续重击, 连续敲打, 苦干"
problem,[5prCblEm],"n.问题, 难题"
put up,[],"v.举起, 抬起, 进行, 提供, 表现出, 建造, 提名, 推举"
put...down,[],把…放下
quarter,[5kwC:tE],"n.四分之一,方向, 地区, 方面, 季, 季度, 一刻钟//num.四分之一, 刻"
question,[5kwestFEn],"n.问题, 疑问, 询问//v.询问, 审问, 怀疑"
quickly,[5kwikli],adv.很快地
reach,[ri:tF],"n.延伸, 区域, 河段, 范围, (车子前后轴的)联接杆, 横风行驶//vt.到达, 达到, 伸出, 影响//vi.达到, 延伸, 伸出手, 传开"
really,[5riEli],"adv.真正地, 实在地, (表语气)真的吗?"
remember,[ri5membE],"vt.回忆起, 铭记, 纪念//vi.记得"
renew,[ri5nju:],"vt.使更新, 使恢复, 重申, 补充, 续借, 复兴//vi.更新, 重新开始"
repair,[ri5pZE],"n.修理, 修补//vt.修理, 修补, 补救, 纠正"
restaurant,[5restEr:N; -rCnt],"n.餐馆, 饭店"
return,[ri5tE:n],"n.回来, 返回, 来回票, 利润, 回答//adj.返回的, 回程的, 报答的, 反向的, 重现的//vi.回返, 归还//vt.归还, 回报, 报告, 获得, 回答, 返回"
right,[rait],"n.正义, 公正, 正确, 权利, 右边, 右派//adj.正当的, 正确的, 对的, 合适的, 恰当的, 健康的, 健全的, 正面的//adv.正当地, 正确地, 一直地, 直接地, 完全地, 彻底地, 在右边"
right now,[],立刻
rule,[ru:l],"n.规则, 惯例, 统治, 章程, 破折号, 准则, 标准, 控制//vt.规定, 统治, 支配, 裁决//vi.统治, 管辖, 裁定//n.规则, 水线"
run away,[],"v.潜逃, 失控"
run up,[],"v.向上跑, 赶制, 迅速积累, 抬高, 高涨, 高速运转, 助跑"
sad,[sAd],"adj.忧愁的, 悲哀的"
said,[sed],vbl.say的过去式和过去分词//adj.上述的
saw,[sC:],n.锯//v.锯//vbl.see的过去式
science,[5saiEns],"n.科学, 自然科学, 理科"
scientist,[5saiEntist],n.科学家
second,[5sekEnd],"n.秒, 片刻, 第二者, 第二人, 助手, 次货, 二等品//adj.另一个, 又一个//num.第二//vt.赞成, 支持"
shop,[FCp],"n.商店, 店铺//vi.买东西, 购货"
shop assistant,[],n.店员
shout,[Faut],"v.呼喊, 呼叫//n.呼喊, 呼叫"
shout at,[],对…大声叫嚷
show,[FEu],"n.表示, 展览, 炫耀, 外观, 假装//v.出示, 指示, 引导, 说明, 显示, 展出, 放映"
sir,[sE:; sE],"n.先生, 阁下"
size,[saiz],"n.大小, 尺寸, (衣服等)尺码//vt.依大小排列"
smell,[smel],"n.气味, 臭味, 嗅觉//v.嗅, 闻到, 散发(...的)气味, 有(...的)气味"
son,[sQn],"n.儿子, 女婿, (长者对年轻男子的称呼)孩子"
sorry,[5sCri],"adj.遗憾的, 对不起的, 可怜的, 抱歉的"
spaceship,[5speisFip],n.太空船
sports meet,[],运动会
stadium,[5steidiEm],n.露天大型运动场
start,[stB:t],"n.动身, 出发点, 开始, 惊起, 惊跳, 赛跑的先跑权, 优先地位//v.出发, 起程, 开始, 着手, 惊动, 惊起, 起动, 发动"
stay,[stei],"n.逗留, 延缓, 中止, 支柱//v.在, 暂住, 坚持, 止住, 抑制, 延缓, 停(下)i.结束, 终结, 停止, 终止"
stepmother,[5step7mQTE],n.继母
strict,[strikt],"adj.(～ with) 严格的, 严厉的, 严谨的, 精确的"
strong,[strCN],"adj.强, 强壮的, 坚固的, 浓的, 强烈的, 强大的, 强的, 强硬的"
subject,[5sQbdVikt],"n.题目, 主题, 科目, 学科, 国民, [语法]主语//adj.受他国统治的, 未独立的, 受制于...的, 受...影响的, 以...为条件的//vt.使屈从于...,使隶属"
sunny,[5sQni],"adj.阳光充足的, 照耀的, 快乐的"
surprise,[sE5praiz],"n.惊奇, 诧异, 惊人之事, 奇袭//vt.使惊奇, 奇袭//adj.令人惊讶的"
swim about,[],四处游动
table tennis,[],n.桌球
tail,[teil],"n.尾部, 尾巴, 尾状物, 后部, (常用复数)(硬币)反面辫子, 踪迹, 排的长队, 限定继承权//adj.在后面的, 从后面而来的, 限定继承的, 尾部的, 后面来的, 后部的//vt.为...装尾, 附于其后, 尾随, 跟踪, 使搭牢, 监视, 使架住//vi.成为散乱的行列, 跟踪, 嵌入, 船尾搁浅"
take a message for,[],给…捎个信儿
take care of,[],v.照顾
talk,[tC:k],"v.谈话, 讲, 谈论, 议论, 说服某人做某事//n.谈话, 会谈, 讲演, 讲话"
teach,[ti:tF],"v.讲授, 教授"
team,[ti:m],"n.队, 组"
telephone,[5telifEun],"n.电话, 电话机//v.打电话"
tennis,[5tenis],"n.网球运动//adj.网球的, 用于网球运动的//vi.打网球"
term,[tE:m],"n.学期, 期限, 期间, 条款, 条件, 术语"
the Capital Stadium,[],首都体育馆
the Great Wall,[],长城
the History Museum,[],历史博物馆
the Lincoln,[],林肯一家
the Science Museum,[],科学馆
the Summer Palace,[],颐和园
the next morning,[],第二天早晨(上午)
themselves,[TEm5selvz],"pron.他们自己, 她们自己, 它们自己, 他们亲自, 她们亲自, 它们亲自"
thing,[WiN],"n.东西, 物, 所有物, 用品, 事, 事情, 事件,事态"
think about,[],"v.考虑, 回想"
thousand,[5WauzEnd],"num.一千, 一千个//n.许多, 无数"
through,[Wru:],"prep.穿过, 通过, 从开始到结束, 经由, 以//adv.从头到尾, 自始至终, 直达地, 彻底, 完全//adj.直达的, 直通的"
throw,[WrEu],"n.投, 掷//v.扔, 抛, (指马)把骑者摔在地上, 使苦恼, 惊忧, 投掷"
ticket,[5tikit],"n.票, 入场券"
tiger,[5taigE],"n.[动]老虎, 虎, 凶暴的人"
time,[taim],"n.时间, 时侯, 时机, 节拍, 期限, 次数, 时期, 比赛限时//vt.安排...的时间, 记录...的时间, 计时, 定时//vi.打拍子, (...)合拍//adj.时间的, 记时的, 定时的, 定期的, 分期的//n.DOS命令：显示并允许改变系统时间"
tired,[5taiEd],"adj.疲劳的, 累的, 疲倦的"
together,[tE5geTE],"adv.共同, 一起, 合起来, 集拢地"
tomorrow,[tE5mCrEu; tu5mCrEu],"adv.明天见//n.明天, 未来"
tonight,[tE5nait],"adv.今晚, 今夜//n.今晚"
took,[tuk],"vbl.take的过去式// v.拿, 拿走, 取, 抓, 占领, 获得, 接受, 感受"
tooth,[tu:W],n.牙齿
town,[taun],"n.市镇, 城镇"
trust,[trQst],"vt.信任, 信赖, 盼望, 希望, 赊卖, 热望, 切望//n.(～ in) 信任, 信赖"
try,[trai],"n.尝试//v.试, 试图, 努力, 试验, 磨难, 考验, 审问"
try on,[],"v.试穿, 试验"
try one's best,[],v.尽力
turn on,[],"v.开启, 变得兴奋, 突然装出, 开始"
turn on the radio,[],打开收音机
understand,[7QndE5stAnd],"v.懂, 了解, 听说, 推定, 以为, 省略"
use,[ju:s],"vt.使用, 利用, 耗费//n.使用, 利用, 用途, 效用, 使用价值"
violin,[7vaiE5lin],"n.小提琴, 小提琴手"
visit,[5vizit],"n.拜访, 访问, 游览, 参观, (作客)逗留, 视察, 调查//vt.拜访, 访问, 参观, 视察, 降临//vi.访问, 参观, 闲谈"
volleyball,[5vClibC:l],n.排球
waiter,[5weitE],"n.侍者, 服务员"
walk on,[],继续行走
want,[wCnt],"vt.想要, 希望, 需要, 短缺, 缺少//n.需要, 短缺"
was,[wCz; wEz],vbl.be的过去式
wash,[wCF],"n.洗, 洗涤, 冲洗, 洗涤剂, 洼地, 洗的衣服, 冲积物//vt.洗, 洗涤, 洗清, 粉刷, 冲出, 弄湿, 流过, 镀金于//vi.洗涤, 洗澡, 被冲蚀, 漂浮//adj.耐洗的, (证券交易)虚假的"
way,[wei],"n.路, 路线, 路途, 习惯, 行业, 规模, 道路, 情形//adj.中途, 途中的//adv.远远地, 大大地, 非常"
were,[wE:; wE],vbl.be的过去式
while,[(h)wail],"n.一会儿, 时间//conj.当...的时候, 虽然//vt.消磨//prep.<古><方>直到"
whole,[hEul],"n.全部, 全体, 整体, 完全之体系//adj.所有的, 完整的, 完全的, 纯粹的, 未损伤的, 未打破的//adv.完全, 整个"
wide,[waid],"adj.宽的, 广阔的, 张大的, 远离目标的//adv.广阔地, 广大地, 远离目标地"
wife,[waif],n.妻子
will,[wil; wEl; El; l],"n.意志, 决心, 意向, 遗嘱//v.aux.将, 愿意, 必须"
windy,[5windi],"adj.有风的, 刮风的, 多风的, 风强的, 腹胀的, 吹牛的"
wish,[wiF],"n.愿望, 心愿, 请求, 所愿望的事物, 祝愿//v.希望, 想要, 但愿, 祝贺"
wood,[wud],"n.木头, 木材, 树木"
work hard at,[],努力学习
work out,[],"v.可以解决, 设计出, 作出, 计算出, 消耗完"
workroom,[],"n.工场间, 工作室"
world,[wE:ld],"n.世界, ...界, 世事, 世故, 社会//adj.世界的"
worried,[5wQrid],adj.闷闷不乐的
worry,[5wQri],"n.烦恼, 忧虑, 苦恼, 撕咬//vt.使烦恼, 使焦虑, 使苦恼, 撕咬, 困扰, 折磨//vi.烦恼, 担心, 撕咬, 挣扎着前进"
worry about,[],担心
