Alaska,[E5lAskE],"n.阿拉斯加州(美国州名)鞯? 暴风雨的, 恶劣的(天气)vt.弄脏//vi.变"
bend,[bend],"v.弯曲, 专心于, 屈服//n.弯曲"
bent,[bent],"n.倾向, 爱好"
besides,[bi5saidz],adv.此外//prep.除...之外
bill,[bil],"n.帐单, 钞票, 票据, 清单, 议案, 法案, 广告//vt.用海报宣传, 把...列成表, 给...开帐单"
bite,[bait],"n.咬, 咬伤, 一口, 刺痛//v.咬, 刺痛//abbr.[军] Built-In Test Equipment, 机内测试设备"
blanket,[5blANkit],n.毯子//vt.覆盖
bleed,[bli:d],"v.使出血, 放血"
block,[blCk],"n.木块, 石块, 块, 街区, 印版, 滑轮, 阻滞, (一)批//vt.防碍, 阻塞"
blow,[blEu],"n.殴打, 突然的打击//v.风吹, 吹气于, 叫, 喘气"
blow away,[],"v.吹走,驱散"
blow down,[],"v.吹倒,炸毁"
blow over,[],"v.经历, 被淡忘"
bookmark,[5bukmB:k],n.书签
bottom,[5bCtEm],"n.底, 底部, 尽头, 末端//adj.底部的//vt.装底, 查明真相, 测量深浅//vi.到达底部, 建立基础"
branch,[brB:ntF],"n.枝, 分枝, 分部, 分店, (学科)分科, 部门, 支流, 支脉//v.出现分歧"
breath,[breW],"n.呼吸, 气息, 气味, 空气, 微风, 暂停, 瞬间"
breathe,[bri:T],"v.呼吸, 发出"
bring down,[],"v.打倒, 击落, 打死, 降低"
bring up,[],"v.教育, 培养, 提出, (军队等)调上来, (船)抵达目的地"
broadcast,[5brC:dkB:st],"n.广播, 播音//v.播撒(种子), 广播//(无线电或电视)广播//播送,播放"
burn,[bE:n],"v.烧, 烧焦, 点(灯), 使感觉烧热//n.烧伤, 灼伤"
bury,[5beri],"vt.埋葬, 掩埋, 隐藏"
bush,[buF],n.灌木丛；矮树丛
by mistake,[],错误地
call in,[],"v.召集, 召来, 来访"
carry off,[],"v.夺去...的生命, 获得, 成功对付"
cattle,[5kAtl],"n.牛, 家养牲畜"
cause,[kC:z],"n.原因, 导致某事发生的人或事, 动机, 理由, 根据, 目标, 理想, 事业//vt.引起, 惹起, 使(发生), 促成"
centigrade,[5sentigreid],"adj.分为百度的, 百分度的, 摄氏温度的"
centimetre,[`senti7mi:tE(r)],"n.厘米,公分"
change,[tFeindV],"n.改变, 变化, 转变, 找回的零钱, 找头, 辅币//vt.改变, 变革, 改造, 兑换"
change...for...,[],用…换…
cheaply,[],adv.便宜地
check,[tFek],"n.阻止, 制止, 控制, 阻止物, 支票, 检讫的记号, 饭馆的帐单//vt.检查, 制止, 核对, 寄存, 托运//vi.证明无误, 核对无误, 逐项相符, [象棋]将军"
chemical,[5kemikEl],"adj.化学的//n.化学制品, 化学药品//n.化学药品"
chemical rain,[],酸雨
cheque,[tFek],n.支票
childhood,[5tFaildhud],n.孩童时期
choice,[tFCis],"n.选择, 抉择, 精选品, 选择机会, 选择权//adj.精选的, 上等的, 挑三拣四的, 可选的, 宠爱的, 爱惜的"
cigarette end,[],烟头
clear away,[],"v.清除, 消失"
clear up,[],"v.整理, 消除, 放晴"
cock,[kCk],"n.公鸡, 雄鸟, 头目, (水)龙头, <俚>阴茎//vt.使耸立, 使竖起, 堆成锥形//vi.大摇大摆地走, 翘起"
coin,[kCin],"n.硬币//vt.铸造(硬币)水)龙头, <俚>阴茎"
collection,[kE5lekFEn],"n.收藏, 征收, 搜集品, 捐款"
come off,[],"v.离开, 举行, 实现, 成为"
comedy,[5kCmidi],"n.喜剧, 喜剧性的事情"
communist,[5kCmjunist],"n.共产主义者, 共产党员adj.共产主义者的"
complement,[5kCmplimEnt],"n.补足物, [文法]补语, [数]余角//vt.补助, 补足"
container,[kEn5teinE],"n.容器(箱,盆,罐,壶,桶,坛子), 集装箱"
content,[kEn5tent],"n.内容, 容量, 目录, 满足//adj.满足的, 满意的, 愿意//vt.使满足"
contribution,[7kCntri5bju:FEn],"n.捐献, 贡献, 投稿"
cooker,[5kukE],"n.炊具, 蒸(煮)机,(非生吃的)为烹食所种水果"
correction,[kE5rekFEn],"n.改正, 修正"
course,[kC:s],"n.过程, 经过, 进程, 方针, 路线, 跑道, 课程, 一道菜//v.追猎, 急行, 运行, 流动//学业"
customer,[5kQstEmE],n.消费者
cut,[kQt],"v.切(割、削), (直线等)相交, 剪, 截, 刺穿, 刺痛, 删节, 开辟//n.(刀、剑、鞭等的)切削, 削减, 删节, 伤口, 切口"
cut off,[],"v.切断, 断绝, 剥夺继承权"
cut through,[],"v.抄近路走过, 刺穿"
daily,[5deili],"adj.每日的, 日常的//adv.每日, 日常地, 天天//n.日报, <美口>朝来夜去的女佣"
damage,[5dAmidV],"n.损害, 伤害//v.招致损害//n.[律] (用复数)赔偿金"
darkness,[5dB:knis],"n.黑暗, 漆黑"
deal,[di:l],"n.交易, (政治上的)密约, 待遇, 份量, <口>买卖//vi.处理, 应付, 做生意//vt.分配, 分给(out), 发牌, 给予"
deal with,[],"v.安排, 处理, 涉及, 做生意"
degree,[di5gri:],"n.度数, 度, 程度, [律](罪行的)轻重, 学位, 地位, 身份, [数]次数"
deliver,[di5livE],"vt.递送, 陈述, 释放, 发表(一篇演说等), 交付, 引渡, 瞄准, 给予(打击)"
depend,[di5pend],"vi.依靠, 依赖"
depend on,[],"v.依靠, 依赖"
desert,[di5zE:t],"n.沙漠, 应得的赏罚, 功过//adj.沙漠的, 不毛的, 荒凉的//vt.放弃, 遗弃, 逃跑//vi.逃掉, 逃亡, 开小差"
develop,[di5velEp],"vt.发展, 发达, 发扬, 进步, 逐步展开(情节,音乐主题,方程式等)洗印, 显影//vi.发展, 生长, 发育, 逐步显示出来"
die out,[],"v.灭绝, 逐渐消失, 渐渐止息"
differently,[5difrentli],adv.不同地
direct,[di5rekt; dai5rekt],"adj.径直的, 直接的, 直系的, 直率的, [天]由西向东运行的, 顺行的//adv.直接地//vt.指引, 指示, 指挥, 命令, 导演//vi.指导, 指挥"
director,[di5rektE; dai5rektE],"n.主任, 主管, 导演, (机关)首长, (团体)理事, (公司)董事, 指挥仪, 控制器"
dirty,[5dE:ti],"adj.肮脏的, 卑鄙的, 下流的, 暴风雨的, 恶劣的(天气)//vt.弄脏//vi.变脏"
discovery,[dis5kQvEri],"n.发现, 发明的东西"
do somebody a favor,[],帮某人一个忙
drive away,[],"赶走,开走"
drop in,[],"v.顺便走访, 不预先通知的拜访"
earn,[E:n],"vt.赚, 挣得, 获得//v.赚得, 获得"
earnings,[5E:niNz],"n.所得,收入"
eastern,[5i:stEn],"adj.东方的, 东部的"
edition,[i5diFEn],"n.版本, 版"
editor,[5editE],"n.编辑, 编辑器, 编者"
educate,[5edju(:)keit],"vt.教育, 训练, 培养//v.教育"
education,[7edju(:)5keiFEn],"n.教育, 训导, 训练, 培养, 教育学"
effort,[5efEt],"n.努力, 成就"
electric,[i5lektrik],"adj.电的, 导电的, 电动的, 电气"
entire,[in5taiE],"adj.全部的, 完整的, 整个"
envelope,[5envilEup],"n.信封, 封套, 封袋, [天]包层, [数]包迹, [生]包膜"
equal,[5i:kwEl],"adj.相等的, 均等的, 胜任的, 平静的, 合适的, 不相上下的//n.相等的事物(或数量), 对手, 匹敌, 同辈//vt.等于, 比得上"
event,[i5vent],"n.事件, 事变, 结果, 活动, 精力, 竞赛"
excite,[ik5sait],"vt.刺激, 使兴奋, 使激动//vi.<口>兴奋, 激动"
excited,[ik5saitid],兴奋的
exciting,[ik5saitiN],"adj.令人兴奋的, 使人激动的"
exercise,[5eksEsaiz],"n.练习, 习题, 训练, 锻炼, 演习//v.训练, 锻炼//vt.行使, 使担扰"
expect,[iks5pekt],"vt.期待, 预期, 盼望, 指望, <口>(料)想, 认为"
exploit,[iks5plCit],"vt.开拓, 开发, 开采, 剥削, 用以自肥//v.使用"
face-to-face,[],adv.面对面地
fall off,[],"v.下降, 跌落, 减少, 衰退, 离开"
fall over,[],"落在...之上, 脸朝下跌倒"
fault,[fC:lt],"n.过错, 缺点, 故障, 毛病//vt.挑剔//vi.弄错"
favor,[5feivE],"n.好感, 宠爱, 关切, 欢心, 好意, 喜爱//vt.支持, 赞成, 照顾, 促成, 象, 喜欢, 证实, 赐予"
festival,[5festEvEl],"n.节日, 喜庆日, 音乐节, 戏剧节, 喜庆, 欢宴, 欢乐//adj.节日的, 快乐的"
film,[film],"n.薄膜, 膜层, 胶卷, 影片, 薄雾, 轻烟, 电影//vt.在...上覆以薄膜, 拍成电影//vi.生薄膜, 变成朦胧, 拍电影"
fire,[5faiE],"n.火, 炉火, 火灾, 失火, 闪光, 炮火, 热情, 激情//vt.点燃, 烧制, 使发光, 给(炉子等)加燃料, 放枪, 激动, <口>解雇//vi.开枪, 射击, 着火, 烧火, 激动"
firm,[fE:m],"n.公司, (合伙)商号//adj.结实的, 坚硬的, 坚定的, 坚固的, 牢固的, 稳固的, 严格的//vt.使牢固, 使坚定//vi.变稳固, 变坚实//adv.稳固地, 坚定地"
firmly,[5fE:mli],"adv.坚定地, 稳固地"
first aid,[],n.(对伤患者的)急救
fit,[fit],"n.突然发作, 适合, 痉挛, 一阵//adj.合适的, 恰当的, 健康的, ,准备好的//vt.适合, 安装, 使合身, 使适应, 使合格//vi.适合, 符合"
fix,[fiks],"vt.使固定, 装置, 修理, 准备, 安装, 凝视, 整理, 牢记//vi.固定, 注视, 决定, 选定, 确定//n.困境, 方位, 贿赂"
flour,[5flauE],n.面粉
flow,[flEu],"n.流程, 流动, (河水)泛滥, 洋溢//vi.流动, 涌流, 川流不息, 飘扬//vt.溢过, 淹没"
foolish,[5fu:liF],"adj.愚蠢的, 傻的, 笨的, 卤莽的, 可爱的"
for one thing,[],adv.首先
fortunately,[5fC:tFEnEtli],adv.幸运地
freeze,[fri:z],"v.(使)结冰, (使)冷冻, 冻结"
freezing,[5fri:ziN],"adj.冰冻的, 严寒的, 冷冻用的"
frighten,[5fraitn],vt.使惊吓//vi.惊恐
from time to time,[],adv.有时
fuel,[fjuEl],"n.燃料//vt.加燃料, 供以燃料//vi.得到燃料"
fur,[fE:],"n.毛皮, 毛, 软毛"
further education,[],进修
generally speaking,[],adv.一般而言
geography,[dVi5CgrEfi; 5dViCg-],"n.地理学, 地理"
get down to,[],v.开始认真考虑
get off,[],"v.下来, 脱下, 出发, 被容忍, 动身, 开始"
give back,[],"v.归还, 恢复, 后退, 反射(声、光等)"
give lessons to,[],给…上课
go off,[],"v.离开, 去世, 消失, 睡去, 爆炸, 被发射, 进行, 变质"
go on with,[],继续
go well,[],进展顺利
gold-mining town,[],金矿镇
goldfish,[5gEuldfiF],n.金鱼
gradually,[5grAdjuEli],adv.逐渐地
grain,[grein],"n.谷物, 谷类, 谷粒, 细粒, 颗粒, 粮食"
guard,[gB:d],"n.守卫, 警戒, 护卫队, 防护装置//vt.保卫, 看守, 当心//vi.防止, 警惕, 警卫"
hand,[hAnd],"n.手, 掌管, 协助, 支配, 插手, 指针, 雇员, 手艺//vt.支持, 搀扶, 交给"
handkerchief,[5hANkEtFi:f],n.手帕
handle,[5hAndl],"n.柄, 把手, 把柄, 口实, 手感//vt.触摸, 运用, 买卖, 处理, 操作//vi.搬运, 易于操纵//n.[计]句柄"
headline,[5hedlain],n.大字标题
hear about,[],"听说, 接到消息"
heaven,[5hevEn],"n.天, 天空, 天堂"
hide,[haid],"n.兽皮, 皮革//v.剥...的皮, 痛打, 隐藏, 掩藏, 隐瞒, 掩饰"
hillside,[`hilsaid],"n.山坡, 山腹"
hold one's breath,[],v.屏息
hold up,[],"v.举起, 支撑, 继续下去, 阻挡, 拦截"
honour,[5CnE],"n.尊敬, 敬意, 荣誉, 光荣//vt.尊敬, 给以荣誉"
horn,[hC:n],"n.(牛、羊等的)角, 喇叭, 触角//v.装角"
human,[5hju:mEn],"n.人, 人类//adj.人的, 人类的, 人性的, 有同情心的"
human right,[],人权
hunt,[hQnt],"v.打猎, 猎取, 搜索, 搜寻, 猎获//n.打猎, 猎取, 搜索, 搜寻, 狩猎"
hurricane,[5hQrikEn; -kin],"n.飓风, 狂风"
immediately,[i5mi:djEtli],"adv.立即, 马上, 直接地"
in a hurry,[],"adv.匆忙, <口>轻易地"
in a short while,[],不久以后
in danger,[],"adv.在危险中, 垂危"
in place,[],"adv.在适当的位置, 适当"
in search for,[],寻找；寻求
in the air,[],"adv.在空中, 悬而未决, 在流传中, 不设防"
injure,[5indVE],"vt.损害, 伤害//v.伤害"
injured,[5indVEd],"adj.受伤的,受损害的,受委屈的"
injury,[5indVEri],"n.伤害, 侮辱"
insist,[in5sist],"v.坚持, 强调"
intend,[in5tend],"vt.想要, 打算, 意指, 意谓"
international,[7intE(:)5nAFEnEl],"adj.国际的, 世界的//n.国际性组织, 国际比赛"
interview,[5intEvju:],"vt.接见, 会见//n.接见, 会见"
journalist,[5dVE:nElist],"n.新闻记者, 从事新闻杂志业的人"
joy,[dVCi],"n.欢乐, 喜悦, 快乐, 乐事, 乐趣//v.高兴"
judge,[dVQdV],"n.法官, 审判员, 裁判员, 鉴赏家, 鉴定人, (J-)最高的审判者//vt.审理, 鉴定, 判断, 判决, 断定, 认为//vi.下判断, 作评价"
keep back,[],"v.落在后面, 阻止, 隐瞒, 留下"
keeper,[5ki:pE],"n.监护人, 管理人, 看守人, 保管人"
kilometre per hour,[],公里\每小时
knee,[ni:],"n.膝, 膝盖"
lamp,[lAmp],n.灯//vt.照亮
latest,[5leitist],adj.最近的
lay,[lei],"vt.放置, 铺设, 产(卵)提出, 平息, 布置//vi.下蛋, 打赌//n.位置, 层面, 形势, 短叙事诗//adj.世俗的, 外行的//vbl.lie的过去式"
lead to,[],"v.导致, 通向"
leading,[5li:diN],"adj.领导的, 第一位的, 最主要的"
lecture,[5lektFE],"n.演讲, 讲稿, 谴责, 教训//vt.演讲, 训诫, 说教//vi.讲演"
lifetime,[5laiftaim],"n.一生, 终生, 寿命"
light,[lait],"n.光, 日光, 发光体, 灯//adj.轻的, 发光的, 明亮的, 浅的vt.点燃, 照亮//adv.轻地//vi.点着, 变亮"
likely,[5laikli],"adj.很可能的, 合适的, 可靠的, 有希望的//adv.或许, 很可能"
limit,[5limit],"n.界限, 限度, 限制//vt.限制, 限定"
line,[lain],"n.绳, 索, 线路, 航线, 诗句//vt.排成一行, 顺...排列, 划线于, 使有线条, 使起皱纹//vi.排队"
lion,[5laiEn],"n.狮子, (剽悍的人)社交场合的名流"
look round,[],"v.环顾, 观光, 察看//观光,仔细察看"
lorry,[5lCri],"n.<古>卡车, 铁路货车"
lose one's sight,[],丧失视力
magazine,[7mAgE5zi:n],"n.杂志, 期刊, 军火库, 弹药库, (枪、炮的)弹仓, 胶卷盒"
make use of,[],v.使用//利用
manager,[5mAnidVE],"n.经理, 管理人员, 管理器"
material,[mE5tiEriEl],"n.材料, 原料, 物资, 素材, 布料//adj.物质的, 肉体的, 具体的, 重要的, 实质性的"
mathematics,[7mAWi5mAtiks],n.数学
medical care,[],医疗护理
midnight,[5mid7nait],n.午夜
mile,[mail],"n.英里, 较大的距离"
millionaire,[7miljE5nZE],"n.百万富翁, 大富豪"
mine,[main],"n.矿, 矿山, 矿井, 源泉, 宝库, 地雷, 水雷//vt.挖掘, 开采, 在...布雷, 破坏//vi.开矿, 埋设地雷//pron.我的"
minus,[5mainEs],"adj.负的, 减的//prep.减去//n.负数"
monitor,[5mCnitE],"n.班长, 监听器, 监视器, 监控器//vt.监控//v.监控"
moustache,[mEs5tB:F; mus-],"n.小胡子, (哺乳动物的)触须"
mouth-to-mouth,[],adj.嘴对嘴
mouthful,[5mauW7ful],"n.一口, 满口"
national,[5nAFEnEl],"adj.国家的, 国立[有]的, 民族的"
national language,[],国语
natural,[5nAtFErEl],"adj.自然的, 自然界的, 关于自然界的, 天生的, 天赋的, 普通的, 正常的, 简单自然的//本位号"
natural gas,[],天然气
no matter,[],不论...
nominal clauses,[],名词性从句
normal,[5nC:mEl],"n.正规, 常态, [数学]法线//adj.正常的, 正规的, 标准的"
note,[nEut],"n.笔记, 短信, (外交)照会, 注解, 注释, 票据, 纸币, 音符//vt.注意, 记录, 笔记"
notebook,[5nEutbuk],"n.笔记簿, 笔记本"
notice,[5nEutis],"n.通知, 布告, 注意//v.注意到"
now and then,[],adv.偶尔
nuclear,[5nju:kliE],"adj.[核]核子的, 原子能的, 核的, 中心的"
nuclear waste,[],原子能工业废料
object,[5CbdVikt],"n.物体, 目标, 宾语, 对象//vi.反对, 拒绝, 抗议//vt.提出...来反对"
once upon a time,[],adv.从前
onto,[5Cntu],prep.在...之上
or else,[],否则
ordinary,[5C:dinEri],"adj.平常的, 普通的, 平凡的//n.[律] 推事, <英>[宗]罪犯的忏悔牧师"
organization,[7C:gEnai5zeiFEn],"n.组织, 机构, 团体"
ought,[C:t],"aux.(～ to [verb] ) 应当, 应该"
ought to,[],v.应该
out of breath,[],adv.上气不接下气
out of one's reach,[],够不着
pack,[pAk],"n.包裹, <贬>一群, 一副, 背包, 包装//vt.包装, 捆扎, 塞满, 压紧, 挑选//vi.包装货物, 挤, 群集, 被包装//背包"
painful,[5peinful],"adj.疼痛的, 使痛苦的"
pale,[peil],"n.栅栏, 界线, 范围, (围篱用的)尖板条//adj.苍白的, 暗淡的, 无力的//vi.变苍白, 失色//vt.使变苍白, 使失色, 用栅栏围"
panel,[5pAnl],"n.面板, 嵌板, 仪表板, 座谈小组, 全体陪审员//vt.嵌镶板"
paragraph,[5pArEgrB:f],"n.(文章)段, 节, 段落"
participle,[5pB:tisipl],n.分词
particular,[pE5tikjulE],"n.细节, 详细//adj.特殊的, 特别的, 独特的, 详细的, 精确的, 挑剔"
path,[pB:W],"n.小路, 小径, 路线, 轨道, 通道"
pay attention to,[],v.注意
peace,[pi:s],"n.和平, 和睦, 安宁, 静寂//vi.安静下来"
penny,[5peni],"n.便士, <美> 分"
per,[pE:; pE],"prep.每, 每一, 由, 经"
perfect,[5pE:fikt],"n.完成式//adj.完美的, 全然的, 理想的, 正确的, 熟练的, 精通的完成式的//vt.使完美, 修改, 使熟练"
photographer,[fE5tCgrEfE],摄影师//n.摄影师
pianist,[5piEnist; 5pjAnist],"n.钢琴家, 钢琴演奏家"
piano,[pi5B:nEu; 5pjB:-],n.钢琴
pick up,[],"v.掘地, 捡起, 获得, 使恢复精神, 加快, 看到, 随便地认识, 加速"
pipe,[paip],"n.管, 导管, 烟斗, 管乐器, 笛声//vt.以管输送, 吹哨子//vi.吹笛, 尖叫"
plastic,[5plAstik; plB:stik],"n.塑胶, 可塑体, 塑料制品, 整形//adj.塑胶的, 塑造的, 有可塑性的, 造形的, (外科)整形的"
play the part of,[],(在戏中)扮演
play the piano,[],弹钢琴
pleasant,[5plezEnt],"adj.令人愉快的, 舒适的"
point to,[],v.指向
poison,[5pCizn],"n.毒药, 败坏道德之事, 毒害//vt.毒害, 败坏, 使中毒//vi.放毒, 下毒"
pole,[pEul],"n.棒, 柱, 杆, 竿, 极, 磁极, 电极//vt.用竿支撑, 用棒推//vi.撑篙"
pollute,[pE5lu:t; -5lju:t],"vt.弄脏, 污染"
pollution,[pE5lu:FEn; -5lju:-],"n.污染, 玷污"
pool,[pu:l],"n.池, 撞球, 联营, 石油层//vt.合伙经营, 共享, 共有, 集中(钱、力量等), 采掘, 汇聚成//vi.汇合成塘, 郁积, 联营"
position,[pE5ziFEn],"n.位置, 职位, 立场, 形势, 阵地//vt.安置, 决定...的位置"
possibly,[5pCsEbli],"adv.可能地, 或者"
pour,[pC:; pCE],"v.灌注, 倾泻, 涌入, 流, 倾盆大雨"
power,[5pauE],"n.能力, 力量, 动力, 权力, [数]幂, [物]功率//vt.使...有力量, 供以动力, 激励"
power station,[],n.发电所
powerful,[5pauEful],"adj.强大的, 有力的"
predicative,[pri5dikEtiv],adj.肯定的
present,[pri5zent],"n.赠品, 礼物, 现在, 瞄准//adj.现在的, 出席的, 当面的//vt.介绍, 引见, 给, 赠送, 上演, 提出, 呈现//vi.举枪瞄准"
probably,[5prCbEb(E)li],"adv.大概, 或许"
professor,[prE5fesE],"n.教授, 公开表示信仰的人"
prove,[pru:v],"vt.证明, 证实, 检验, 考验//vi.原来(是), 证明(是)地, 在右边"
publish,[5pQbliF],"v.出版, 刊印//vt.公布, 发表"
push over,[],v.推倒
put down,[],"v.放下, 拒绝, 镇压, 羞辱, 削减, 记下, 制止, 取缔"
quantity,[5kwCntiti],"n.量, 数量"
race,[reis],"n.种族, 种族气质, 种族特征, 赛跑, 急流, 姜根//vi.赛跑, 疾走//vt.与...赛跑, 使空转"
radiation,[7reidi5eiFEn],"n.发散, 发光, 发热, 辐射, 放射, 放射线, 放射物"
rail,[reil],"n.横杆, 围栏, 扶手, 铁轨//vt.以横木围栏, 铺铁轨//vi.责骂, 抱怨"
recent,[5ri:snt],"adj.新近的, 近来的"
reduce,[ri5dju:s],"vt.减少, 缩小, 简化, 还原"
refer,[ri5fE:],"vt.提交, 谈及, 归诸于, 指点把...提交, 使求助于//vi.提到, 涉及, 查阅, 咨询"
refer to,[],"v.查阅, 提到, 谈到, 打听"
respect,[ris5pekt],"n.尊敬, 敬重, 注意, 考虑, 尊重, 关系, 有关, 敬意//vt.尊敬, 尊重, 不防碍"
result in,[],v.导致
rewrite,[ri:5rait],"v.重写, 改写"
right,[rait],"n.正义, 公正, 正确, 权利, 右边, 右派//adj.正当的, 正确的, 对的, 合适的, 恰当的, 健康的, 健全的, 正面的//adv.正当地, 正确地, 一直地, 直接地, 完全地, 彻底地, 在右边"
ring,[riN],"n.环, 环形物, 环状, 铃声, 声调, 打电话, 拳击场//vt.包围, 套住, 按铃, 敲钟//vi.成环形, 响, 鸣, 敲钟, 回响, 按铃"
room,[ru:m; rum],"n.房间, 屋子, 寓所, 场所, 地位, 空间, 机会, 余地"
rose,[rEuz],"n.蔷薇属, 玫瑰, 玫瑰红//vbl.rise的过去式"
rule,[ru:l],"n.规则, 惯例, 统治, 章程, 破折号, 准则, 标准, 控制//vt.规定, 统治, 支配, 裁决//vi.统治, 管辖, 裁定//n.规则, 水线"
run,[rQn],"n.跑, 赛跑, 奔跑, 运转, 趋向//vi.跑, 奔, 逃跑, 竞选, 跑步, 蔓延, 进行, 行驶//vt.使跑, 参赛, 追究, 使流, 管理, 运行, 开动//adj.熔化的, 融化的, 浇铸的//vbl.run的过去式和过去分词"
run out of,[],v.用完
running water,[],n. 流水，活水
sadness,[5sAdnis],"n.悲哀, 悲伤"
safety,[5seifti],"n.安全, 保险, 安全设备, 保险装置"
schooling,[5sku:liN],"n.学校教育, 学费"
scientific,[saiEn5tifik],adj.科学的
seal,[si:l],"n.封铅, 封条, 印, 图章, 密封//vt.封, 密封//n.海豹, 海豹毛皮"
search,[sE:tF],"n.搜寻, 查究//v.搜索, 搜寻, 探求, 调查"
seashell,[5si:Fel],n.海贝壳
secretary,[5sekrEtri],"n.秘书, 书记, 部长, 大臣"
section,[5sekFEn],"n.部分, 断片, 部件, 节, 项, 区, 地域, 截面"
separately,[5sepErEtli],adv.个别地//分离地
servant,[5sE:vEnt],n.仆人
serve,[sE:v],"v.当仆人, 服务, 服役, 供职, 招待, 侍候, 供应, 适合//n.发球"
set,[set],"v.放, 置, 移动到, 使(人或事物处于某种状态), 提出, 树立, 规定, 调整//n.一套, 一副, 一批, 接受机, 装置, 趋势, 布景//adj.固定的, 规定的, 坚决的, 固执的, 事先做好的"
set off,[],"v.出发, 动身, 使爆炸, 引起, 使爆发, 抵销, 分开, 衬托"
