also,[5C:lsEu],"adv.也, 同样"
although,[C:l5TEu],"conj.虽然, 尽管"
altogether,[7C:ltE5geTE],"adv.完全地, 总而言之"
always,[5C:lwEz; 5C:lweiz],"adv.总是, 永远, 始终"
amazing,[E5meiziN],adj.令人惊异的
among,[E5mQN],"prep.在...之中, ...之一"
ancestor,[5AnsistE],"n.祖先, 祖宗"
and,[And; End; nd],"[连接并列的名词、代词或数词]同, 和, 与, 如： Father and I went to Xinhua bookstore yesterday. 父亲和我昨天到新华书店去过。"
and so on,[],adv.等等
anger,[5ANgE],"n.怒, 愤怒//v.恼火"
angry,[5ANgri],"adj.生气的, 愤怒的, 狂暴的(风雨等)"
animal,[5AnimEl],n.动物
announce,[E5nauns],"vt.宣布, 通告"
announcement,[E5naunsmEnt],"n.宣告, 发表, 一项公告, 一项私人告示"
another,[E5nQTE],"adj.另外的, 又一, 不同的//prep.另一个, 另一个人, 同类的东西"
answer,[5B:nsE],"n.答案, 回答, 答辩, 抗辩//v.回答说, 答复说, 符合, 反响, 响应"
answering machine,[],电话应答机
ant,[Ant],n.蚂蚁
anxious,[5ANkFEs],"adj.观念的, 担忧的, 渴望的, 盼望的"
any,[5eni],"adj.任何的, 任何一种, 所有的//pron.无论那一个, 任何"
anybody\anyone,[],pron.任何人
anyhow,[5enihau],"adv.无论如何, 总之"
anything,[5eniWiN],pron.任何事
anyway,[5eniwei],"adv.无论如何, 总之"
anywhere,[5eniwZE],adv.无论何处
apart from,[],"远离, 除...之外"
apologize,[E5pClEdVaiz],"vi.道歉, 辩白"
appear,[E5piE],"vi.出现, 看来, 似乎, 公开露面, 出版, 发表"
appearance,[E5piErEns],"n.出现, 露面, 外貌, 外观"
apple,[5Apl],"n.苹果, 似苹果的果实"
application,[7Apli5keiFEn],"n.请求, 申请, 申请表, 应用, 运用, 施用, 敷用//应用,应用程序,应用软件"
appreciate,[E5pri:Fieit],"vt.赏识, 鉴赏, 感激//vi.增值, 涨价"
area,[5ZEriE],"n.范围, 区域, 面积, 地区, 空地"
argue,[5B:gju:],"vi.争论, 辩论//vt.说服"
argument,[5B:gjumEnt],"n.争论, 辩论, 论据, 论点, ～ (for,against), 意见"
arm,[B:m],"n.臂, 臂状物, 衣袖, 海湾, 武器//vt.供给, 提供, 武装, 装备//vi.武装起来"
armchair,[5B:mtFZE],n.扶手椅子
army,[5B:mi],"n.陆军, 军队, 大群, 大军"
around,[E5raund],"adv.周围, 四周, 到处, 大约, 左右//prep.在...周围, 四处"
arrival,[E5raivEl],"n.到来, 到达, 到达者"
arrive,[E5raiv],"vi.到达, 抵达"
arrive at\in a place,[],到达某地
art,[B:t],"n.艺术, 艺术品, 技术, 巧妙, 美术"
article,[5B:tikl],"n.文章, 论文, 物品, 商品, 项目, 条款//v.清楚说出//adj.表达清晰的"
artist,[5B:tist],"n.艺术家, 画家"
as,[As],"adv.同样地, 被看作, 象//prep.当做//conj.与...一样, 当...之时, 象, 因为//[域] American Samoa, 东萨摩亚//abbr.[军] Air to Surface, 空对地"
as a matter of fact,[],adv.事实上
as a result,[],adv.结果
as if\though,[],好像；好似
as soon as,[],adv.一...就
as usual,[],adv.照常
as well,[],*也；又
as well as,[],"adv.也, 又"
as...as,[],像；相同
ash,[AF],"n.灰, 灰烬, [植]岑树"
ashamed,[E5Feimd],"adj.惭愧的, 羞耻的"
ashtray,[5AFtrei],n.烟灰缸
ask,[B:sk],"vi.询问, 问, 要求//vt.问, 要求, 需要, 邀请"
ask for sth.,[],请求；向…要
ask sb.for sth.,[],请某人给某物
asleep,[E5sli:p],"adj.睡着的, 睡熟的"
assistant,[E`sistEnt],"n.助手, 助教//adj.辅助的, 助理的"
astonish,[Es5tCniF],vt.使惊讶
astonishing,[Es5tCniFiN],adj.可惊异的
astonishment,[Es5tCniFmEnt],n.惊讶
at,[At; Et],"prep.在, 于, 向, 对准, 在...方面//[域] Austria , 奥地利"
at a time,[],"adv.每次, 在某时"
at breakfast,[],早餐时；正吃早饭
at first,[],adv.起先
at home,[],"adv.在家, 在本地, 在国内, 熟悉"
at last,[],adv.终于
at least,[],adv.至少
at night,[],adv.在晚上
at noon,[],adv.在中午
at once,[],adv.立刻
at one time,[],"adv.同时, 曾经"
at one's own expense,[],*自费
at present,[],"adv.现在, 目前"
at school,[],"adv.在学校, 在上课, 在求学"
at sea,[],"adv.(=all at sea)在大海上, 迷茫, 弄错"
at the age of,[],adv.在...岁
at the beginning of,[],在...初
at the beginning of...,[],…的起初；…开始
at the bottom,[],在底端
at the end (of),[],*最后；尽头
at the latest,[],adv.最迟
at the mercy of,[],adv.受...支配
at the most,[],至多；不超过
at the same time,[],"adv.同时, 但是"
at work,[],"adv.在工作, 在运转"
athlete,[5AWli:t],"n.运动员, 运动选手"
attack,[E5tAk],"n.进攻, 攻击, (用语言)抨击, 批评, 疾病发作, 侵袭//vt.攻击, 抨击, 动手处理(某事)//vi.攻击"
attempt,[E5tempt],"n.努力, 尝试, 企图//vt.尝试, 企图"
attend,[E5tend],"vt.出席, 参加, 照顾, 护理, 注意//vi.专心, 留意"
attention,[E5tenFEn],"n.注意, 关心, 关注, 注意力, (口令)立正!"
attitude,[5Atitju:d],"n.姿势, 态度, 看法, 意见"
attract,[E5trAkt],"vt.吸引//vi.有吸引力, 引起注意"
aunt,[B:nt],"n.姑妈, 伯母, 舅妈, 阿姨"
autumn,[5C:tEm],"n.秋天, 成熟期, 渐衰期"
avenue,[5Avinju:],"n.林荫道, 大街, 方法, 途径, 路"
average,[5AvEridV],"n.平均, 平均水平, 平均数, 海损//adj.一般的, 通常的, 平均的//vt.平均为, 均分, 使平衡, 达到平均水平//vi.买进, 卖出"
awake,[E5weik],"vi.醒, 觉醒, 领会, 觉悟//vt.唤醒//adj.警觉的, 醒的"
away,[E5wei],"adv.在远处, 到远处, 离去"
baby,[5beibi],n.婴孩
back,[bAk],"adj.后面的, 在后面, 早过去的, 前(欠)的钱//adv.向后地//n.背部, 后面//v.后退, 支持"
backward(s),[],*ad.向后
bad,[bAd],"adj.劣质的, 有害的, 坏的, 不利的, 不健康的, 严重的"
badly,[5bAdli],"adv.严重地, 恶劣地"
bag,[bAg],"n.袋子, 猎获物"
baggage,[5bAgidV],"n.行李, [军] 辎重"
bake,[beik],"v.烘焙, 烤, 烧硬"
balance,[5bAlEns],"n.秤, 天平, 平衡, [商] 收支差额, 结余, 余额//v.平衡, 称, 权衡, 对比, 结算//n.资产平稳表"
ball,[bC:l],"n.球, 球状物, 子弹, 舞会, 尽情地玩"
balloon,[bE5lu:n],n.气球
bamboo,[bAm5bu:],n.竹子
ban,[bB:n],"n.禁令//vt.禁止, 取缔(书刊等) 不健康的, 严重的"
banana,[bE5nB:nE],n.香蕉
bank,[bANk],"n.银行, 堤, 岸, 沙洲, 浅滩, 一堆(土), (云)层, 储藏所(库)//vt.存(款)于银行, 储蓄, (车或飞机)倾斜转弯"
bar,[bB:(r) 堤; 岸; 沙洲; 浅滩; 一堆(土); (云)层; 储藏所(库)vt.存],"n.条, 棒(常用作栅栏,扣栓物), 横木, 酒吧间, 栅, 障碍物//vt.禁止, 阻挡, 妨碍, 把门关住, 除...之外, (Bar)律师业"
bare-footed,[],*a.赤脚的
bargain,[5bB:gin],"n.契约, 合同, 成交商品, 便宜货//v.议价"
base,[beis],"n.底部, 基础, 根据地, 基地, 本部, 基数, (运动)出发点//vt.以...作基础, 基于...// adj.卑鄙的, 低级的"
basic,[5beisik],"n.基本, 要素, 基础//adj.基本的, 碱性的//n.[计]BASIC语言, 基本高级语言"
basin,[5beisn],"n.盆, 盆地, 水池"
basket,[bB:skit],"n.篮, 一篮"
basketball,[5bB:skitbC:l],"n.篮球, 篮球运动"
bath,[bB:W],"n.沐浴, 浴室"
bathe,[beiT],"v.沐浴, 洗, (光线)充满//n.洗澡"
bathroom,[5bB:Wru:m],"n.浴室, 盥洗室"
battle,[5bAtl],"n.战役(指大规模会战), 战争//vi.作战, 战斗, 搏斗, 斗争"
bay,[bei],"n.海湾, 狗吠声, 绝路//vt.吠, 使走投无路//vi.吠"
be,[bi:; bi],"prep.是, 在, 存在//[域] Belgium , 比利时//abbr.[军] Base Ejection, 弹底喷射"
be able to do sth.,[],能够；(有能力)做某事
be about to,[],"v.将要, 正打算"
be afraid of,[],"v.害怕, 担忧"
be angry with sb.,[],生某人的气
be anxious about,[],"v.渴望, 担忧"
be born,[],出生于…
be busy doing sth,[],忙于做某事
be busy with sth,[],忙于某事
be considered as,[],(把某人)看作…；(被)认为
be covered with,[],"盖着, 覆着"
be familiar with,[],v.熟悉
be famous for,[],因...而著名
be fit for,[],适合于
be fond of,[],"v.喜爱, 爱好"
be full of,[],v.充满
be good at,[],v.擅长
be in love with,[],"v.与...恋爱, 迷恋"
be late for (school),[],迟到(校)
be like,[],像
be made from,[],"由...所做成的(用于原材料不易看出的场合)弹仓, 胶卷盒"
be made in,[],在…制造
be made of,[],"用...造成(用于原材料显而易见的场合)合)弹仓, 胶卷盒"
be made up of,[],由...组成
be popular with somebody,[],*受某人欢迎
be proud of,[],"v.自豪, 高兴"
be related to,[],*与…有关
be seated,[],"v.坐下, 坐落于"
be strict with,[],对…要求严格
be sure to do sth.,[],一定要做某事
be uncertain about,[],*对…不确定
be used to,[],v.过去习惯于
be worth (doing),[],值得(做的)
be wrong with,[],有毛病
be\get ready(for),[],(为…)准备好
beach,[bi:tF],n.海滩
beam,[bi:m],"n.梁, 桁条, (光线的)束, 柱, 电波, 横梁//v.播送"
bean,[bi:n],"n.豆, 豆形果实"
beancurd,[5bi:nkE:d],*n.豆腐
bear,[bZE],"n.熊//v.负担, 忍受, 带给, 具有, 挤, 向"
beard,[biEd],n.胡须
beat,[bi:t],"n.敲打, 拍子, 巡逻区域//v.打, 打败"
beat...to death,[],*打死
beautiful,[5bju:tEful; -tiful],"adj.美丽的, 很好的"
beauty,[5bju:ti],"n.美, 美景, 美好的东西"
because,[bi5kCz; bE5kCz; bi5kEz],conj.adv.因为
because of,[],adv.因为
become,[bi5kQm],"vi.变成, 成为, 变得//vt.适合, 相称"
bed,[bed],"n.床, 基础, 路基, 河底, 海底, 一堆, 一层//vt.安置, 嵌入, 使睡, 栽种//vi.上床, 分层"
bedclothes,[5bedklEuTz],"n.铺盖, 床单被褥类"
bedroom,[5bedrum],n.卧室
bee,[bi:],n.蜜蜂
beef,[bi:f],n.牛肉
beehive,[5bi:haiv],"n.蜂窝, 蜂箱"
beer,[biE],n.啤酒
before,[bi5fC:],"adv.在前, 以前//prep.在...之前//conj.在...之前, 与其...宁可"
before long,[],adv.不久以后
beg,[beg],"v.请求, 乞求"
beg one's pardon,[],*请原谅
begin,[bi5gin],"v.开始, 首先"
begin...with,[],*从…开始；先做某事
beginning,[bi5giniN],n.开始
behind,[bi5haind],adv.在后地//prep.在...之后
being,[5bi:iN],"n.存在, 生命, 人, 本质//art.在, 有, 是"
belief,[bi5li:f],"n.信任, 信心, 信仰"
believe,[bi5li:v],"v.有坚定的宗教信仰的, 相信, 信任, 认为, 想"
believe in,[],v.信仰
bell,[bel],"n.铃, 钟"
belong,[bi5lCN],"vi.属于, 住"
belong to,[],v.属于
below,[bi5lEu],"prep.在...下面, adv.在下, 在页底"
belt,[belt],"n.带子, 地带"
bench,[bentF],n.长椅子
bend,[bend],"v.弯曲, 专心于, 屈服//n.弯曲"
bent,[bent],"n.倾向, 爱好"
beside,[bi5said],"prep.在旁边, 和...比较"
besides,[bi5saidz],adv.此外//prep.除...之外
best,[best],"adj.最好的//adv.最好地, 最, 极//n.最佳状态或作品, 最好的东西"
best-seller,[],*n.畅销书
better,[5betE],"adj.较好的//adv.更好的, 更多的, 更佳的"
between,[bi5twi:n],"prep.在...之间, 连接...,由...协力合作"
beyond,[bi5jCnd],"prep.在(到)...较远的一边, 超过, 那一边//adv.在远处//n.远处"
bicycle\bike,[],n.自行车；脚踏车
big,[big],"adj.大的, 重要的, 量大的, 重要的//adv.夸大地, 顺利"
bill,[bil],"n.帐单, 钞票, 票据, 清单, 议案, 法案, 广告//vt.用海报宣传, 把...列成表, 给...开帐单"
billion,[5biljEn],"n.adj.十亿(的)? 量大的, 重要的"
biology,[bai5ClEdVi],"n.生物学, 生物(总称)谐杀? 给...开帐单"
bird,[bE:d],"n.鸟, <俚>人//vi.在野外观察或鉴别鸟类"
birth,[bE:W],"n.出生, 产生, 出身"
birthday,[5bE:Wdei],n.生日
birthplace,[5bE:Wpleis],n.诞生地
biscuit,[5biskit],"n.饼干, 小点心"
bison,[5baisn],n.美洲或欧洲的野牛
bit,[bit],"n.小块, 少量, 片刻, 马嚼子, 辅币//vt.上马嚼子, 控制//vbl.咬//n.[计]位, 比特"
bite,[bait],"n.咬, 咬伤, 一口, 刺痛//v.咬, 刺痛//abbr.[军] Built-In Test Equipment, 机内测试设备"
bitter,[5bitE],"adj.苦的, 痛苦的, 怀恨的"
black,[blAk],"n.黑色, 黑颜料, 黑人//adj.黑色的, 弄脏了的, 忧郁的//vt.(使)变黑, 涂黑"
blackboard,[5blAkbC:d],n.黑板
blame,[bleim],"n.过失, 责备//vt.责备, 谴责"
blanket,[5blANkit],n.毯子//vt.覆盖
bleed,[bli:d],"v.使出血, 放血"
bless,[bles],"vt.祝福, 保佑, <口>哎呀!我的天哪!"
blind,[blaind],"adj.瞎的, 盲目的//vt.使失明, 缺乏眼光或判断力"
block,[blCk],"n.木块, 石块, 块, 街区, 印版, 滑轮, 阻滞, (一)批//vt.防碍, 阻塞"
blood,[blQd],"n.血, 血液, 血统//v.使(某人)先取得经验"
blouse,[blauz],"n.宽松的上衣, 似衬衫的上衣"
blow,[blEu],"n.殴打, 突然的打击//v.风吹, 吹气于, 叫, 喘气"
blow away,[],"v.吹走,驱散"
blue,[blu:],"n.蓝色//adj.蓝色的, 忧郁的, 沮丧的"
board,[bC:d],"n.木板, (供特殊用途的)木板, 甲板, 膳食费用, 会议桌, 部//vt.用板盖上, 包饭, 提供膳食, 上(船、飞机等)r)律师业"
boat,[bEut],"n.小船, 艇//v.划船"
body,[5bCdi],"n.身体, 肉体, 人, 尸体, 主要部分, 团体, 大量//vt.赋以形体"
body language,[],"n.身体语言, 手势语言(由手势或姿态无意中传递之讯息)ㄐ? 把..."
body-building,[],"n.加强体质, 健美运动"
boil,[bCil],"n.沸点, 沸腾, 疖子//v.煮沸, 激动"
bomb,[bCm],"n.炸弹//vt.投弹于, 轰炸"
bone,[bEun],n.骨//v.剔除
book,[buk],"n.书, 书籍, 卷, 篇, 帐簿, 名册, 工作簿//v.登记, 预订, 控告"
bookmark,[5bukmB:k],n.书签
bookstore,[5bukstC:(r)卷; 篇; 帐簿; 名册; 工作簿],n.书店
bored,[],"adj.无聊的, 无趣的, 烦人的"
boring,[5bC:riN],n.钻(孔)//adj.令人厌烦的
born,[bC:n],"adj.天生的, 原本, 天生就...的//vbl.出生"
borrow,[5bCrEu],"v.借, 借入, 借用"
boss,[bCs],"n.老板, 上司//vt.指挥"
botany,[5bCtEni],n.植物学
both,[bEuW],"adj.两者, 双方的//pron.双方, 两者"
both...and,[],两个都；既…又…
bottle,[5bCtl],n.瓶子//vt.用瓶装
bottom,[5bCtEm],"n.底, 底部, 尽头, 末端//adj.底部的//vt.装底, 查明真相, 测量深浅//vi.到达底部, 建立基础"
bowl,[bEul],"n.碗, 碗状物, 木球//v.滚, (板球)投球"
box,[bCks],"n.盒子, 箱, 包厢, 岗亭, 一拳//v.装...入盒中, 打耳光, 拳击"
boy,[bCi],"n.男孩, 儿子, 孩子气的人, 男仆"
boyfriend,[5bCifrend],"n.男朋友, 情郎,<美口>情人"
brain,[brein],"n.脑, 头脑"
brake,[breik],"n.闸, 刹车//v.刹车"
branch,[brB:ntF],"n.枝, 分枝, 分部, 分店, (学科)分科, 部门, 支流, 支脉//v.出现分歧"
brave,[breiv],adj.勇敢的
bread,[bred],"n.面包, 生计"
break,[breik],"n.休息, 暂停, 破裂, 突变//v.打破, 违犯, 折断, 削弱, 超过, 突变"
break away from,[],*脱离
break down,[],"v.毁掉, 制服, 压倒, 停顿, 倒塌, 中止, 垮掉, 分解"
break into,[],"v.破门而入, 侵占"
break off,[],"v.中断, 折断, 突然停止, 脱落, 暂停, 断绝, 解除"
break out,[],"v.突发, 爆发, 叫嚷, 使作准备, 取出, 倒空, <口>把...备好待用"
break the rule,[],违反规则
break up,[],"v.打碎, 破碎, 分裂, 结束, 衰落, 分解, 变坏, 驱散"
breakfast,[5brekfEst],n.早餐//vi.进早餐
breath,[breW],"n.呼吸, 气息, 气味, 空气, 微风, 暂停, 瞬间"
breathe,[bri:T],"v.呼吸, 发出"
