April,[5eiprEl],n.四月(略作Apr):50
palace,[5pAlis],"n.宫, 宫殿"
park,[pB:k],"n.公园, 停车场, 炮场//vt.停放(汽车等)┤"
people,[5pi:pl],"n.人, 人们, 民族, 人类, 公民//vt.使住（满）人"
picnic,[5piknik],n.野餐//vi.(去)野餐
rain,[rein],"n.雨, 下雨, 雨天//vi.下雨//vt.使大量落下, 大量地给"
rainbow,[5reinbEu],"n.彩虹, 五彩缤纷的排列, 幻想, 幻觉, 虚无缥缈的东西//adj.五彩缤纷的"
rainy,[5reini],"adj.下雨的, 多雨的"
repair,[ri5pZE],"n.修理, 修补//vt.修理, 修补, 补救, 纠正"
restaurant,[5restEr:N; -rCnt],"n.餐馆, 饭店"
round,[raund],"n.圆, 圆形物, 巡回, 轮唱, [体]一轮//adj.圆的, 球形的, 丰满的, 大概的, 十足的, 完全的, 率直的, 肥胖的//prep.围着, 附近, 绕过, 在...周围//vt.弄圆, 使成圆形, 绕行, 完成, 围捕, 四舍五入//vi.变圆, 发胖, 环行, 拐弯, 进展//adv.围绕着, 循环地, 在周围, 迂回地, 朝反方向, 挨个"
salesgirl,[5seilzgE:l],n.女店员
science,[5saiEns],"n.科学, 自然科学, 理科"
serious,[5siEriEs],"adj.严肃的, 认真的, 严重的"
shop,[FCp],"n.商店, 店铺//vi.买东西, 购货"
singer,[5sindVE],n.歌手
smoke,[smEuk],"n.烟, 烟尘, 烟幕//v.抽烟, 吸烟//vi.冒烟"
something,[5sQmWiN],"pron.某事, 某物//adj.有点象, 大约"
sometimes,[5sQmtaimz],"adv.不时, 有时"
song,[sCN],"n.歌, 歌曲"
spring,[spriN],"n.春天, 跃起, 泉, 弹簧, 发条, 弹性, 弹力, 根源//v.跳, 跃, 跃出, 使跳跃, 使爆炸, 触发"
summer,[5sQmE],"n.夏季//vi.避暑, 过夏天//adj.夏季的, 在夏季的"
the Science Museum,[],自然科学博物馆
tired,[5taiEd],"adj.疲劳的, 累的, 疲倦的"
try,[trai],"n.尝试//v.试, 试图, 努力, 试验, 磨难, 考验, 审问"
visit,[5vizit],"n.拜访, 访问, 游览, 参观, (作客)逗留, 视察, 调查//vt.拜访, 访问, 参观, 视察, 降临//vi.访问, 参观, 闲谈"
weekend,[wi:k5end; 5wi:kend],"n.周末, 周末休假//adj.周末的//vi.度周末的"
winter,[5wintE],"n.冬, 冬季, 萧条期, 衰退期//adj.冬天的//vt.对...进行冬天保护//vi.过冬"
women,[5wimin],n.女人
work,[wE:k],"n.工作, 劳动, 操作, 职业, [物]功, 手工, 作品, 机件//v.(使)工作, (使)运转, 起作用, 造成, 产生, 经营, (使)渐渐移动, 煅制"
world,[wE:ld],"n.世界, ...界, 世事, 世故, 社会//adj.世界的"
