Alice,[5Alis],n.艾丽丝(女子名)喑
best,[best],"adj.最好的//adv.最好地, 最, 极//n.最佳状态或作品, 最好的东西"
better,[5betE],"adj.较好的//adv.更好的, 更多的, 更佳的"
bird,[bE:d],"n.鸟, <俚>人//vi.在野外观察或鉴别鸟类"
birthday,[5bE:Wdei],n.生日
both,[bEuW],"adj.两者, 双方的//pron.双方, 两者"
both...and...,[],…和…两者都
bowl,[bEul],"n.碗, 碗状物, 木球//v.滚, (板球)投球"
bread,[bred],"n.面包, 生计"
breakfast,[5brekfEst],n.早餐//vi.进早餐
bright,[brait],"adj.明亮的, 辉煌的, 欢快的, 聪明的, 伶俐的"
bus stop,[],n.公共汽车站
busy,[5bizi],"adj.忙碌的, 热闹的, 临时占用的"
but,[bEt; bQt],"prep.除...以外//conj.而是, 但是//adv.几乎, 仅仅"
by,[bai],"prep.在附近, 在旁边, 经, 由, 依据, 按照, 通过, 用//adv.通过, 经过, 附近//[域] Belarus, 白俄罗斯"
can,[kAn; kEn],"vt.装进罐中, 把食品装罐//n.罐头, 铁罐//conj.能, 可以"
can't,[kB:nt],"(=can not)不能, 不会"
card,[kB:d],"n.纸牌, 卡片"
carry,[5kAri],"n.进位, 射程, 运载//vt.携带, 运送, 支持, 支撑, 传送, 意味//vi.被携带, 能达到"
caw,[kC:],"n.乌鸦的叫声//vi.发出鸦叫声//abbr.[军] Carbon-Arc Welding, 碳弧焊"
certainly,[5sE:tEnli],"adv.的确, (口语)当然, 行"
chicken,[5tFikin],"n.小鸡, 小鸟, 鸡肉"
child,[tFaild],"n.孩子, 儿女, 子孙, (头脑、空想等的)产物, 弟子, 追随者"
clean,[kli:n],"adj.清洁的, 干净的, 清白的//v.打扫, 使干净, 清扫"
climb,[klaim],"v.攀登, 爬//n.攀登, 爬"
clock,[klCk],n.时钟
cold,[kEuld],"n.寒冷, [物]零下温度, 伤风, 感冒//adj.寒冷的, 使人战栗的, 冷淡的, 不热情的, 失去知觉的"
come down,[],"v.下来, 倒塌, 没落, 病倒, 捐钱, 流传下来, 垂下"
come out,[],"v.出来, 长出, 传出, 褪去, 被展出, 被解出, 露出, 罢工//出现,真相大白"
come this way,[],朝这条路来
come up,[],"v.走近, 上来, 发芽, 流行, 发生, 被提出//上升,讨论,出现"
comrade,[5kCmrid],"n.朋友, 同志, 伙伴"
cool,[ku:l],"n.凉爽, 凉爽的空气//adj.凉爽, 冷静的, 无所顾虑的, 淡漠的//v.使冷, 使镇定"
country,[5kQntri],"n.国家, 国土, [总称]国民, 乡村, 故乡//adj.乡下的, 乡村的, [方]祖国的, 故乡的"
crop,[krCp],"n.农作物, 产量, 平头, 短发//vt.收割, 修剪, 种植//vi.收获"
crow,[krEu],"n.乌鸦, 似乌鸦的鸟, 撬棍//vi.啼叫, 报晓, (婴孩)格格地笑"
cry,[krai],"vi.哭, 流泪//v.叫, 喊//n.哭泣, 哭声, 叫喊, 喊声"
cut,[kQt],"v.切(割、削), (直线等)相交, 剪, 截, 刺穿, 刺痛, 删节, 开辟//n.(刀、剑、鞭等的)切削, 削减, 删节, 伤口, 切口"
dad,[dAd],"n.爸爸, 爹爹"
dance,[5dB:ns],"n.跳舞, 舞蹈, 舞会, 舞曲, 舞蹈艺术//v.跳舞, 舞蹈, (旗等)飘扬"
dear,[diE],"adj.昂贵的, 亲爱的//int.[表示惊讶, 怜悯等], Oh, ～!"
dig,[dig],"v.掘, 挖, 钻研, 搜集"
dining-room,[],n.餐厅
do,[dEu],"v.做, 实行, 尽力, 给予, 可用, 制作, 算出, 解答//[域] Dominican Republic , 多米尼加共和国"
do (some) cleaning,[],扫除
does,[dQz; dEz],"v.做,有用,工作//conj.是,做,要"
draw,[drC:],"v.拉, 曳, 牵, 画, 绘制, 拖曳//vt.汲取, 领取, 提取, 引起, 吸引//vi.向...移动, 挨近//n.平局, 和局, 拖曳"
drop,[drCp],"v.滴下, 落下, (使声音等)变弱, (使价格等)下降, 使跌倒, 使结束, 不再讨论, 停止与(某人)交往//n.落下, 下降, 滴, 滴剂, 点滴, 微量, 下跌"
ear,[iE],"n.耳朵, 倾听, 听觉, 听力, 穗//vi.抽穗"
early,[5E:li],"adj.早的, 早熟的, 及早的, 早先的, 早期的//adv.早, 在初期"
earth,[E:W],"n.地球, 陆地, 泥土, 洞穴, 地球上的人类, 尘世, [电]接地//vt.埋入土中, 把...赶入洞内, 把...接地//vi.躲入洞内"
elephant,[5elifEnt],"n.象, 一种纸张的尺寸"
every,[5evri],"adj.每一的, 每个的, 全部的, 每隔...的"
excuse,[iks5kju:z],"vt.原谅, 申辩, 做为...的托辞, 为...免去//n.饶恕, 致歉, 理由, 口实, 借口, 清借条, 免去"
excuse me,[],int.对不起
exercise,[5eksEsaiz],"n.练习, 习题, 训练, 锻炼, 演习//v.训练, 锻炼//vt.行使, 使担扰"
eye,[ai],"n.眼睛, 视力, 眼光, 观点, 见解, 眼状物, 风吹来的方向, [气]风眼//vt.看, 注视, 在...上打眼"
factory,[5fAktEri],"n.工厂, 制造厂, 商住花园外的代理"
far,[fB:],"adj.(常用于书面语)远的, 久远的, 遥远的//adv.(表示空间或时间上的距离)远, 很远, 遥远地, 久远地, 甚远地, 很, 很晚地//n.远处, 远方"
fast,[fB:st],"adj.紧的, 牢的, 忠实的, 快速的, 耐久的, 紧的//adv.牢固地, 很快地, 紧紧地, 彻底地//n.禁食, 绝食, 斋戒//vi.绝食, 斋戒"
field,[fi:ld],"n.原野, 旷野, 领域, (一块)田地, 牧场, 域, 战场, 运动场//vt.把(谷物等)暴晒于场上, 使上场//vi.担任场外队员//adj.田间的, 野生的, 野外的, 田赛的//扫描场"
find,[faind],"vt.找到, 发现, 感到, 查明, 得到, 认为, 见到...的存在//vi.裁决//n.发现//[计] 在文件中查找指定的字符串"
fine,[fain],"adj.美好的, 优良的, 杰出的, 精美的, 杰出的, 细, 纤细, 纯粹//n.罚款, 罚金, 晴天, 精细//vt.罚款, 精炼, 澄清//vi.变清, 变细//adv.<口>很好, 妙, [常用于构成复合词]细微地, 精巧地"
first,[fE:st],"adv.首先, 最初, 第一(列举条目等用), 优先//adj.第一的//num.第一(个)//n.开始, 第一, (比赛)冠军"
fish,[fiF],"n.鱼, 鱼肉, 鱼类, 接合板//vt.钓, 钓鱼, 查出, 用接合板连接//vi.捕鱼, 钓鱼, 用钩捞取, 间接探听, 拉摸索寻找"
floor,[flC:; flCE],"n.(房间, 走廊等的)地面, 地板, 基底, (室内的)场地, 层, 海底, 议员席//vt.在...上铺(地板), 击倒, (被困难)难倒"
foot,[fut],"n.足, 底部, 英尺, 音步(英诗), 步调, 步兵, 末尾//vt.走在...上, 支付, 给...换底, 结算//vi.步行, 跳舞, 总计"
football,[5futbC:l],"n.足球, 橄榄球"
fourth,[fC:W],num.第四个
fox,[fC:ks],"n.狐狸, 狐皮, 狡猾的人//vi.奸狡地行动, 变酸//vt.使变酸, 使生黄斑"
from,[frCm; frEm; frm],"prep.从, 今后, 来自, 由于"
from...to...,[],从…到…
garden,[5gB:dn],"n.(菜、花)园, 花园"
get (to),[],v.到达
get in,[],"v.进入, 到达, 收获, 插入, 陷入"
get on,[],"v.生活, 融洽相处, 进展, (使)前进, <口> 赶快, 发迹, 进展"
get ready for,[],为…准备好
get warmer,[],变得更暧和
give,[giv],"n.弹性, 可弯性//vt.给, 授予, 供给, 献出, 让步, 引起, 发表, 捐助//vi.捐赠, 让步"
glad,[glAd],"adj.高兴的, 乐意的, 感到高兴的"
go on,[],"v.继续下去, 过去, 发生, 依靠, 接近, 进行, 依据"
go skating,[],(去)滑冰
go swimming,[],(去)游泳
good-bye,[5gud5bai],"int.再见, 再会//n.告别"
granny,[5grAni],n.奶奶
grow,[grEu],"vi.生长, 成长, 渐渐变得, 增长, 增高//vt.种植, 栽培, 培育"
half,[hB:f],"n.一半, 半时, (球赛)半场, 半学年//adj.一半的, 不完全的, 半途的//adv.一半地, 部分地, 相当的"
handwriting,[5hAnd7raitiN],"n.笔迹, 书写体, 书法, 笔势"
happy,[5hApi],"adj.快乐的, 幸福的, 陶醉于...的, 恰当的"
happy birthday,[],n.生日快乐
hare,[hZE],n.野兔
harvest,[5hB:vist],"n.收获, 收成, 结果, 成果//v.收获, 收割"
has,[hAz; hEz; Ez; z],vbl.have 的第三人称单数现在式
have,[hAv],"vt.有, 持有, 拿, 从事(某事)//aux.已经"
have (one's) seat,[],坐(某人的)座位
have a good time,[],v.过得快乐
have a rest,[],休息一会儿
have breakfast,[],吃早餐
hear,[hiE],"vt.听到, 听说, 听取, 审理, 允许//vi.听见, 听到"
heavy,[5hi:vi],"adj.重的, 繁重的, 巨大的, 沉重的, 阴沉的//adv.沉重地, 笨重地, 大量地//n.重物, 严肃角色"
help,[help],"n.帮忙, 补救办法, 助手, 治疗, <美>佣工//vt.帮助, 助长, 接济, 治疗, 款待//vi.有用, 救命, 招待//[计] 显示命令格式的简短概述"
help yourself,[],随便吃
hers,[hE:z],pron.她的
hey,[hei],int.嗨!
hi,[hai],"int.嗨!(引人注意时的喊声,打招呼).未得到, 未达到, 未听到, 思念,"
high,[hai],"n.高度, 高处//adj.高的, 高原的, 高等的, 高音的, 傲慢的, 高尚的, 昂贵的, 严重的//adv.高度地, 奢侈地, 高价地"
hill,[hil],"n.小山, 丘陵, 斜坡, 山岗"
him,[him; im; Em],pron.他
hot,[hCt],"adj.热的, 热情的, 辣的, 激动的, 紧迫的, 节奏强的//adv.热, 热切的, 紧迫地"
hurry,[5hQri],"v.(使)赶紧, (使)匆忙, 加速//n.匆忙, 仓促"
in a minute,[],"adv.马上, 立刻"
ink,[iNk],n.墨水
interesting,[5intristiN],"adj.有趣味的, 引起好奇(或注意)的"
into,[5intu; 5intE],"prep.到...里, 进入到...之内, 成为...状况, 深入...之中"
its,[its],pron.它的
jacket,[5dVAkit],"n.短上衣, 夹克, (锅炉、水管等的)套, 书籍的封面套纸, 护封, 马铃薯皮//vt.给...穿夹克, 给...装护套"
kind,[kaind],"n.种类, 性质//adj.仁慈的, 和蔼的, 亲切的, 友爱的"
kitchen,[5kitFin],"n.厨房, 炊具, 炊事人员"
know,[nEu],"v.知道, 了解, 认识, 熟悉, 认出, 分辨, 确信"
lake,[leik],n.湖
large,[lB:dV],"adj.大的, 巨大的, 宽大的, 夸大的//adv.大大地, 夸大地, 顺风地//n.大"
last,[lB:st],"adj.最后的, 临终的, 末尾的, 最近的, 结论性的//vi.持续, 支持, 维持//vt.使维持, 楦//adv.最后, 后来//n.最后, 末尾, 临终, 鞋楦头"
leg,[leg],"n.腿, 胫, 旅程的一段//vi.走, 跑"
letter,[5letE],"n.文字, 字母, 信函, 字面意义, 铅字, 证书, 文学, 学问//vt.用字母标明, 在...上刻(或题)字//vi.写印刷体字母"
listen,[5lisn],"vi.听, 听从//v.听, 收听"
listen to,[],v.听
live,[liv],"adj.活的, 生动的, 精力充沛的, 实况转播的, 点燃的//vi.活着, 生活, 居住, 流在人们记忆中//vt.过着, 度过, 经历//adv.以实况地"
look for,[],"v.寻找, 期待"
look up,[],"v.向上看, 尊敬, 仰望, 查寻, 拜访, 好转"
lot,[lCt],"n.签, 抽签, 一堆, 许多, 命运, 一块地, 份额//vt.划分//vi.抽签, 抓阄"
lunch,[lQntF],n.午餐
make,[meik],"vt.制造, 安排, 使成为, 认为, 产生, 获得, 进行, 构成//vi.开始, 前进, 增大, 被制造, 被处理//n.制造, 构造, 性情"
matter,[5mAtE],"n.事件, 问题, 物质, 内容, 实质, 原因, (印刷或书写的)文件, (文章或讲话等的)素材//vi.有关系, 要紧"
may,[mei],v.aux.可以
maybe,[5meibi],"adv.大概, 或许//n.疑虑"
meat,[mi: t],"n.(食用)肉, 肉类"
milk,[milk],"n.乳, 牛奶//v.挤(奶), 授予, 供给, 献出, 让步, 引起, 发表, 捐助//v"
mine,[main],"n.矿, 矿山, 矿井, 源泉, 宝库, 地雷, 水雷//vt.挖掘, 开采, 在...布雷, 破坏//vi.开矿, 埋设地雷//pron.我的"
miss,[mis],"n.过错, 避免, 失败, 小姐, 姑娘//vt.未得到, 未达到, 未听到, 思念, 未觉察, 错过, 遗漏, 逃脱//vi.失败, 击不中"
model,[5mCdl],"n.样式, 型, 模范, 典型, 模型, 原型, 模特儿//vt.模仿//v.模拟"
monitor,[5mCnitE],"n.班长, 监听器, 监视器, 监控器//vt.监控//v.监控"
moon,[mu:n],"n.月球, 月亮, 卫星"
mouth,[mauW],"n.口, 嘴"
mr,[5mistE(r)tania ; 毛里塔尼亚abbr.E军] Medium-Cange; 中程],"[域] Mauritania , 毛里塔尼亚//abbr.[军] Medium-Range, 中程"
much,[mQtF],"adj.许多的, 大量的//adv.非常, 很, ...多, 更加, 非常, 得多, 多达, 多得多//n.许多, 大量//num.许多"
must,[mQst; mEst],"aux.必须, 应当, 很可能, 一定, 必须, 肯定, 可以"
nearby,[5niEbai],"adj.附近的, 邻近的//adv.在附近"
news,[nju:z],"n.新闻, 消息"
next,[nekst],"n.adj.下次的, 其次的, 与...连接, 下一个//adv.下一次, 其次"
night,[nait],"n.夜, 夜晚, 黑暗, 死亡"
no,[nEu],"n.否定, 投反对票者//adj.没有, 不许, 反对//adv.不, 并不, 毫不//[域] Norway , 挪威"
nothing,[5nQWiN],"n.无, 不关紧要之事, [数]零//adv.毫不, 决不//int.什么也没有, 无"
o'clock,[E5klCk],"n.点钟, 钟头"
of course,[],adv.当然
often,[5C(:)fn; 5C:ftEn],"adv.常常, 经常"
one,[wQn],"pron.一个人, 任何人, 一方//num.一, 一个//adj.一方的, 某一, 同样的"
one...the other...,[],一(人或物)…另一…
onion,[5QnjEn],"n.洋葱//vt.加洋葱于, 因洋葱掉泪"
other,[5QTE],"adj.其他的, 另外的, 从前的//pron.其他的, 他人, 另外一个//adv.另外地, 不同地"
ours,[5auEz],pron.我们的
out,[aut],"adj.外面的, 下台的, 出局的//adv.在外, 出声地, 显露出来地, 明显地, 从头至尾地//n.外面, 外出, 外观//vt.赶出, 击倒, 使退场//vi.外出, 暴露//prep.通过"
out of,[],"在...外// 从里面// 由于// 缺乏, 放弃// 丧失// 在...范围外// 用...制成// 来自// 与...不相宜, 不相称// 离开, 脱离"
owner,[5EunE],"n.所有者, 业主"
paper,[5peipE],"n.纸, 报纸, 文件, 证件, 论文, 考卷//vt.用纸糊(墙壁等), 用纸包装//adj.纸的, 象纸的, 纸上的"
parent,[5pZErEnt],"n.双亲, 父亲(或母亲)58"
park,[pB:k],"n.公园, 停车场, 炮场//vt.停放(汽车等).喷淋, 供以水, 注入水, 使湿"
pass,[pB:s],"n.经过, 关口, 途径, 护照, 通行证, 入场券, 传球, 及格//vt.通过, 审查通过, 忽略, 传递//vi.经过, 变化, 流通, 宣判, 被忽略, 终止, 传递, 不叫牌"
past,[pB:st],"n.过去, 往时//adj.过去的, 结束的//prep.越过, 晚于//vbl.pass的过去分词"
peasant,[5pezEnt],"n.农夫, 乡下人"
perhaps,[pE5hAps],"adv.或许, 多半"
picture-book,[],n.图画书
piece,[pi:s],"n.块, 件, 片, 篇, 张, 条, 硬币//vt.接合, 修补, 凑合"
plant,[plB:nt],"n.植物, 庄稼, 工厂, 车间, 设备//vt.种植, 栽培, 培养, 安置//vi.种植"
plate,[pleit],"n.盘子, 金属板, 图版, 金银餐具//vt.镀（金, 银等）, 电镀, 给...装钢板"
policeman,[pE5li:smEn],n.警察
poor,[puE],"adj.贫穷的, 可怜的, 乏味的, 卑鄙的"
present,[pri5zent],"n.赠品, 礼物, 现在, 瞄准//adj.现在的, 出席的, 当面的//vt.介绍, 引见, 给, 赠送, 上演, 提出, 呈现//vi.举枪瞄准"
put,[pQt],"vt.放, 摆, 安置, 表达, 迫使, 移动, 提出, 赋予//vi.出发, 航行, 发芽, 击//n.掷, 投击, 笨蛋, 怪人//vbl.put的过去式和过去分词//adj.固定不动的"
put up,[],"v.举起, 抬起, 进行, 提供, 表现出, 建造, 提名, 推举"
quite,[kwait],"adv.相当, 完全, 十分, 彻底"
radio,[5reidiEu],"n.<美>无线电通信, 无线电接收装置, 无线电广播设备//v.用无线电发送"
rain,[rein],"n.雨, 下雨, 雨天//vi.下雨//vt.使大量落下, 大量地给"
ready,[5redi],"adj.有准备的, 准备完毕的, 甘心的, 情愿的, 现成的, 迅速的"
rest,[rest],"n.休息, 静止, 支持物, 台, 架, [音]休止符, 其余, 其他//vi.休息, 睡眠, 静止, 依靠, 搁在, 保持(状态), 取决于//vt.使休息, 使静止, 睡眠, 依靠, 搁在"
rice,[rais],"n.稻, 米"
river,[5rivE],"n.河, 江"
round,[raund],"n.圆, 圆形物, 巡回, 轮唱, [体]一轮//adj.圆的, 球形的, 丰满的, 大概的, 十足的, 完全的, 率直的, 肥胖的//prep.围着, 附近, 绕过, 在...周围//vt.弄圆, 使成圆形, 绕行, 完成, 围捕, 四舍五入//vi.变圆, 发胖, 环行, 拐弯, 进展//adv.围绕着, 循环地, 在周围, 迂回地, 朝反方向, 挨个"
run,[rQn],"n.跑, 赛跑, 奔跑, 运转, 趋向//vi.跑, 奔, 逃跑, 竞选, 跑步, 蔓延, 进行, 行驶//vt.使跑, 参赛, 追究, 使流, 管理, 运行, 开动//adj.熔化的, 融化的, 浇铸的//vbl.run的过去式和过去分词"
say,[sei],"v.说, 讲, 背诵, 念, 表示, 比方说, 假定//n.话语, 想说的意见, 发言权"
schoolgirl,[5sku:lgE:l],"n.女生, 女学生"
season,[5si:zn],"n.季, 季节//v.(使)适应, (使)适用, 调味"
second,[5sekEnd],"n.秒, 片刻, 第二者, 第二人, 助手, 次货, 二等品//adj.另一个, 又一个//num.第二//vt.赞成, 支持"
see,[si:],"v.看, 看见, 了解, 领会, 注意, 留心, 经历, 阅历"
set,[set],"v.放, 置, 移动到, 使(人或事物处于某种状态), 提出, 树立, 规定, 调整//n.一套, 一副, 一批, 接受机, 装置, 趋势, 布景//adj.固定的, 规定的, 坚决的, 固执的, 事先做好的"
shine,[Fain],"v.照耀, 发光//vt.擦亮//n.光泽, 光亮"
shirt,[FE:t],"n.衬衫, 衬衣"
sing,[siN],"v.唱, 演唱"
skate,[skeit; skit],"n.冰鞋, 溜冰, 老马, 可鄙的人//vi.滑冰, 滑过"
skirt,[skE:t],n.裙子//v.环绕
sleep,[sli:p],"vi.睡, 睡觉//n.睡眠"
slow,[slEu],"adj.慢的, 迟钝的, 不活跃的, 缓慢的//v.(～ down)(使)慢下来, (使)减速, 减缓//adv.缓慢"
slowly,[5slEuli],"adv.慢慢地, 迟缓地"
smile,[smail],vi.(～ at) 微笑//n.微笑
snow,[snEu],n.雪//vi.下雪
so,[sEu; sE],"conj.因而, 所以, 那么, 这样看来//adv.[表示程度] 如此, 那么, 非常, 很, [表示方式] 这样, 那样, 如此, 因此//[域] Somalia , 索马里"
some...others...,[],一些人…，其他人…
something,[5sQmWiN],"pron.某事, 某物//adj.有点象, 大约"
sometimes,[5sQmtaimz],"adv.不时, 有时"
song,[sCN],"n.歌, 歌曲"
soon,[su:n],"adv.立刻, 不久, 快, 早, 宁愿"
speak,[spi:k],"v.说话, 谈话, 说明事实, 表示意见, 发言, 演讲, 操(某种语言) 议员"
spring,[spriN],"n.春天, 跃起, 泉, 弹簧, 发条, 弹性, 弹力, 根源//v.跳, 跃, 跃出, 使跳跃, 使爆炸, 触发"
still,[stil],"n.寂静, 剧照, 照片//adj.静止的, 静寂的//adv.还, 仍, 更, 还要, 尽管如此, 依然//静止画面,静态图片"
stop,[stCp],"n.停止, 车站, 逗留, 障碍, 风琴的音栓, 填塞//vi.停止, 被塞住//vt.塞住, 堵塞, 阻止, 击落, 断绝, 终止, 难倒"
story,[5stC:ri],"n.故事, 小说, 传说, 事迹, 经历, 假话, 谎话"
story-book,[],n.故事书
street,[stri:t],"n.街, 街道"
summer,[5sQmE],"n.夏季//vi.避暑, 过夏天//adj.夏季的, 在夏季的"
sun,[sQn],"n.太阳, 阳光, 恒星//vt.晒//n.(Sun) 星期天(=Sunday)//美国Sun公司，主要生产SUN系列工作站和网络产品, 是JAVA语言的创始者"
supper,[5sQpE],n.晚餐
sure,[FuE],"adj.对....有把握, 确信某事, 稳当的, 可靠的//adv.的确, 当然"
sweep,[swi:p],"v.扫, 打扫, 清扫, 席卷, 冲光, 扫过, 掠过"
sweetly,[5swi:tli],"adv.甜地, 香郁地, 含糖地"
swim,[swim],"n.游泳, 漂浮, 潮流, 眼花//adj.游泳时穿戴的vi.游泳, 游, 漂浮, 旋转, 覆盖, 充溢, 眩晕, 浸//vt.游过, 使浮起//adj.游泳时穿戴的"
take,[teik],"v.拿, 拿走, 取, 抓, 占领, 获得, 接受, 感受//n.捕获量"
take down,[],"v.拿下, 记下, 拆卸, 病倒"
take this seat,[],坐这个座位
take...out,[],把…拿出来，取出
talk,[tC:k],"v.谈话, 讲, 谈论, 议论, 说服某人做某事//n.谈话, 会谈, 讲演, 讲话"
tea,[ti:],"n.茶, 茶树, 茶叶, 茶点//vt.给...沏茶//vi.喝茶, 进茶点"
television,[5teliviVEn],"n.电视, 电视机, 电机学, 电视广播事业"
tell,[tel],"vt.告诉, 说, 吩咐, 断定, 知道//vi.讲述, 泄密, 告发, 表明, 作证//n.<方>讲的事, 传闻"
text,[tekst],"n.正文, 原文, 课文, 课本"
than,[TAn; TEn; Tn],conj.比//prep.与...相比较
thank,[WANk],"vt.感谢, 用于表示强制的要求, 用将来时"
theirs,[TZEz],"pron.他们的(所有物), 属于他们的(东西)"
them,[Wem],"pron.[they 的宾格] 他们, 她们, 它们"
think,[WiNk],"v.想, 思索, 认为//vt.认为, 以为, 预料"
third,[WE:d],"num.第三, 三分之一"
tomato,[tE5mB:tEu; tE5meitEu],"n.番茄, 西红柿"
too,[tu:],"adv.也, 太过份"
tortoise,[5tC:tEs],"n.龟, 迟缓的人"
truck,[trQk],"n.卡车, 敞棚货车, (车站)搬行李用的手推车, 交易, 交换, 废话, 废物, 实物工资//vt.交易, 交往, 以卡车运输//vi.驾驶卡车, 以物易物//adj.<主美>运货汽车的"
turn green,[],变绿(色)
turn...over,[],把…翻过来
twenty to eight,[],八点差二十
usually,[5ju:VuEli],"adv.通常, 大抵"
very,[5veri],"adv.很, 甚, 及其, 非常, 完全//adj.真正的, 真实的, 恰好的, 绝对的, 十足的, 特别的"
very much,[],非常
voice,[vCis],"n.声音, 嗓音, 发音能力, 意见, 发言权, [语法]语态//vt.表达, 吐露"
wait,[weit],"v.(～ for)等待, 等候//n.等待, 等待时间"
wait for,[],v.等待
wake,[weik],"vt.叫醒, 激发//vi.醒来, 醒着, 警觉, 振奋//n.醒, 守夜, 尾迹, (人, 车等经过的)痕迹, 守丧"
wake up,[],v.醒来
wake...up,[],唤醒；弄醒
walk,[wC:k],"vi.步, 行, 走//n.步行, 散步, 步, 行道"
warm,[wC:m],"adj.暖和的, 暖的, 温暖的, 色情的, 激烈的, 热烈的, 多情的, 兴奋的//adv.(常用以构成复合词)暖和地//vt.使温暖, 弄热, 使兴奋, 使热烈//vi.变暖和, 变温暖, 激动, 同情, 爱好//n.暖, 保暖物"
watch,[wCtF],"n.注视, 注意, 手表, 看守, 守护, 监视, 值班人//vt.看, 注视, 照顾, 监视, 警戒, 守护, 看守//vi.观看, 注视, 守侯//adj.手表的, 挂表的"
water,[5wC:tE],"n.水, 雨水, 海水, 水位, 水面, 流体//vt.喷淋, 供以水, 注入水, 使湿//vi.流泪, 加水//adj.水的, 水上的, 水生的, 含水的"
way,[wei],"n.路, 路线, 路途, 习惯, 行业, 规模, 道路, 情形//adj.中途, 途中的//adv.远远地, 大大地, 非常"
weather,[5weTE],"n.天气, 气候, 气象, 处境//adj.迎风的, 露天的//vt.使受风吹雨打, 侵蚀, 使风化, 经受住//vi.风化, 受侵蚀, 经受风雨"
well,[wel],"adj.健康的, 良好的, 适当的//adv.好, 满意地, 充分地, 彻底地, 有理地, 适当地, 夸奖地//n.井//vi.涌出"
what,[(h)wCt],"pron.什么//int.怎么, 多么//adj.什么//adv.到什么程度, 在哪一方面//n.本质, 实质, 要素"
when,[(h)wen],"conj.就在那个时候, 在...的时候//adv.什么时候, ...的时候//pron.什么时侯, 那时"
which,[(h)witF],"pron.哪个, 哪几个, ...的, ...那个//adj.哪个"
why,[(h)wai],"adv.为什么, ...的(理由)//int.(表吃惊, 满意等)哎呀!什么?"
will,[wil; wEl; El; l],"n.意志, 决心, 意向, 遗嘱//v.aux.将, 愿意, 必须"
winter,[5wintE],"n.冬, 冬季, 萧条期, 衰退期//adj.冬天的//vt.对...进行冬天保护//vi.过冬"
with,[wiT],"prep.有, 以, 用, 同...,由于, 和...一致, 赞成, 关于, 就"
word,[wE:d],"n.字, 词, 话, 消息, 诺言, 命令//vt.为...措辞"
write down,[],"v.写下, 把...描写成"
write to,[],写信给…
