a la mode,[B:lB:5mEud],"adj.流行的,时髦的,加冰淇淋的",
abscond,[Eb5skCnd],"vi.潜逃,避债",abs（离开）＋cond（藏起来）。*同根词：condiment（调味品→把坏味道藏起来） 
absentee,[7AbsEn5ti:],"n.缺席者,未上班者", 
absolutism,[5AbsElu:tizm],"n.专制主义,绝对论", 
absolve,[Eb5zClv],v.宣布免除, 
abstain,[Eb5stein],"v.禁绝,放弃",abs（不）＋tain（拿住）→不拿住→放弃*同根词：retain（保留） 
abstemious,[Ab5sti:mjEs],"adj.有节制的,节约的",abs＋tem（酒）＋ious→不喝酒→节制的tem来自拉丁文temetum＝mead（蜜酒） 
abstention,[Ab5stenFEn],n.节制, 
abstinence,[5AbstinEns],"n.节制,节欲,戒酒", 
abstract,[5AbstrAkt],"n.摘要,概要,抽象;adj.抽象的,深奥的,理论的;vt.摘要,提炼,抽象化", 
abstraction,[Ab5strAkFEn],n.提取, 
abstruse,[Ab5stru:s],"adj.奥妙的,深奥的",abs＋trus（走，推）→走不进去→难懂的*同根词：intrusion（闯入） 
absurd,[Eb5sE:d],"adj.荒谬的,可笑的", 
absurdity,[Eb5sE:diti],"n.荒谬,谬论", 
abysmal,[E5bizmEl],"adj.深不可测的,无底的",来自下面的单词abyssa＋byss（深）→不知多深→深渊 
abyss,[E5bis],n.深渊,a＋byss（深）→不知多深→深渊 
accede,[Ak5si:d],"v.同意,加入,同意",ac＋cede（走）→走到一起→同意同根词：concede（让步） 
accelerate,[Ak5selEreit],"v.加速,促进",ac＋celer（速度）＋ate→加速*同根词：celerity（迅速） 
acceleration,[Ak7selE5reiFEn],n.加速度,ac＋celer（速度）＋ation→加速度*同根词：celerity（迅速） 
accelerator,[Ak5selEreitE],"n.加速者,加速器",ac＋celer（速度）＋ator→加速器*同根词：celerity（迅速） 
accessible,[Ek5sesEbl],"adj.易接近的,可到达的,易受影响的,可理解的", 
accession,[Ak5seFEn],"n.就职,就任,添加,增加", 
accessory,[Ak5sesEri],"n.附件,零件,附加物,从犯,同谋者;adj.附属的,补充的,同谋的,副的", 
acclaim,[E5kleim],"n.喝彩,欢呼v.欢呼,称赞", 
acclamation,[7AklE5meiFEn],"n.欢呼,喝彩,(以欢呼、鼓掌等表示的)拥护,赞成", 
acclimatize,[E5klaimEtaiz],"vt.使适应(或习惯)新环境(或气候等),使服水土", 
accolade,[5AkEleid],"n.赞美,骑士爵位的授予,连谱号",ac＋col（脖子）＋ade→把奖品挂上脖子→赞美*同根词：collar（领口，项圈） 
accomplice,[E5kCmplis],"n.同谋者,帮凶",ac＋com（共同）＋plic（重叠）→一起干→同谋*同根词：duplicity（口是心非） 
accordion,[E5kC:djEn],n.手风琴;adj.可折叠的, 
accredit,[E5kredit],"vt.信任,授权,归于", 
accretion,[A5kri:FEn],n.增长,ac＋cret（增加）＋ion，见accrue 
accrue,[E5kru:],"vi.自然增加,产生",ac＋crue（增加） 
accumulate,[E5kju:mjuleit],"v.积聚,堆积",ac＋cumul（堆积）＋ate→再堆积→积累 
accumulative,[E5kju:mjulEtiv],"adj.积聚的,累积的",ac＋cumul（堆积）＋ative→再堆积→积累 
acerbic,[E5sE:bik],"adj.酸的,尖刻的",acerb（酸）＋ic（多…的） 
acetate,[5Asi7teit],"n.[化]醋酸盐,醋酸纤维素及其制成的产品",acet（酸）＋ate 
acetic,[E5si:tik],"adj.[化]醋的,乙酸的",acet（酸）＋ic（…的） 
acidulous,[E5sidjulEs],"adj.多少带酸味的,不悦的",acid（酸）＋ulous（多…的） 
acknowledge,[Ek5nClidV],"vt.承认,答谢,报偿", 
acknowledgement,[Ek5nClidVmEnt],"n.承认,确认,感谢", 
acme,[5Akmi],"n.顶点,极致", 
acne,[5Akni],"n.痤疮,粉刺", 
acorn,[5eikC:n],"n.[植]橡树果,橡子", 
acoustic,[E5ku:stik],"adj.有关声音的,声学的,音响学的", 
acoustically,[],"adv.听觉上,声学上", 
acoustics,[E5ku:stiks],n.声学, 
acquiesce,[7Akwi5es],"vi.默许,勉强同意", 
acquisition,[7Akwi5ziFEn],"n.获得,获得物",ac＋quisit（得到）＋ion→一再要得到→贪婪的*同根词：requisite（必需品） 
acquisitive,[E5kwizitiv],"adj.想获得的,有获得可能性的,可学到的",ac＋quisit（得到）＋ive→一再要得到→贪婪的*同根词：requisite（必需品） 
acquit,[E5kwit],"vt.宣告无罪,脱卸义务和责任,还清(债务)",ac＋quit（免除，抛弃）＋tal→得到自由→开释注意quit本身就是一个单词 
acquittal,[E5kwit(E)l],n.宣判无罪,ac＋quit（免除，抛弃）＋tal→得到自由→开释注意quit本身就是一个单词 
acrid,[5Akrid],"adj.辛辣的,(言语或语调)刻薄的", 
acrimonious,[7Akri5mEunjEs],"adj.严厉的,辛辣的",acri（尖，酸）＋monious→尖刻 
acrimoniously,[],"adv.毒辣地,尖刻地",acri（尖，酸）＋moniously→尖刻 
acrimony,[5AkrimEni],"n.言谈举止上的刻毒,讽刺,毒辣",acri（尖，酸）＋mony（表示名词）→尖刻 
acrobatics,[7AkrEu5bAtiks],n.杂技, 
acronym,[5AkrEnim],n.只取首字母的缩写词,acro（高）＋nym（名称）→把高出小写字母的大写字母放在一起，如：GRE，TOEFL 
activate,[5Aktiveit],"vt.刺激,使活动;vi.有活力", 
actuate,[5Aktjueit],"vt.开动,促使", 
acuity,[E5kjuiti],"n.尖锐,(疾病的)剧烈,(视力、才智等的)敏锐", 
acumen,[E5kju:mEn],"n.敏锐,聪明",acu〔尖端〕+men〔表示名词〕*同根词：acupuncture（针灸） 
acupuncture,[5AkjupQNktFE(r)],n.针刺疗法;v.施行针刺疗法, 
acute,[E5kju:t],"adj.敏锐的,[医]急性的,剧烈", 
ad hoc,[5Ad5hCk],adv.特别, 
adage,[5AdidV],"n.格言,谚语", 
adamant,[5AdEmEnt],adj.坚硬的,联想*记忆：adam（亚当）＋ant（蚂蚁）“亚当”和“蚂蚁”都是坚定的人或动物。 
addendum,[E5dendEm],"n.附录,补遗", 
adder,[5AdE],"n.[计]加法器,[动](欧洲产)蝰蛇(小毒蛇),(北美产无毒的)猪鼻蛇", 
additive,[5Aditiv],"adj.附加的,加成的,添加的;n.添加剂;adj.添加的,附加的,加法的", 
addled,[5Ad(E)ld],"adj.腐坏的,混乱的",联想*记忆：add+le，add（增加）→事情增加容易混乱。 
adduce,[E5dju:s],"vt.引证,举出(例证、理由、证据)",ad＋duce（引导）→引导出→举出*同根词：induce（引诱） 
adept,[5Adept7E5dept],"adj.熟练的,拿手的;n.老手,擅长者",ad＋ept（能力）→老练的*注意分辩adopt（采纳，收养），adapt（适应） 
adjacent,[E5dVeisEnt],"adj.邻近的,接近的",ad＋jacent（tolie躺）→躺在附近→接近的 
adjoin,[E5dVCin],"v.邻接,毗连", 
adjourn,[E5dVE:n],"vi.延期,休会,换另一个地方;vt.使中止,推迟", 
adjudge,[E5dVQdV],"vt.宣判,判决,把...判给,认为", 
adjudicate,[E5dVu:dikeit],"v.判决,宣判,裁定",ad＋judic（tojudge判断）＋ate→进行判断→裁决*同根词：judicious（明智的） 
adjudication,[E7dVu:di5keiFEn],"n.判决,(法院的)宣告",ad＋judic（tojudge判断）＋ation→进行判断→裁决*同根词：judicious（明智的） 
adjunct,[5AdVQNkt],"n.附件,助手;adj.附属的", 
adjure,[E5dVuE],"vt.起誓,恳请,(以起誓或诅咒等形式)命令",ad＋jure（发誓）→让人发誓去做→恳请 
adman,[5AdmAn],"n.广告部门职员,拉广告者", 
admass,[5AdmAs],n.易受大众传媒影响的群众, 
admissible,[Ed5misEbl],"adj.可容许的,可接纳的", 
admixture,[Ed5mikstFE],"n.混合,混合物", 
admonish,[Ed5mCniF],"vt.劝告,训诫,警告", 
adolescence,[AAdEu`lesEns],n.青春期(一般指成年以前由13至15的发育期), 
adolescent,[7AdEu5lesnt],"adj.青春期的,青春的;n.青少年", 
adorable,[E5dC:rEbl],"adj.可崇拜的,可爱的",ad＋ore（讲话）+able→不断想对某人讲话→热爱（某人）*同根词：oration（演讲） 
adoration,[7AdC:5reiFEn],"n.崇拜,爱慕,受崇拜(或爱慕)的对象",ad＋ore（讲话）+ation→不断想对某人讲话→热爱（某人）*同根词：oration（演讲） 
adore,[E5dC:],"v.崇拜,爱慕,(口语)喜爱",ad＋ore（讲话）→不断想对某人讲话→热爱（某人）*同根词：oration（演讲） 
adoring,[E`dC:riN],"adj.崇拜的,敬慕的",ad＋ore（讲话）→不断想对某人讲话→热爱（某人）*同根词：oration（演讲） 
adorn,[E5dC:n],v.装饰, 
adornment,[E5dC:nmEnt],"n.装饰,装饰品",ad＋orn（提供），*同根词：suborn（贿赂） 
adrift,[E5drift],"adv.漂浮着,随波逐流地;adj.漂泊的", 
adroit,[E5drCit],"adj.熟练的,机捷的",a＋droit（灵巧）。注意：maladroit（笨拙的） 
adulation,[AAdju`leiFEn],"n.奉承,阿谀", 
adulterate,[E5dQltEreit],"vt.掺杂;adj.掺假的,通奸的", 
adulteration,[],"n.掺杂,掺假货", 
adumbrate,[5AdQm7breit],"vt.画轮廓,预示",ad＋umbr（影子）＋ate→影子提前来到→预示*同根词：umbrella（雨伞），umbrage（不快） 
adumbration,[],n.预兆, 
advent,[5AdvEnt],"n.(尤指不寻常的人或事)出现,到来",ad＋vent（到来）。*同根词：intervention（干涉） 
adventitious,[7Adven5tiFEs],"adj.偶然的,外来的", 
adversary,[5AdvEsEri],"n.敌手,对手",ad＋vers（转）＋ary→对着转的人→对手注意：adversity（灾难） 
adverse,[5AdvE:s],"adj.不利的,敌对的,相反的",ad＋vers（转）＋e→对着转的→不利的*注意：adversity（灾难） 
adversely,[],"adv.逆地,反对地",ad＋vers（转）＋ely→对着转的→不利的*注意：adversity（灾难） 
adversity,[Ed5vE:siti],"n.不幸,灾祸,逆境",ad＋vers（转）＋ity→转来坏运气→不幸 
advocacy,[5AdvEkEsi],"n.拥护,鼓吹,辩护,辩护术", 
advocate,[5AdvEkit],"n.提倡者,鼓吹者;vt.提倡,鼓吹", 
aerobatic,[7ZErEu5bAtik],adj.特技飞行的, 
aerobatic,[7ZErEu5bAtik],adj.特技飞行的, 
aerobatics,[7ZErEu5bAtiks],"n.特技飞行,特技飞行术", 
aerobic,[7eiE5rEubik],"adj.依靠氧气的,与需氧菌有关的,增氧健身法的", 
aerobics,[7ZE5rEubiks],"n.有氧运动法,增氧健身法(指跑步,优越等增强心肺循环功能的运动)", 
aerodynamic,[7ZErEudai5nAmik],adj.空气动力学的, 
aerodynamics,[7ZErEudai5nAmiks],"n.空气动力学,气体力学", 
aerogramme,[`ZErEugrAm],"n.无线电报,航空邮件", 
aeronautic,[7ZErE5nC:tik],adj.航空的, 
aeronautics,[7ZErE5nC:tiks],"n.航空学,航空术", 
aerosol,[5ZErEsCl],"n.浮质(气体中的悬浮微粒,如烟,雾等),[化]气溶胶,气雾剂,烟雾剂", 
aerospace,[5ZErEuspeis],n.航空宇宙, 
aesthete,[5i:sWi:t75esWi:t],"n.审美家,唯美主义者",a＋esthe（感觉）＋ics→（对美）有感觉→美学*同根词：anaesthetic（麻醉药，ana＝not） 
aesthetic,[i:s5Wetik],"adj.美学的,审美的,有审美感的",a＋esthe（感觉）＋tic→（对美）有感觉→美学*同根词：anaesthetic（麻醉药，ana＝not） 
aesthetics,[i:s5Wetiks],"n.美学,美术理论,审美学,美的哲学",a＋esthe（感觉）＋tics→（对美）有感觉→美学*同根词：anaesthetic（麻醉药，ana＝not） 
affable,[5AfEbl],adj.和蔼可亲的,af＋fable（说，讲）→可以说话的→和蔼的*同根词：inaffable（无法表达的） 
affectionate,[E5fekFEnit],"adj.亲爱的,挚爱的", 
affectionately,[E`fekFLnEth],"adv.挚爱地,亲切地", 
affidavit,[7Afi5deivit],"n.<美>[律]宣誓书,(经陈诉者宣誓在法律上可采作证据的)书面陈述",af＋fid（相信）＋avit（名词）→让人相信的东西→宣誓书*同根词：perfidy（不忠，背叛） 
affiliate,[E5filieit],"v.(使...)加入,接受为会员",af＋fili（儿子）＋ate→成为儿子→加入*同根词：filial（子女的） 
affiliation,[E7fili5eiFEn],"n.联系,从属关系",af＋fili（儿子）＋ation→成为儿子→加入*同根词：filial（子女的） 
affinity,[E5finiti],"n.密切关系,吸引力,姻亲关系,亲合力",af＋fin（联系）＋ity→有联系→密切关系*同根词：affine（姻亲） 
affirmative,[E5fE:mEtiv],"adj.肯定的,(对正式辩论中的问题)表示赞成的,(态度,方法等)积极的,乐观的,怀有希望的;n.肯定语",af＋firm（坚定）＋ative→再坚定→肯定的*firm本身是一个单词（anaffirmativeanswer）。 
affirmatively,[],adv.肯定地,af＋firm（坚定）＋atively→再坚定→肯定的*firm本身是一个单词（anaffirmativeanswer）。 
afflict,[E5flikt],"vt.使痛苦,折磨",af＋flict（打击）＋ion→一再受到打击→痛苦*同根词：conflict（冲突） 
affliction,[E5flikFEn],"n.痛苦,苦恼",af＋flict（打击）＋ion→一再受到打击→痛苦*同根词：conflict（冲突） 
affluence,[5AfluEns],"n.富裕,富足", 
affluent,[5AfluEnt],"adj.丰富的,富裕的", 
afforest,[A5fCrist],vt.造林于, 
afforestation,[E7fCris5teiFEn],"n.造林,造林地区", 
affray,[E5frei],"n.(尤指在公共场所的)吵架,打架", 
affront,[E5frQnt],"n.公开侮辱,轻蔑;vt.公开侮辱,冒犯,面对",af＋front（前面，脸面）→冲着别人的脸→冒犯*同根词：effrontery（厚颜无耻） 
aforementioned,[E`fC:AmenFEnd],"adj.上述的,前述的", 
aftermath,[5B:ftEmAW],"n.结果,后果", 
agape,[E5geip],"adj.adv.张口发呆地,目瞪口呆地", 
agglomeration,[E7glCmE5reiFEn],"n.结块,凝聚,块", 
aggrandize,[E5grAndaiz],"vt.增加,夸大",ag＋grand（大）＋ize→增大。*同根词：grandeur（宏伟） 
aggravate,[5AgrEveit],"vt.使恶化,加重",ag＋grav（重）＋ate→加重*同根词：gravity（庄重） 
aggravation,[7AgrE5veiFEn],"n.,加重(病情、负担、罪行、危机等的),更恶化,恼怒",ag＋grav（重）＋ation→加重*同根词：gravity（庄重） 
aggregate,[5Agrigeit],"n.合计,总计,集合体;adj.合计的,集合的,聚合的;v.聚集,集合,合计", 
aggregation,[Agri5geiFEn],"n.集合,集合体,聚合",ag＋greg（团体）＋ate→成为团体→集合。*同根词：gregarious（喜社交的）。 
aggrieved,[E5gri:vd],"adj.受虐待的,权利受到不法侵害的,抱不平的",ag＋griev（悲伤）＋ed→悲伤的*同根词：grievous（令人悲痛的，伤害严重的）。 
aghast,[E5gB:st],"adj.惊骇的,吓呆的",a＋ghast（害怕）→害怕的，吓呆的*同根词：gast（恐惧），ghost（鬼魂）。注意：ghast＝gast＝ghost，是同一词根变体。 
agile,[5AdVail],"adj.敏捷的,轻快的,灵活的",frag（＝fract断裂）＋（易…的）→易碎的*同根词：fragment（碎片） 
agitate,[5AdViteit],"v.搅动,摇动,煽动,激动", 
agitation,[AdVi5teiFEn],"n.激动,兴奋,煽动,搅动",ag（做）＋itate（表示不断的动作）→不断地做→鼓动。 
agnostic,[Ag5nCstik],n.[哲]不可知论者,a＋gnost（知道）＋ic→不知道→不可知的*同根词：diagnostic（诊断的） 
agog,[adj.兴奋的7热切的;adv.热切地7渴望],,agog可以作词根，意为“引导”，如demagogue（煽动者） 
agonize,[5AgEnaiz],"vt.使极度痛苦,折磨;vi.感到极度痛苦", 
agony,[5AgEni],"n.苦恼,极大的痛苦",agon（挣扎）＋y→拚命挣扎→痛苦*同根词：agonizing（引起大痛苦的）。 
agrarian,[E5grZEriEn],"adj.有关土地的,耕地的", 
agronomy,[Eg5rCnEmi],"n.农艺学,农学", 
aide,[eid],"n.<美>助手,副官,侍从武官", 
ail,[eil],"vt.折磨,使疼痛,使烦恼",ail（小病）＋ment。 
ailment,[5eilmEnt],"n.疾病(尤指微恙),不宁,不安",ail（小病）＋ment。 
airborne,[5ZEbC:n],"adj.空运的,空气传播的,空降的", 
airtight,[5ZEtait],"adj.密封的,无懈可击的", 
airway,[5ZEwei],"n.空中航线,通风孔", 
airworthy,[5ZEw :Ti],"adj.耐飞的,适宜航空的", 
aisle,[ail],"n.走廊,过道", 
ajar,[E5dVB:],adj.(门窗等)微开的, 
akin,[E5kin],"adj.同族的,类似的", 
albatross,[5AlbEtrCs],"n.[鸟]信天翁,沉重负担", 
albeit,[C:l5bi:it],conj.虽然, 
albumen,[5Albjumin],"n.蛋白,[植]胚乳", 
alchemy,[5Alkimi],"n.炼金术,魔力",常和chemistry（化学）一起考。 
alcoholism,[5AlkEhClizEm],n.酒精中毒, 
ale,[eil],n.淡色啤酒(较一般啤酒含更多的酒精),ambi（二）＋val（强大）＋ent→两边都有力量→矛盾看法*同根词：valiant（勇敢的） 
alfalfa,[Al5fAlfE],n.[植]紫花苜蓿, 
alfresco,[Al5freskEu],"adv.adj.在户外,在露天", 
algae,[5AldVi:],"n.藻类,海藻", 
algebra,[5AldVibrE],n.代数学, 
algorithm,[5AlgEriTEm],n.[数]运算法则, 
alias,[5eiliAs75eiliEs],"n.别名,化名", 
alibi,[5Alibai],"n.[律]犯罪现场,辩解,托辞", 
alienate,[5eiljEneit],v.疏远,由alien（外国人）而来 
alight,[E5lait],"vi.落下;adj.点着的,发亮的", 
align,[E5lain],"vi.排列;vt.使结盟,使成一行",mal（坏）＋ign→坏的，邪恶的*参考：benign（仁慈的） 
alignment,[E5lainmEnt],"n.队列,结盟", 
alimony,[5AlimEni],"n.[律](离婚或分居后在诉讼期间男方给女方的)赡养费,生活费", 
alkali,[5AlkElai],n.[化]碱;adj.碱性的, 
alkaline,[5AlkElain],"adj.[化]碱的,碱性的", 
allay,[E5lei],"vt.减轻,减少", 
allegation,[7Ali5geiFEn],"n.主张，断言,辩解",al＋leg（法律）＋ation→求助于法律→指控*同根词：illegal（不合法的） 
allege,[E5ledV],"vt.宣称,断言", 
alleged,[E5ledVd],"adj.声称的,所谓的", 
allegedly,[E5ledVidli],adv.依其申述, 
allegiance,[E5li:dVEns],"n.忠贞,效忠",al＋leg（法律）＋iance→靠近法律→拥护 
allegory,[5AligEri],n.寓言, 
allergic,[E5lE:dVik],"adj.[医]过敏的,患过敏症的",all（其它）＋erg（起作用，工作）＋ic→起其它作用→过敏*同根词：ergophobia（厌工作症） 
alleviate,[E5li:vieit],"vt.使(痛苦等)易于忍受,减轻",al＋lev（轻）＋iate→减轻*同根词：levity（轻率） 
alleviation,[Eli:vi5eiFEn],n.缓和, 
alley,[5Ali],"n.小路,巷,(花园里两边有树篱的)小径",注意不要和alloy（合金）相混。 
alliance,[E5laiEns],"n.联盟,联合",可以和“daily”（每日的）一起*记，（dallytimeawaydaily每天蹉跎光阴）。 
alligator,[5AligeitE],n.产于美洲的鳄鱼, 
alliteration,[E7litE5reiFEn],n.头韵, 
allocate,[5AlEukeit],"vt.分派,分配", 
allocation,[7AlEu5keiFEn],"n.分配,安置",al＋loc（地方）＋ation→给地方→分配*同根词：location（地点） 
allot,[E5lCt],"vt.(按份额)分配,分派", 
allotment,[E5lCtmEnt],n.分配, 
alloy,[5AlCi],"n.合金;vt.使成合金,减低成色",注意单词：unalloyed（纯粹的） 
allude,[E5lju:d],"vi.暗指,影射,间接提到",al＋lude（嬉笑）→在嬉笑中说→暗指*同根词：ludicrous（嬉弄的，可笑的） 
allure,[E5ljuE],v.吸引, 
allusion,[E5l(j)u:VEn],"n.提及,暗示", 
ally,[E5lai7A5lai],"v.结盟,与...(在血统,性质等上)有关联,同盟;n.同盟国,支持者", 
almanac,[5C:lmEnAk;5ClmE7nAk;5CmEnik],"n.历书,年鉴", 
almighty,[C:l5maiti],adj.全能的, 
almond,[5B:mEnd],"n.[植]杏树,杏仁,杏仁壮物", 
aloe,[5AlEu],"n.芦荟,芦荟油", 
alpine,[5Alpain],"adj.高山的,阿尔卑斯山的", 
altar,[5C:ltE],"n.祭坛,(基督教教堂内的)圣坛,祈祷祭拜的地方", 
alter,[5C:ltE],v.改变,注意不要和下面的altercation（争吵）相混，二个单词都来自alter（改变）一词。*同根词：alternate（交替的） 
alteration,[7C:ltE5reiFEn],"n.变更,改造",注意不要和下面的altercation（争吵）相混，二个单词都来自alter（改变）一词。*同根词：alternate（交替的） 
alternate,[C:l5tE:nit],"adj.交替的,轮流的,预备的;v.交替,轮流,改变", 
alternation,[7C:ltE:5neiFEn],"n.交替,轮流,间隔", 
alternative,[C:l5tE:nEtiv],"n.二中择一,可供选择的办法,事物;adj.选择性的,二中择一的", 
altitude,[5Altitju:d],"n.(尤指海拔)高度,高处(海拔甚高的地方),(等级,地位等)高等", 
altruism,[5AltruizEm],"n.利他主义,利他",altru（其它的）＋ism。 
aluminum,[E5lju:minEm],n.[化]铝, 
alumnus,[E5lQmnEs],"n.男毕业生,男校友", 
amalgam,[E5mAlgEm],"n.[采矿]汞合金,汞齐",，该词来自拉丁文amalgame（混合）。联想*记忆：amalgam，前后两个am结合→混合 
amalgamate,[E5mAlgEmeit],"v.使与汞混合,合并", 
amass,[E5mAs],"vt.收集,积聚(尤指财富)",a＋mass（一团）→变成一团→积聚*同根词：massive巨大的 
amateur,[5AmEtE(:)75AmEtjuE],"n.业余爱好者,业余艺术家",来自amateur（业余爱好者）amat＝amor（爱）＋eur（人）→爱好的人→业余爱好者*同根词：amorous（多情的） 
amateurish,[7AmE5tE:riF7-5tjuEriF],"adj.业余的,非职业的,不熟练的",来自amateur（业余爱好者）amat＝amor（爱）＋eur（人）→爱好的人→业余爱好者*同根词：amorous（多情的） 
ambassador,[Am5bAsEdE],n.大使, 
ambassador,[Am5bAsEdE],n.大使, 
ambassador,[Am5bAsEdE],n.大使, 
amber,[5AmbE],"n.琥珀;adj.琥珀制的,琥珀色(黄色)的", 
ambience,[5AmbiEns],"n.周围环境,气氛", 
ambiguity,[7Ambi5gju:iti],"n.含糊,不明确", 
ambiguous,[7Am5bigjuEs],"adj.暧昧的,不明确的", 
ambit,[5Ambit],n.范围, 
ambivalent,[Am5bivElEnt],"adj.矛盾的,好恶相克的",ambi（二）＋val（强大）＋ent→两边都有力量→矛盾看法*同根词：valiant（勇敢的） 
amble,[5Ambl],"vi.缓行,溜蹄",amble＝ambul（走路）。*同根词：ambulance（救护车）注意：ample（丰富的） 
ambush,[5AmbuF],"n.埋伏,伏兵;v.埋伏", 
ameliorate,[E5mi:ljEreit],"v.改善,改进", 
amelioration,[EAmi:ljE`reiFLn],"n.改善,改进", 
amenable,[E5mi:nEbl],"adj.应服从的,有服从义务的,有责任的",分割*记忆：amenable 
amend,[E5mend],"v.修正,改进,改正",a＋mend（补，修）＋ment→改正的东西，*同根词：amends（赔偿，补偿） 
amendment,[E5mendmEnt],"n.改善,改正",a＋mend（补，修）＋ment→改正的东西，*同根词：amends（赔偿，补偿） 
amenity,[E5mi:niti],"n.宜人,礼仪",和amenable一起*记，都是以amen开头 
amiable,[5eimjEbl],"adj.亲切的,和蔼可亲的", 
amicable,[5AmikEbl],"adj.友善的,和平的",amiable强调人自身具备的性格和蔼。amicable强调对外界人物的态度友好。 
amid,[E5mid],prep.在...中, 
amino acid,[],"n.氨基酸,胺", 
amiss,[E5mis],"adj.有毛病的,出差错的;adv.错误的", 
amity,[`AmEti],"n.友好,亲善关系", 
ammonia,[5AmEunjE],"n.[化]氨,氨水", 
ammunition,[7Amju5niFEn],"n.军火,弹药", 
amnesia,[Am5ni:zjE],n.健忘症,a＋mnes（*记忆）＋ia（病）→没有*记忆的病，*同根词：amnesty（大赦） 
amnesty,[5Amnesti],n.(尤指对反政府政治犯的)特赦,a＋mnes（*记忆）＋ty→不再*记→赦免 
amoral,[ei5mCrEl],"adj.与道德无关的,超道德的",a＋moral构成，注意：immoral（不道德的，淫荡的） 
amorphous,[E5mC:fEs],"adj.无定形的,无组织的",a＋morph（形状）＋ous→无形状的*同根词：metamorphose（变形） 
ampere,[5AmpZE(r);(uF)5AmpiEr],n.安培, 
amphibious,[Am5fibiEs],adj.两栖的, 
amplification,[7Amplifi5keiFEn],n.扩大, 
amplify,[5Amplifai],"vt.放大,增强;v.扩大",ampl＋ify→使大，放大*同根词：amplitude（广阔，丰富） 
