abandon,[E5bAndEn],"vt.放弃, 遗弃//n.放任, 狂热"
afternoon,[5B:ftE5nu:n],"n.午后, 下午//adv.下午的, 晚期"
afterward,[5B:ftEwEd],"adv.然后, 后来"
again,[E5gein],"adv.又, 再次, 此外, 再一次"
against,[E5genst; E5geinst],"prep.相反, 反对, 逆着, 靠着, 倚着"
age,[eidV],"n.年龄, 成年, 使用年限, 同时期的人, 时代//v.变老, 上年纪, 成熟"
agency,[5eidVEnsi],"n.代理处, 行销处, 代理, 中介"
agent,[5eidVEnt],"n.代理(商)? 使用年限, 同时期的人, 时代"
aggressive,[E5gresiv],"adj.好斗的, 敢作敢为的, 有闯劲的, 侵略性的"
ago,[E5gEu],"adv.以前的, 以往的"
agree,[E5gri:],"vi.同意, 赞成...的意见, 与...一致, 承认, 适合//vt.同意"
agreement,[E5gri:mEnt],"n.同意, 一致, 协定, 协议"
agriculture,[5AgrikQltFE],"n.农业, 农艺, 农学"
ahead,[E5hed],"adj.adv.在前, 向前, 提前, 在前面"
aid,[eid],"n.帮助, 援助, 帮助者, 有帮助的事物//vt.资助, 援助, 帮助"
aim,[eim],"n.目标, 目的, 瞄准//v.对...瞄准, 打算"
air,[ZE],"n.空气, 样子, 天空, 空中, 曲调//vt.晾干, 使通风, 宣扬, 夸耀, 显示"
aircraft,[5ZEkrB:ft],n.航行器
airline,[5ZElain],n.定期航线
airplane,[5ZE7plein],n.飞机
airport,[5ZEpC:t],"n.<主美>小型民用机场, 私人飞机降落场"
alarm,[E5lB:m],"n.警报, 惊慌, 警告器//vt.恐吓, 警告"
alcohol,[5AlkEhCl],"n.酒精, 酒"
alike,[E5laik],"adj.相同的, 相似的//adv.以同样的方式, 类似于"
alive,[E5laiv],"adj.活着的, 活泼的"
all,[C:l],"adj.全部的, 所有的, 整个的//adv.完全, 更加, 越发//pron.全部"
allow,[E5lau],"vt.允许, 承认"
alloy,[5AlCi],"n.合金//vt.使成合金, 减低成色"
almost,[5C:lmEust],"adv.几乎, 差不多"
alone,[E5lEun],"adj.单独的, 独一无二的, 孤独的, 独自的//adv.独自地"
along,[E5lCN],"adv.往前, 向前//prep.顺着, 沿着"
aloud,[E5laud],adv.大声地
alphabet,[5A:lfEbit],n.字母表
already,[C:l5redi],adv.已经
also,[5C:lsEu],"adv.也, 同样"
alter,[5C:ltE],v.改变
alternative,[C:l5tE:nEtiv],"n.二中择一, 可供选择的办法, 事物//adj.选择性的, 二中择一的"
although,[C:l5TEu],"conj.虽然, 尽管"
altitude,[5Altitju:d],"n.(尤指海拔)高度, 高处(海拔甚高的地方), (等级, 地位等)高等"
altogether,[7C:ltE5geTE],"adv.完全地, 总而言之"
aluminium,[7Alju:5minjEm],n.[化]铝//adj.铝的
always,[5C:lwEz; 5C:lweiz],"adv.总是, 永远, 始终"
amaze,[E5meiz],vt.使吃惊
ambition,[Am5biFEn],"n.野心, 雄心"
ambulance,[5AmbjulEns],"n.战时流动医院, 救护车"
America,[E5merikE],"n.<美>美国, 美洲(包括北美和南美洲)j.选择性的, 二中择一的"
American,[E5merikEn],"n.美国人, 美洲人//adj.美国的, 美洲的"
among,[E5mQN],"prep.在...之中, ...之一"
amongst,[E5mQNst],"prep.在...中间, 在...之中"
amount,[E5maunt],"n.数量//vi.(to) 总计, 等于"
amuse,[E5mju:z],"vt.使发笑, 使愉快"
analyse,[5AnElaiz],"vt.分析, 分解//n.分析"
analysis,[E5nAlisis],"n.分析, 分解"
ancestor,[5AnsistE],"n.祖先, 祖宗"
anchor,[5ANkE],"n.锚//v.抛锚, 锚定"
ancient,[5einFEnt],"adj.远古的, 旧的"
and,[And; End; nd],"[连接并列的名词、代词或数词]同, 和, 与, 如： Father and I went to Xinhua bookstore yesterday. 父亲和我昨天到新华书店去过。"
anger,[5ANgE],"n.怒, 愤怒//v.恼火"
angle,[5ANgl],"n.[数]角, 角落//vi.钓鱼, 追逐"
angry,[5ANgri],"adj.生气的, 愤怒的, 狂暴的(风雨等)方), (等级, 地位等)高等"
animal,[5AnimEl],n.动物
ankle,[5ANkl],n.[解]踝
announce,[E5nauns],"vt.宣布, 通告"
annoy,[E5nCi],"vt.使苦恼, 骚扰"
annual,[5AnjuEl],"n.一年生植物, 年刊, 年鉴//adj.一年一次的, 每年的, 一年生的"
another,[E5nQTE],"adj.另外的, 又一, 不同的//prep.另一个, 另一个人, 同类的东西"
answer,[5B:nsE],"n.答案, 回答, 答辩, 抗辩//v.回答说, 答复说, 符合, 反响, 响应"
ant,[Ant],n.蚂蚁
anticipate,[An5tisipeit],"vt.预期, 期望, 过早使用, 先人一着, 占先//v.预订, 预见, 可以预料"
anxiety,[ANg5zaiEti],"n.忧虑, 焦急, 渴望, 热望"
anxious,[5ANkFEs],"adj.观念的, 担忧的, 渴望的, 盼望的"
any,[5eni],"adj.任何的, 任何一种, 所有的//pron.无论那一个, 任何"
anybody,[5eni7bCdi],"pron.任何人, 重要人物"
anyhow,[5enihau],"adv.无论如何, 总之"
anyone,[5eniwQn],pron.任何一个
anything,[5eniWiN],pron.任何事
anyway,[5eniwei],"adv.无论如何, 总之"
anywhere,[5eniwZE],adv.无论何处
apart,[E5pB:t],"adv.分离, 分成零件, 分别地, 分离着//adj.分开的"
apartment,[E5pB:tmEnt],"n.<美>公寓住宅, 单元住宅, 房间"
apologize,[E5pClEdVaiz],"vi.道歉, 辩白"
apology,[E5pClEdVi],"n.(为某种思想, 宗教, 哲学等)辩解, 道歉"
apparatus,[7ApE5reitEs],"n.器械, 设备, 仪器"
apparent,[E5pArEnt],"adj.显然的, 外观上的"
appeal,[E5pi:l],"n.请求, 呼吁, 上诉, 吸引力, 要求//vi.求助, 诉请, 要求//vt.控诉"
appear,[E5piE],"vi.出现, 看来, 似乎, 公开露面, 出版, 发表"
appearance,[E5piErEns],"n.出现, 露面, 外貌, 外观"
appetite,[5Apitait],"n.食欲, 胃口, 欲望, 爱好"
apple,[5Apl],"n.苹果, 似苹果的果实"
appliance,[E5plaiEns],"n.用具, 器具"
applicable,[5AplikEbl],"adj.可适用的, 可应用的"
application,[7Apli5keiFEn],"n.请求, 申请, 申请表, 应用, 运用, 施用, 敷用//应用,应用程序,应用软件"
apply,[E5plai],"vt.申请, 应用//vi.申请, 适用"
appoint,[E5pCint],"vt.约定, 指定(时间,地点), 任命, 委任"
appointment,[E5pCintmEnt],"n.约会, 指定"
appreciate,[E5pri:Fieit],"vt.赏识, 鉴赏, 感激//vi.增值, 涨价"
approach,[E5prEutF],"n.接近, 逼近, 走进, 方法, 步骤, 途径, 通路//vt.接近, 动手处理//vi.靠近"
appropriate,[E5prEupriit],adj.适当的
approval,[E5pru:vEl],"n.赞成, 承认, 正式批准"
approve,[E5pru:v],"vi.赞成, 满意//vt.批准, 通过//v.批准"
approximate,[E5prCksimeit],"adj.近似的, 大约的//v.近似, 接近, 接近, 约计"
April,[5eiprEl],n.四月(略作Apr):06
arbitrary,[5B:bitrEri],"adj.任意的, 武断的, 独裁的, 专断的"
architecture,[5B:kitektFE],"n.建筑, 建筑学//体系机构"
area,[5ZEriE],"n.范围, 区域, 面积, 地区, 空地"
argue,[5B:gju:],"vi.争论, 辩论//vt.说服"
argument,[5B:gjumEnt],"n.争论, 辩论, 论据, 论点, ～ (for,against), 意见"
arise,[E5raiz],"vi.出现, 发生, 起因于"
arithmetic,[E5riWmEtik],"n.算术, 算法"
arm,[B:m],"n.臂, 臂状物, 衣袖, 海湾, 武器//vt.供给, 提供, 武装, 装备//vi.武装起来"
army,[5B:mi],"n.陆军, 军队, 大群, 大军"
around,[E5raund],"adv.周围, 四周, 到处, 大约, 左右//prep.在...周围, 四处"
arouse,[E5rauz],"vt.唤醒, 唤起, 鼓励, 引起//vi.睡醒"
arrange,[E5reindV],"v.安排, 排列, 协商"
arrangement,[E5reindVmEnt],"n.排列, 安排"
arrest,[E5rest],"vt.逮捕, 拘留, 吸引//n.逮捕, 拘留"
arrival,[E5raivEl],"n.到来, 到达, 到达者"
arrive,[E5raiv],"vi.到达, 抵达"
arrow,[5ArEu],"n.箭, 箭头记号"
art,[B:t],"n.艺术, 艺术品, 技术, 巧妙, 美术"
article,[5B:tikl],"n.文章, 论文, 物品, 商品, 项目, 条款//v.清楚说出//adj.表达清晰的"
artificial,[7B:ti5fiFEl],"adj.人造的, 假的, 非原产地的"
artist,[5B:tist],"n.艺术家, 画家"
artistic,[B:5tistik],"adj.艺术的, 有美感的, 风雅的"
as,[As],"adv.同样地, 被看作, 象//prep.当做//conj.与...一样, 当...之时, 象, 因为//[域] American Samoa, 东萨摩亚//abbr.[军] Air to Surface, 空对地"
ash,[AF],"n.灰, 灰烬, [植]岑树"
ashamed,[E5Feimd],"adj.惭愧的, 羞耻的"
Asia,[5eiFE],n.亚洲
Asian,[5eiFEn],"adj.亚洲的, 亚洲人的//n.亚洲人"
aside,[E5said],"adv.在旁边, 到旁边"
ask,[B:sk],"vi.询问, 问, 要求//vt.问, 要求, 需要, 邀请"
asleep,[E5sli:p],"adj.睡着的, 睡熟的"
aspect,[5Aspekt],"n.样子, 外表, 面貌, (问题等的)方面"
assemble,[E5sembl],"vt.集合, 聚集, 装配//vi.集合"
assembly,[E5sembli],"n.集合, 装配, 集会, 集结, 汇编"
assess,[E5ses],"vt.估定, 评定"
assign,[E5sain],"vt.分配, 指派//v.赋值//[计] 将驱动器符重定向至第二个驱动器符"
assignment,[E5sainmEnt],"n.分配, 委派, 任务, (课外)作业"
assist,[E5sist],"v.援助, 帮助"
assistance,[E5sistEns],"n.协助, 援助, 补助, <英>国家补助"
assistant,[E`sistEnt],"n.助手, 助教//adj.辅助的, 助理的"
associate,[E5sEuFieit],"vt.使发生联系, 使联合//vi.交往, 结交//n.合作人, 同事//adj.副的"
association,[E7sEusi5eiFEn],"n.协会, 联合, 结交, 联想"
assume,[E5sju:m],"vt.假定, 设想, 采取, 呈现"
assure,[E5FuE],"vt.断然地说, 确告, 保证, 担保"
astonish,[Es5tCniF],vt.使惊讶
astronaut,[5AstrEnC:t],"n.太空人, 宇航员"
at,[At; Et],"prep.在, 于, 向, 对准, 在...方面//[域] Austria , 奥地利"
Atlantic,[Et5lAntik],n.大西洋//adj.大西洋的
atmosphere,[5AtmEsfiE],"n.大气, 空气, 气氛"
atom,[5AtEm],n.原子
atomic,[E5tCmik],"adj.原子的, 原子能的, 微粒子的"
attach,[E5tAtF],"vt.缚上, 系上, 贴上//v.配属, 隶属于"
attack,[E5tAk],"n.进攻, 攻击, (用语言)抨击, 批评, 疾病发作, 侵袭//vt.攻击, 抨击, 动手处理(某事)//vi.攻击"
attain,[E5tein],"vt.达到, 获得//v.达到"
attempt,[E5tempt],"n.努力, 尝试, 企图//vt.尝试, 企图"
attend,[E5tend],"vt.出席, 参加, 照顾, 护理, 注意//vi.专心, 留意"
attention,[E5tenFEn],"n.注意, 关心, 关注, 注意力, (口令)立正!"
attitude,[5Atitju:d],"n.姿势, 态度, 看法, 意见"
attract,[E5trAkt],"vt.吸引//vi.有吸引力, 引起注意"
attraction,[E5trAkFEn],"n.吸引, 吸引力, 吸引人的事物"
attractive,[E5trAktiv],"adj.吸引人的, 有魅力的"
attribute,[E5tribju(:)t],"n.属性, 品质, 特征, 加于, 归结于"
audience,[5C:djEns],"n.听众, 观众, 接见, 拜见"
August,[5C:gEst],n. 八月
aunt,[B:nt],"n.姑妈, 伯母, 舅妈, 阿姨"
Australia,[Cs5treiljE],"n.澳洲, 澳大利亚"
Australian,[Cs5treiliEn],"adj.澳洲的, 澳大利亚的, 澳大利亚人的//n.[地名] 澳大利亚"
author,[5C:WE],"n.作家, 创造者"
authority,[C:5WCriti],"n.权威, 威信, 权威人士, 权力, 职权, 典据, 著作权威"
auto,[5C:tEu],n.<美口>汽车
automatic,[7C:tE5mAtik],"n.自动机械//adj.自动的, 无意识的, 机械的"
automobile,[5C:tEmEubi:l; 7C:tE5mEubil; 7C:tEmE5bi:l],"n.<主美>汽车(=<英>motor car,car)说?n.[地名] 澳大利亚"
autumn,[5C:tEm],"n.秋天, 成熟期, 渐衰期"
auxiliary,[C:g5ziljEri],"adj.辅助的, 补助的"
available,[E5veilEbl],"adj.可用到的, 可利用的, 有用的, 有空的, 接受探访的"
avenue,[5Avinju:],"n.林荫道, 大街, 方法, 途径, 路"
average,[5AvEridV],"n.平均, 平均水平, 平均数, 海损//adj.一般的, 通常的, 平均的//vt.平均为, 均分, 使平衡, 达到平均水平//vi.买进, 卖出"
avoid,[E5vCid],"vt.避免, 消除"
await,[E5weit],vt.等候
awake,[E5weik],"vi.醒, 觉醒, 领会, 觉悟//vt.唤醒//adj.警觉的, 醒的"
award,[E5wC:d],"n.奖, 奖品//vt.授予, 判给"
aware,[E5wZE],"adj.知道的, 明白的, 意识到的"
away,[E5wei],"adv.在远处, 到远处, 离去"
awful,[5C:ful],"adj.可怕的, 威严的, <口>极度的, 糟糕的"
awkward,[5C:kwEd],"adj.难使用的, 笨拙的"
ax,[Aks],n.斧头//vt.削减
baby,[5beibi],n.婴孩
back,[bAk],"adj.后面的, 在后面, 早过去的, 前(欠)的钱//adv.向后地//n.背部, 后面//v.后退, 支持"
background,[5bAkgraund],"n.背景, 后台, 不重要或不引人注目的地方或位置"
backward,[5bAkwEd],"adv.adj.向后地(的), 相反地(的), 追溯, 退步, 由好变坏"
bacteria,[bAk5tiEriE],n.细菌
bad,[bAd],"adj.劣质的, 有害的, 坏的, 不利的, 不健康的, 严重的"
badly,[5bAdli],"adv.严重地, 恶劣地"
bag,[bAg],"n.袋子, 猎获物"
baggage,[5bAgidV],"n.行李, [军] 辎重"
bake,[beik],"v.烘焙, 烤, 烧硬"
balance,[5bAlEns],"n.秤, 天平, 平衡, [商] 收支差额, 结余, 余额//v.平衡, 称, 权衡, 对比, 结算//n.资产平稳表"
ball,[bC:l],"n.球, 球状物, 子弹, 舞会, 尽情地玩"
balloon,[bE5lu:n],n.气球
banana,[bE5nB:nE],n.香蕉
band,[bAnd],"n.带子, 镶边, 波段, 队, 乐队//v.联合, 结合"
bang,[bAN],"n.重击, 突然巨响//v.发巨响, 重击"
bank,[bANk],"n.银行, 堤, 岸, 沙洲, 浅滩, 一堆(土), (云)层, 储藏所(库)//vt.存(款)于银行, 储蓄, (车或飞机)倾斜转弯"
bar,[bB:(r) 堤; 岸; 沙洲; 浅滩; 一堆(土); (云)层; 储藏所(库)vt.存],"n.条, 棒(常用作栅栏,扣栓物), 横木, 酒吧间, 栅, 障碍物//vt.禁止, 阻挡, 妨碍, 把门关住, 除...之外, (Bar)律师业"
barber,[5bB:bE],"n.理发员, 理发师//vt.为...理发, 刮脸等"
bare,[bZE],"adj.赤裸的, 无遮蔽的, 空的//vt.使赤裸, 露出"
bargain,[5bB:gin],"n.契约, 合同, 成交商品, 便宜货//v.议价"
barrel,[5bArEl],n.桶//vt.装入桶内
barrier,[5bAriE],"n.(阻碍通道的)障碍物, 栅栏, 屏障"
base,[beis],"n.底部, 基础, 根据地, 基地, 本部, 基数, (运动)出发点//vt.以...作基础, 基于...// adj.卑鄙的, 低级的"
basic,[5beisik],"n.基本, 要素, 基础//adj.基本的, 碱性的//n.[计]BASIC语言, 基本高级语言"
basically,[5beisikEli],"adv.基本上, 主要地"
basin,[5beisn],"n.盆, 盆地, 水池"
basis,[5beisis],"n.基础, 基本, 根据, 主要成分(或要素), (认识论中的)基本原则或原理"
basket,[bB:skit],"n.篮, 一篮"
basketball,[5bB:skitbC:l],"n.篮球, 篮球运动"
bath,[bB:W],"n.沐浴, 浴室"
bathe,[beiT],"v.沐浴, 洗, (光线)充满//n.洗澡"
bathroom,[5bB:Wru:m],"n.浴室, 盥洗室"
battery,[5bAtEri],"n.电池, 殴打"
battle,[5bAtl],"n.战役(指大规模会战), 战争//vi.作战, 战斗, 搏斗, 斗争"
bay,[bei],"n.海湾, 狗吠声, 绝路//vt.吠, 使走投无路//vi.吠"
be,[bi:; bi],"prep.是, 在, 存在//[域] Belgium , 比利时//abbr.[军] Base Ejection, 弹底喷射"
beach,[bi:tF],n.海滩
beam,[bi:m],"n.梁, 桁条, (光线的)束, 柱, 电波, 横梁//v.播送"
bean,[bi:n],"n.豆, 豆形果实"
bear,[bZE],"n.熊//v.负担, 忍受, 带给, 具有, 挤, 向"
beard,[biEd],n.胡须
beast,[bi:st],"n.兽, 畜牲, 人面兽心的人"
beat,[bi:t],"n.敲打, 拍子, 巡逻区域//v.打, 打败"
beautiful,[5bju:tEful; -tiful],"adj.美丽的, 很好的"
beauty,[5bju:ti],"n.美, 美景, 美好的东西"
because,[bi5kCz; bE5kCz; bi5kEz],conj.adv.因为
become,[bi5kQm],"vi.变成, 成为, 变得//vt.适合, 相称"
bed,[bed],"n.床, 基础, 路基, 河底, 海底, 一堆, 一层//vt.安置, 嵌入, 使睡, 栽种//vi.上床, 分层"
bee,[bi:],n.蜜蜂
beef,[bi:f],n.牛肉
beer,[biE],n.啤酒
before,[bi5fC:],"adv.在前, 以前//prep.在...之前//conj.在...之前, 与其...宁可"
beg,[beg],"v.请求, 乞求"
begin,[bi5gin],"v.开始, 首先"
beginning,[bi5giniN],n.开始
behalf,[bi5hB:f],"n.为, 利益"
behave,[bi5heiv],"vi.举动, 举止, 运转//v.行为表现"
behavior,[bi5heivjE],"n.举止, 行为"
behind,[bi5haind],adv.在后地//prep.在...之后
being,[5bi:iN],"n.存在, 生命, 人, 本质//art.在, 有, 是"
belief,[bi5li:f],"n.信任, 信心, 信仰"
believe,[bi5li:v],"v.有坚定的宗教信仰的, 相信, 信任, 认为, 想"
bell,[bel],"n.铃, 钟"
belong,[bi5lCN],"vi.属于, 住"
below,[bi5lEu],"prep.在...下面, adv.在下, 在页底"
belt,[belt],"n.带子, 地带"
bench,[bentF],n.长椅子
bend,[bend],"v.弯曲, 专心于, 屈服//n.弯曲"
beneath,[bi5ni:W],adv.在...之下//prep.在...之下
beneficial,[beni5fiFEl],"adj.有益的, 受益的, [法律]有使用权的//adj.有益的,得利的,[律]有使用权的"
benefit,[5benifit],"n.利益, 好处//vt.有益于, 有助于//vi.受益"
beside,[bi5said],"prep.在旁边, 和...比较"
besides,[bi5saidz],adv.此外//prep.除...之外
best,[best],"adj.最好的//adv.最好地, 最, 极//n.最佳状态或作品, 最好的东西"
bet,[bet],"n.赌, 打赌//v.赌, 赌钱"
better,[5betE],"adj.较好的//adv.更好的, 更多的, 更佳的"
between,[bi5twi:n],"prep.在...之间, 连接...,由...协力合作"
beyond,[bi5jCnd],"prep.在(到)...较远的一边, 超过, 那一边//adv.在远处//n.远处"
Bible,[5baibl],n.《圣经》
bicycle,[5baisikl],"n.脚踏车, 自行车"
big,[big],"adj.大的, 重要的, 量大的, 重要的//adv.夸大地, 顺利"
bike,[baik],"n.脚踏车, 自行车"
bill,[bil],"n.帐单, 钞票, 票据, 清单, 议案, 法案, 广告//vt.用海报宣传, 把...列成表, 给...开帐单"
billion,[5biljEn],n.adj.十亿(的)9:07
bind,[baind],"v.绑, 镶边, 装订, 凝固, 约束"
biology,[bai5ClEdVi],"n.生物学, 生物(总称)蟮? 重要的//adv.夸大地, 顺利"
bird,[bE:d],"n.鸟, <俚>人//vi.在野外观察或鉴别鸟类"
birth,[bE:W],"n.出生, 产生, 出身"
birthday,[5bE:Wdei],n.生日
biscuit,[5biskit],"n.饼干, 小点心"
bit,[bit],"n.小块, 少量, 片刻, 马嚼子, 辅币//vt.上马嚼子, 控制//vbl.咬//n.[计]位, 比特"
bite,[bait],"n.咬, 咬伤, 一口, 刺痛//v.咬, 刺痛//abbr.[军] Built-In Test Equipment, 机内测试设备"
bitter,[5bitE],"adj.苦的, 痛苦的, 怀恨的"
black,[blAk],"n.黑色, 黑颜料, 黑人//adj.黑色的, 弄脏了的, 忧郁的//vt.(使)变黑, 涂黑"
blackboard,[5blAkbC:d],n.黑板
blade,[bleid],"n.刀刃, 刀片"
blame,[bleim],"n.过失, 责备//vt.责备, 谴责"
blank,[blANk],"adj.空白的, 空着的, 失色的, 没有表情的//n.空白, <美> 表格"
blanket,[5blANkit],n.毯子//vt.覆盖
blast,[blB:st],"n.一阵(风), 一股(气流), 爆炸, 冲击波//vt.爆炸, ,毁灭, 使枯萎, 损害"
bleed,[bli:d],"v.使出血, 放血"
blend,[blend],vt.混和//n.混和
blind,[blaind],"adj.瞎的, 盲目的//vt.使失明, 缺乏眼光或判断力"
block,[blCk],"n.木块, 石块, 块, 街区, 印版, 滑轮, 阻滞, (一)批//vt.防碍, 阻塞"
blood,[blQd],"n.血, 血液, 血统//v.使(某人)先取得经验"
bloom,[blu:m],"n.花, 旺盛, 青春//v.(使)开花, (使)繁盛"
blow,[blEu],"n.殴打, 突然的打击//v.风吹, 吹气于, 叫, 喘气"
blue,[blu:],"n.蓝色//adj.蓝色的, 忧郁的, 沮丧的"
board,[bC:d],"n.木板, (供特殊用途的)木板, 甲板, 膳食费用, 会议桌, 部//vt.用板盖上, 包饭, 提供膳食, 上(船、飞机等)r)律师业"
boast,[bEust],"n.自夸, 值得夸耀的事物//v.自夸, 以有...而自豪"
boat,[bEut],"n.小船, 艇//v.划船"
body,[5bCdi],"n.身体, 肉体, 人, 尸体, 主要部分, 团体, 大量//vt.赋以形体"
boil,[bCil],"n.沸点, 沸腾, 疖子//v.煮沸, 激动"
bold,[bEuld],adj.大胆的//n.粗体
bolt,[bEult],"n.门闩, 螺钉, 闪电, 跑掉//v.上门闩, 囫囵吞下, 逃跑"
bomb,[bCm],"n.炸弹//vt.投弹于, 轰炸"
