Arab,[5ArEb],adj.阿拉伯的//n.阿拉伯人
brave,[breiv],adj.勇敢的
break into,[],"v.破门而入, 侵占"
bridge,[bridV],"n.桥, 船桥, 鼻梁, 桥牌//vt.架桥, 渡过"
build,[bild],"v.建造, 建筑//n.构造, 体格, 体形"
by the end of,[],到...末
call out,[],"v.出动, 唤起, 大声叫唤"
camel,[5kAmEl],"n.骆驼, [船](打捞用的)浮筒"
captain,[5kAptin],"n.队长, 首领, 船长, 机长, (空军, 海军)上校, (陆军)上尉//v.指挥, 统帅"
carry,[5kAri],"n.进位, 射程, 运载//vt.携带, 运送, 支持, 支撑, 传送, 意味//vi.被携带, 能达到"
cast,[kB:st],"n.投掷, 铸件, 脱落物, 一瞥, 演员表//v.投, 抛, 投射, 浇铸, 计算, 派(角色)"
cast a net,[],撒网
cat,[kAt],n.猫
catch a cold,[],v.感冒
catch hold of,[],v.抓住
chance,[tFB:ns],"n.机会, 可能性, 偶然性, 运气//v.碰巧, 偶然发生, 冒...的险adj.偶然的"
chemist,[5kemist],"n.化学家, 药剂师"
chemistry,[5kemistri],n.化学
chest,[tFest],"n.胸腔, 胸膛, 箱, 柜"
choose,[tFu:z],"v.选择, 选定"
clear,[kliE],"adj.清楚的, 清晰的, 清澈的, 光亮的, 空旷的, 有条理的//adv.清楚地, 完全地//v.扫除, 清除, 晴, 跳过, 净得"
close,[klEuz],"v.关, 关闭, 结束, 停止, 使靠近, 靠拢, 会合, 包围//n.结束//adj.近的, 紧密的, 精密的, 齐根的, 封闭的, 亲密的, 闷气的//adv.接近, 紧密地"
cloud,[klaud],"n.云, 烟云, 天空, 污点//vt.以云遮敝, 玷污, 使黯然//vi.乌云密布, 阴沉"
come back to life,[],苏醒过来；复活
corn,[kC:n],"n.<美>玉米, <英>谷物, 五谷, [医]鸡眼//vt.腌(肉等) 掩"
correctly,[kE5rektli],"adv.恰当地, 正确地"
cotton,[5kCtn],"n.棉花, 棉线"
crawl,[krC:l],"vi.爬行, 蠕动, 徐徐行进//n.爬行, 蠕动, 缓慢的行进"
creek,[kri:k],"n.小溪, 小河, <主英>小港, 小湾"
cross,[krCs],"n.十字, 交叉, 十字架, 十字形物//adj.交叉的, 相反的, 乖戾的//v.使交叉, 横过, 勾划, 错过, 反对, 杂交"
crow,[krEu],"n.乌鸦, 似乌鸦的鸟, 撬棍//vi.啼叫, 报晓, (婴孩)格格地笑"
cry with joy,[],高兴得叫起来
cut,[kQt],"v.切(割、削), (直线等)相交, 剪, 截, 刺穿, 刺痛, 删节, 开辟//n.(刀、剑、鞭等的)切削, 削减, 删节, 伤口, 切口"
dangerous,[5deindVrEs],adj.危险的
dark,[dB:k],"n.黑暗, 夜, 黄昏, 暗色, 无知, 模糊//adj.黑暗的, 暗的, (头发、皮肤等)黑色的, 隐秘的, 无知的, 隐晦的, 模糊的"
day and night,[],"(=night and day)n.白天和夜晚//adv.日夜, 昼夜, 整天"
defence,[di5fens],"n.防卫, 防卫设备//n.[律](被告的)答辩、辩护"
defence works,[],防御工事
depend,[di5pend],"vi.依靠, 依赖"
depend on,[],"v.依靠, 依赖"
desert,[di5zE:t],"n.沙漠, 应得的赏罚, 功过//adj.沙漠的, 不毛的, 荒凉的//vt.放弃, 遗弃, 逃跑//vi.逃掉, 逃亡, 开小差"
dirty,[5dE:ti],"adj.肮脏的, 卑鄙的, 下流的, 暴风雨的, 恶劣的(天气)//vt.弄脏//vi.变脏"
do with,[],"v.利用, 忍受, 需要, 乐意做"
double,[5dQbl],"n.两倍, [计] 双精度型//adj.两倍的, 双重的//vt.使加倍//vi.加倍, 快步走, 加倍努力"
double spectacles,[],双光眼镜
draw,[drC:],"v.拉, 曳, 牵, 画, 绘制, 拖曳//vt.汲取, 领取, 提取, 引起, 吸引//vi.向...移动, 挨近//n.平局, 和局, 拖曳"
draw in,[],"v.收, 引诱, 接近黄昏, 紧缩开支"
drawing,[5drC:iN],"n.图画, 制图, 素描术"
dress,[dres],"n.女服, 童装, 服装, 衣服//v.(给...)穿衣"
drink,[driNk],"n.饮料, 酒, 酗酒, 一口(或一些)饮料//v.喝, 喝酒, (植物、土壤等的)吸水, 举杯庆贺"
drive,[draiv],"n.驾车, 驱动器, 快车道, 推进力, 驱使, 动力, 干劲, 击球//vt.开车, 驱赶, 推动、发动(机器等), 驾驶(马车,汽车等)//vi.开车, 猛击, 飞跑//n.[计]驱动器"
drive off,[],击退
during,[5djuEriN],"prep.在...的期间, 在...的时候"
earthquake,[5E:Wkweik],"n.地震, [喻]在震荡, 在变动"
eat one's fill,[],v.吃饱
eat up,[],"v.吃光, 耗尽, 吞灭, 完全相信"
else,[els],"adj.别的, 其他的//adv.另外, 其他"
empty,[5empti],"adj.空的, 空洞的, 空虚的//vt.使成为空的, 倒空//v.倒空//adj.空的,空闲的//v.腾空, 腾出来"
enemy,[5enimi],"n.敌人, 仇敌, [集合名词]敌军, [喻]大敌//adj.敌人的, 敌方的"
engine,[5endVin],"n.发动机, 机车, 火车头"
engineer,[7endVi5niE],"n.工程师, 技师, 火车司机, 轮机员, 工兵"
enter,[5entE],"vt.进入, 加入, 参加, 登录, 开始//vi.进去, [戏]登场, 参加//n.输入, [计]回车"
fan,[fAn],"n.扇子, 鼓风机, 风扇, 迷, 狂热者, 爱好者//vt.煽动, 刺激, 扇, 吹拂//vi.飘动, 成扇形散开"
farmer,[5fB:mE],"n.农夫, 百姓, 农民, 农场主, 承包主, 牧场主, 畜牧者"
fear,[fiE],"n.恐怖, 害怕, 担心, 敬畏//v.害怕, 畏惧, 为...担心, 敬畏(神等)菇"
field hospital,[],n.野战医院
fight,[fait],"n.打架, 战斗, 斗志//vi.打仗, 搏斗, 对抗, 打架//vt.与...打仗, 指挥战斗, 反对...提案"
fire,[5faiE],"n.火, 炉火, 火灾, 失火, 闪光, 炮火, 热情, 激情//vt.点燃, 烧制, 使发光, 给(炉子等)加燃料, 放枪, 激动, <口>解雇//vi.开枪, 射击, 着火, 烧火, 激动"
fisherman,[5fiFEmEn],"n.渔民, 渔夫"
fool,[fu:l],"n.愚人, 白痴, 莽汉, 受骗者, 奶油拌水果//vt.愚弄, 欺骗, 浪费//vi.干傻事, 开玩笑, 游荡//adj.傻的"
for ever,[],"adv.永远, 总是"
foreign,[5fCrin],"adj.外国的, 外交的, 外国产的, 外来的, [医]异质的, 不相关的"
fresh,[freF],"adj.新鲜的, 无经验的, 生的, 冒失的, 鲜艳的//adv.最新地, 刚刚//n.开始, 泛滥"
friendly,[5frendli],"adj.友好的, 友谊的"
frighten,[5fraitn],vt.使惊吓//vi.惊恐
frightened,[5frait(E)nd],"adj.受惊的, 受恐吓的"
from then on,[],从那时起
front,[frQnt],"n.前面, 开头, 前线, (政治上的)阵线, 态度, 外表//vt.面对, 朝向, 对付//vi.朝向"
full,[ful],"n.全部, 完整//adj.充满的, 完全的, 丰富的, 完美的, 详尽的, 丰满的//adv.完全地, 整整, 十分//vt.把衣服缝得宽大"
full of,[],充满
funny,[5fQni],"adj.有趣的, 好笑的, 滑稽的, 奇异的, 古怪的//n.滑稽人物"
general,[5dVenErEl],"n.普通, 将军, 概要//adj.一般的, 普通的, 综合的, 概括的, 全面的, 大体的//n.常规"
genie,[5dVi:ni],"n.妖怪, 鬼"
get on well with,[],与…相处融洽
give in,[],"v.投降, 屈服, 让步, 交上, 宣布"
go by air,[],坐飞机去
go on doing,[],继续做
go out,[],"v.出去, 熄灭, 过时, 罢工, 向往, 辞职, 倒塌"
go over,[],"v.(渡过...)转变, (对...进行)仔细检查, 润色, 复习"
go white,[],变白
gold,[gEuld],"n.黄金, 金币//adj.金的, 金制的"
goods,[gudz],"n.货物, <美俚>工具"
grass,[grB:s],n.草
group,[gru:p],"n.团体, 组, 团, 群, 批, [地]界, [化]基//v.聚合, 成群"
grow,[grEu],"vi.生长, 成长, 渐渐变得, 增长, 增高//vt.种植, 栽培, 培育"
gun,[gQn],"n.炮, 枪, <美>手枪, 油门//vi.用枪射击, 用枪打猎, 加大油门快速前进//vt.向...开枪, 开大(引擎、汽车)的油门"
hand,[hAnd],"n.手, 掌管, 协助, 支配, 插手, 指针, 雇员, 手艺//vt.支持, 搀扶, 交给"
hang,[hAN],"n.悬挂的方式, （动作的）暂停, 中止//vt.悬挂, 附着, 装饰, 绞死, 踌躇, 使悬而未决, 垂下//vi.悬着, 垂下, 被绞死, 悬而不决"
happen,[5hApEn],"vi.发生, 碰巧, 偶然//v.发生, 恰巧, 偶然发现"
hardly,[5hB:dli],"adv.刚刚, 几乎不, 仅, 严厉的, 艰辛的"
hat,[hAt],n.帽子//vt.戴帽子
hatch,[hAtF],"n.孵化, 舱口, 舱口盖, (门、墙壁、地板上的)开口//vt.孵, 孵出, 策划, 图谋//vi.孵化"
hear from,[],"v.接到...的信, 受...批评"
heaven,[5hevEn],"n.天, 天空, 天堂"
hide,[haid],"n.兽皮, 皮革//v.剥...的皮, 痛打, 隐藏, 掩藏, 隐瞒, 掩饰"
hire,[5haiE],"n.租金, 工钱, 租用, 雇用//vt.雇请, 出租//vi.受雇"
home town,[5hEum5taun],故乡，家乡
honest,[5Cnist],"adj.诚实的, 正直的"
honour,[5CnE],"n.尊敬, 敬意, 荣誉, 光荣//vt.尊敬, 给以荣誉"
hope,[hEup],"n.希望, 信心//v.希望, 盼望, 期待, 信赖"
huge,[hju:dV],"adj.巨大的, 极大的, 无限的"
if,[if],"conj.(表条件)如果, (表假设)要是, 是否, 即使//n.条件, 设想"
immediately,[i5mi:djEtli],"adv.立即, 马上, 直接地"
important,[im5pC:tEnt],"adj.重要的, 重大的, 有权力的, 有地位的"
in,[in],"prep.在...之内(上), 在...期间, 从事于, 符合, 穿着//adv.进入, 朝里, 在家, 已到达(来临)//adj.在里面的, 执政的//n.执政者, 入口//[域] India , 印度"
in a hurry,[],"adv.匆忙, <口>轻易地"
in a low voice,[],低声地
in a short while,[],不久
in life,[],"adv.一生中, 世间, 活着的"
in need of,[],需要
in no time,[],adv.立刻
in turn,[],"adv.依次, 轮流"
insist,[in5sist],"v.坚持, 强调"
interest,[5intrist],"n.兴趣, 关心, 重要性, 影响, 利息,利益, 利害//vt.使发生兴趣, 引起...的注意"
interested,[5intristid],"adj.感兴趣的, 有成见的, 有权益的"
introduce,[7intrE5dju:s],"vt.介绍, 传入, 引进, 提出"
invent,[in5vent],"vt.发明, 创造//v.发明"
invention,[in5venFEn],"n.发明, 创造"
jar,[dVB:],"n.震动, 刺耳声, 震惊, 争吵, 罐, 广口瓶//vi.震惊, 冲突, 发刺耳声, 不一致//vt.震动, 刺激"
job,[dVCb],"n.工作, 零活, <口>职位, 事情//vi.做零工, 打杂, 做股票经纪, 假公济私//vt.代客买卖(股票,货物等), 批发, 承包, 欺骗"
joy,[dVCi],"n.欢乐, 喜悦, 快乐, 乐事, 乐趣//v.高兴"
judge,[dVQdV],"n.法官, 审判员, 裁判员, 鉴赏家, 鉴定人, (J-)最高的审判者//vt.审理, 鉴定, 判断, 判决, 断定, 认为//vi.下判断, 作评价"
kill,[kil],"v.杀死, 毁掉, 杀伤"
kiss,[kis],"n.吻, (风, 浪等)拂//vt.吻, 轻拂//vi.接吻"
knee,[ni:],"n.膝, 膝盖"
lab,[lAb],"n.实验室, 研究室"
lady,[5leidi],"n.女士, 夫人, 小姐"
lame,[leim],"adj.跛足的, 僵痛的, 不完全的, 金属薄片, 不知内情的人, (辩解、论据等)无说服力的//vi.变跛, 瘸行//vt.使成残废"
lamp,[lAmp],n.灯//vt.照亮
lantern,[5lAntEn],"n.灯笼, 提灯, 幻灯, 信号, 天窗"
leaf,[li:f],"n.叶, 树叶, (书的)一张(两叶), 页//vi.生叶, 翻书页//vt.翻...的页"
less than,[],"小于, 决不"
lid,[lid],"n.盖子, <美口>限制, 眼睑//vt.给...盖盖子"
lie,[lai],"vi.躺, 平放, 展现, 展开, 位于//v.说谎, 躺//n.谎话, 谎言"
lift,[lift],"n.举起, 电梯, 起重机, 搭车//vt.升高, 提高, 举起, 空运//vi.升起, (指雾等)消散, 耸立"
light,[lait],"n.光, 日光, 发光体, 灯//adj.轻的, 发光的, 明亮的, 浅的vt.点燃, 照亮//adv.轻地//vi.点着, 变亮"
little by little,[],adv.渐渐
live on,[],"v.继续生活, 以...为主食, 靠...生活"
locust,[5lEukEst],"n.[动]蝗虫, 蚱蜢, 蝉"
look on...as,[],把…看作
look up,[],"v.向上看, 尊敬, 仰望, 查寻, 拜访, 好转"
lost,[lCst],"adj.失去的, 丧失的, 错过的, 迷惑的, 不为人知的//vbl.lose的过去式和过去分词"
loud,[laud],"adj.高声的, 不断的, 喧吵的//adv.高声地, 大声地"
low,[lEu],"n.低, 低价, 牛叫声//adj.低的, 浅的, 消沉的, 微弱的, 粗俗的, 卑贱的, 体质弱的//adv.低下地, 谦卑地, 低声地, 低价地//vi.牛叫"
machine,[mE5Fi:n],"n.机器, 机械, 机动车辆, 机构, 设计, 机械般工作的人, (政党的)领导集团, 核心组织//vt.机器制造, 用车床加工"
make a mistake,[],犯错误
make a promise,[],允诺
make sentences with,[],用…造句
may,[mei; me],"aux.可能, 也许, 可以, 祝, 愿//n.(May) 五月, 能, 可能"
medical,[5medikEl],"n.医生, 体格检查//adj.医学的, 内科的, <古>(医)药的"
meet,[mi:t],"n.会, 集会//adj.适宜的, 合适的//vt.遇见, (迎)接, 与(某人目光)相遇, (赴约)和...会面, (经介绍)与...相识, 对付//vi.相遇, 接触"
midnight,[5mid7nait],n.午夜
mile,[mail],"n.英里, 较大的距离"
mirror,[5mirE],"n.镜子, 真实反映情况的东西, 典范//vt.反映, 映出//n.DOS命令：在磁盘安全区域存贮根目录和文件分配表"
miss,[mis],"n.过错, 避免, 失败, 小姐, 姑娘//vt.未得到, 未达到, 未听到, 思念, 未觉察, 错过, 遗漏, 逃脱//vi.失败, 击不中"
mistake,[mis5teik],"n.错误, 过失//v.弄错, 误解, 把...误认为"
modern,[5mCdEn],"n.现代人, 有思想的人//adj.近代的, 现代的, 现代化的, 时髦的"
money,[5mQni],"n.货币, 钱, 金钱"
monument,[5mCnjumEnt],n.纪念碑
mountain,[5mauntin],"n.山, 山脉"
mouse,[maus],"n.鼠, 耗子//v.搜寻"
mummy,[5mQmi],"n.[小儿语] 妈咪, [口头语] 妈妈, 木乃伊, 干瘪的人"
naughty,[5nC:ti],"adj.顽皮的, 淘气的, 不听话的, 没规矩的, 不适当的, 下流的"
nearly,[5niEli],"adv.几乎, 密切地"
neck,[nek],"n.脖子, 颈, 颈壮物"
neither,[5naiTE; 5ni:TE],"adj.pron.两者都不//conj.既不...又不, 也不"
neither...nor...,[],既不…也不…
net,[net],"n.网, 网络, 网状物, 净利, 实价//adj.净余的, 纯粹的//vt.用网捕, 净赚, 得到//vi.编网//[域] Nerwork operations and service centers,网络服务商"
never mind,[],"v.没关系, 不用担心"
newsreel,[5nju:zri:l],n.新闻影片
no longer,[],adv.不再
none,[nQn],"adv.决不, 毫不//pron.一个也没有, 毫无"
nor,[nC:],conj.也不
not...until,[],直到…才
nursing,[5nE:siN],"n.看护, 养育"
nursing home,[],n.疗养院
oasis,[Eu5eisis],"n.(沙漠中)绿洲,舒适的地方"
officer,[5CfisE],"n.政府官员, 军官, 警官, 船长//vt.指挥"
on top of,[],"adv.熟练掌握, 在...之上, 另外, 紧接着"
once upon a time,[],adv.从前
one-eyed,[`wQn`aid],adj.独眼的
one-room station,[],一间屋子的车站
operate,[5CpEreit],"v.操作, 运转, 开动, 起作用, 动手术, 开刀//n.[军]作军事行动"
operate on,[],v.对...施手术
operation,[7CpE5reiFEn],"n.运转, 操作, 实施, 作用, 业务, 工作, 手术, 军事行动"
order,[5C:dE],"n.次序, 顺序, 正常(工作)状态, 秩序, 会议规则, 命令, 定购, 定单//vt.命令, 定购, 定制"
own,[Eun],"adj.自己的, 特有的, (不用所有格)嫡亲的, 同胞的//vt.拥有, 自认, 承认//vi.承认"
paddle,[5pAdl],"n.短桨, 划桨, 明轮翼//vi.划桨, 戏水, 涉水//vt.用桨划, 搅, 拌"
pair,[pZE],"n.一对, 一双"
pardon,[5pB:dn],"vt.原谅, 宽恕//n.原谅, 宽恕"
parrot,[5pArEt],"n.鹦鹉, 学舌者, 机械模仿别人的人//vt.学舌"
part,[pB:t],"n.部分, 局部, 零件, 角色//vt.分开, 分离, 分配//vi.分开, 断裂, 分手//adv.部分地, 有几分//adj.部分的, 局部的"
pass,[pB:s],"n.经过, 关口, 途径, 护照, 通行证, 入场券, 传球, 及格//vt.通过, 审查通过, 忽略, 传递//vi.经过, 变化, 流通, 宣判, 被忽略, 终止, 传递, 不叫牌"
passenger,[5pAsindVE],"n.乘客, 旅客"
pay,[pei],"n.薪水, 工资//v.支付, 交纳, 给予, 有利, 值得, 合算"
pay attention to,[],v.注意
place,[pleis],"n.地方, 地点, 位置, 职位, 处境, 住所, 地位//vt.放置, 寄予, 任命//vi.名次列前"
plenty,[5plenti],"n.丰富, 大量"
plenty of,[],adj.许多
plough,[plau],"n.犁//v.耕, 犁, 犁耕, 费力穿过, 艰苦前进, 在考试中淘汰"
pond,[pCnd],n.池塘//v.筑成池塘
pot,[pCt],"n.罐, 壶//v.罐装"
potato,[pE5teitEu],n.马铃薯
practise,[5prAktis],"v.练习, 实习, 实践, 实行, 操持(专业等), 竭力想, 利用(某人之轻信等), 实施"
print,[print],"n.版, 印刷物, 印迹, 印章, 印刷业, 照片//v.印刷, 出版, 印于, 用印刷体写//[计]打印"
prison,[5prizn],n.监狱
promise,[5prCmis],"vt.允诺, 答应//n.允诺, 答应, 许诺"
pronounce,[prE5nauns],"v.发音, 宣告, 断言"
pub,[pQb],"n.酒馆, 客栈"
pull,[pul],"v.拉, 拖, 拔//n.拉, 拖, 拉力, 牵引力"
put on,[],"v.穿上, 把...放在上, 装出, 假装, 增加, 欺骗, 添上, 使靠...维持生命"
pyramid,[5pirEmid],"n.角锥、棱椎, 金字塔, 叠罗汉//v.(使)成金字塔状, (使)渐增, (使)上涨"
queen,[kwi:n],"n.王后, 女王"
rabbit,[5rAbit],"n.兔, 野兔"
railway,[5reilwei],"n.[英] 铁道, 铁路"
rank,[rANk],"n.等级, 横列, 阶级//adj.繁茂的, 恶臭的, 讨厌的, 下流的//vt.排列, 归类于, 把...分等//vi.列为, 列队//n.[数] 秩"
recently,[5ri:sEntli],adv.最近
refuse,[ri5fju:z],"vt.拒绝, 谢绝//n.废物, 垃圾"
regret,[ri5gret],"n.遗憾, 悔恨, 抱歉, 歉意//vt.为...感到遗憾, 后悔, 惋惜, 哀悼, 懊悔//vi.感到抱歉"
repeat,[ri5pi:t],"n.重复, 反复//vt.重做, 复述, 向他人转述, 复制, 使再现//vi.重复, 留有味道"
reply,[ri5plai],"n.答复, 报复, 答辩//vi.答复, 回击, 报复, 答辩//vt.回答"
ride,[raid],"v.骑, 乘//n.骑, 乘"
rise,[raiz],"n.上升, 增加, 上涨, 高地, 小山, 发生, 出现//vi.升起, 起身, 发源, 起义, 高耸, 增长, 上升, 复活//vt.使飞起"
rocking,[5rCkiN],"adj.摇摆的, 摇动的"
rocking chair,[5rCkiN],n.摇椅
rope,[rEup],"n.绳, 索, 绳索//v.围起"
route,[ru:t],"n.路线, 路程, 通道//v.发送"
rush,[rQF],"n.匆促, 冲进, 急流, 灯芯草//vi.冲, 奔, 闯, 赶紧, 涌现//vt.使冲, 匆忙地做, 突袭, 飞跃, 用 灯芯草做//adj.急需的"
rush out,[],冲出
safe,[seif],"n.保险箱, 饭橱, 菜橱, 冷藏室//adj.免受攻击的, 安全的, 可靠的, 有把握的"
safety,[5seifti],"n.安全, 保险, 安全设备, 保险装置"
salt,[sC:lt],"n.食盐, 风趣, 刺激//adj.含盐的, 咸的, 风趣的, 辛辣的//vt.加盐于, 用盐腌"
salt lake city,[],n.盐湖城(位于美国)? 辛辣的
sand,[sAnd],"n.沙, 沙子,沙滩, 沙地//v.撒沙子"
satisfy,[5sAtisfai],"vt.满足, 使满意, 说服, 使相信//v.满意, 确保"
sea,[si:],"n.海洋, 大浪, 大量, 许多"
seagull,[5si:gQl],n.海鸥
search,[sE:tF],"n.搜寻, 查究//v.搜索, 搜寻, 探求, 调查"
seem,[si:m],"vi.象是, 似乎"
sell,[sel],"v.出售, 卖"
send for,[],"v.召唤, 派人去拿"
sentence,[5sentEns],"n.句子, 判决, 宣判, 文句//vt.宜判, 判决"
set out,[],"v.出发, 开始, 装饰, 陈列, 测定, 宣布, 移植, 陈述//启程//展示"
set...free,[],释放
shadow,[5FAdEu],"n.阴影, 影子, 影像, 预兆, 庇护, 隐蔽处, 阴暗, 少许//vt.遮蔽, 使朦胧, 预示, 尾随//vi.渐变, 变阴暗"
shake,[Feik],"v.摇动, 摇, 颤抖, 震动//n.摇动, 摇, 颤抖, 震动"
shepherd,[5FepEd],"n.牧羊人, 牧羊狗//v.牧羊, 看管, 带领"
show...around...,[],带领(某人)参观…
since,[sins],"adv.以后, 后来, 以前//prep.自从, 自...以来//conj.自...以后, 自...以来, 因为, 既然"
sink,[siNk],"vi.沉下, (使)下沉//n.水槽, 水池//接收器"
skin,[skin],"n.皮, 皮肤, 兽皮, 皮毛, 外皮, 外壳//v.长皮"
smoke,[smEuk],"n.烟, 烟尘, 烟幕//v.抽烟, 吸烟//vi.冒烟"
soot,[sut],"n.煤烟, 烟灰//v.用煤烟弄脏"
space,[speis],"n.空间, 间隔, 距离, 空地, 余地, 一段时间//vt.留间隔, 隔开"
spectacles,[],n. 眼镜
spend,[spend],"v.花费, 消耗, 用尽//vt.度过, 消磨"
spend...on,[],在…上花费(时间等)
spirit,[5spirit],"n.精神, 灵魂, 幽灵, 妖精, 勇气, 火力, 热情, 情绪//vt.诱拐, 鼓励, 鼓舞"
spy,[spai],"n.特工人员, 间谍, 侦探, 探员, 秘密侦察他人行动者//v.侦察, 侦察, 发现"
spy on,[],"v.侦查, 暗中监视"
start...moving,[],开动…
station,[5steiFEn],"n.位置, 岗位, 地位, 身份, ...局, ...站//vt.驻扎, 配置"
stationmaster,[5steiF(E)nmB:stE(r)进],n.站长
stay up,[],v.不睡觉
steal,[sti:l],"v.偷, 窃取, 偷窃, 偷盗"
storm,[stC:m],"n.暴风雨, 暴风雪//v.狂怒咆哮//abbr.[军] Sensor,Tank,Off-Route Mine, 路外反坦克雷传感器"
stormy,[5stC:mi],"adj.暴风雨的, 多风暴的, 激烈的, 暴怒的, 有暴风雨的"
straight,[streit],"adj.直的, 诚实的, 正直的, 率直的, 整齐的//adv.直, 直接, 一直"
strange,[streindV],"adj.陌生的, 生疏的, 前所未知的, 奇怪的, 奇异的, 不惯的"
strong,[strCN],"adj.强, 强壮的, 坚固的, 浓的, 强烈的, 强大的, 强的, 强硬的"
such,[sQtF; sEtF],"adj.这样的, 这种, 某一//pron.这样的人(们)或物"
suffering,[5sQfEriN],"n.苦楚, 受难//adj.受苦的, 患病的"
suggest,[sE5dVest],"vt.建议, 提出, 使想起, 暗示"
take a look,[],v.注视
take away,[],v.取走
take hold of,[],v.握住
take lessons,[],跟人学习
take off,[],"v.拿掉, 取消, 脱衣, 起飞, 减弱, 离开, 岔开, 复制"
take part in,[],"v.参与, 参加"
take the side of,[],支持某人
tap,[tAp],"n.轻打, 活栓, 水龙头//vt.轻打, 轻敲, 敲打出, 开发, 分接, 使流出, 选择, 攻螺纹于//vi.轻叩, 轻拍, 轻声走//n.<美>(用复数)熄灯号"
tap out,[],打出
tax,[tAks],"n.税, 税款, 税金//vt.对...征税, 使负重担, 指控, 责备"
telegraph,[5teligrB:f],"n.电报机, 电报//v.打电报, 发电报, 打电报说"
temple,[5templ],"n.庙, 寺, 神殿, 教堂, 礼拜堂, 太阳穴, 鬓角"
the Queen,[],维多利亚女王
these very boys,[],正是这些孩子
thick,[Wik],"adj.厚的, 粗的, 稠的, 浓的//n.最拥挤部份, 活动最多部份, 事物的粗大浓密部份"
thief,[Wi:f],"n.小偷, 贼"
think over,[],"v.仔细考虑, 重新考虑"
thought,[WC:t],"n.思考, 想法, 思想, 思潮, 关心, 关怀, 挂念//vbl.think的过去式和过去分词"
throughout,[Wru(:)5aut],"prep.遍及, 贯穿//adv.到处, 始终, 全部"
tie,[tai],"n.带子, 线, 鞋带, 不分胜负, 关系, 领带, 领结, 平局//vt.系, 打结, 扎, 约束, 与...成平局//vi.被用带(或绳子等)系住, 结合, 打结, 不分胜负"
to one's joy,[],使某人高兴的是
to one's surprise,[],使...感到震惊
to this day,[],adv.至今
