Alaska,[E5lAskE],"n.阿拉斯加州(美国州名)鞯? 暴风雨的, 恶劣的(天气)vt.弄脏//vi.变"
block,[blCk],"n.木块, 石块, 块, 街区, 印版, 滑轮, 阻滞, (一)批//vt.防碍, 阻塞"
blow away,[],"v.吹走,驱散"
body language,[],"n.身体语言, 手势语言(由手势或姿态无意中传递之讯息)"
bottom,[5bCtEm],"n.底, 底部, 尽头, 末端//adj.底部的//vt.装底, 查明真相, 测量深浅//vi.到达底部, 建立基础"
branch,[brB:ntF],"n.枝, 分枝, 分部, 分店, (学科)分科, 部门, 支流, 支脉//v.出现分歧"
breath,[breW],"n.呼吸, 气息, 气味, 空气, 微风, 暂停, 瞬间"
breathe,[bri:T],"v.呼吸, 发出"
bring down,[],"v.打倒, 击落, 打死, 降低"
bring on,[],"v.引起, 导致, 使发展, 提出"
bring up,[],"v.教育, 培养, 提出, (军队等)调上来, (船)抵达目的地"
broadcast,[5brC:dkB:st],"n.广播, 播音//v.播撒(种子), 广播//(无线电或电视)广播//播送,播放"
burn,[bE:n],"v.烧, 烧焦, 点(灯), 使感觉烧热//n.烧伤, 灼伤"
burn down,[],"v.烧为平地, 火力减弱"
bury,[5beri],"vt.埋葬, 掩埋, 隐藏"
bush,[buF],"n.矮树丛, (机械)衬套"
button,[5bQtn],"n.钮扣, [计]按钮//v.扣住, 扣紧"
by mistake,[],错误地
call in,[],"v.召集, 召来, 来访"
cancer,[5kAnsE],"n.癌, 毒瘤"
care for,[],"v.关怀, 照顾, 愿意, 计较"
carriage,[5kAridV],"n.马车, 客车, 运费, 姿态, （机械）车架"
carry off,[],"v.夺去...的生命, 获得, 成功对付"
cartoon,[kB:5tu:n],"n.(报刊上的)政治性漫画, 讽刺画, 卡通画, 漫画(常有解说词)//v.画漫画//n.卡通片,动画片"
cartoon-maker,[],动画制作人
castle,[5kB:sl],n.城堡
cattle,[5kAtl],"n.牛, 家养牲畜"
cause,[kC:z],"n.原因, 导致某事发生的人或事, 动机, 理由, 根据, 目标, 理想, 事业//vt.引起, 惹起, 使(发生), 促成"
centigrade,[5sentigreid],"adj.分为百度的, 百分度的, 摄氏温度的"
centimetre,[`senti7mi:tE(r)],"n.厘米,公分"
chance,[tFB:ns],"n.机会, 可能性, 偶然性, 运气//v.碰巧, 偶然发生, 冒...的险adj.偶然的"
change,[tFeindV],"n.改变, 变化, 转变, 找回的零钱, 找头, 辅币//vt.改变, 变革, 改造, 兑换"
change...for...,[],用…换…
character,[5kAriktE],"n.(事物的)特性, 性质, 特征(的总和), (人的)品质, 字符, 性格, 特征, 人物//vt.写, 刻, 印, 使具有特征"
cheaply,[],adv.便宜地
check,[tFek],"n.阻止, 制止, 控制, 阻止物, 支票, 检讫的记号, 饭馆的帐单//vt.检查, 制止, 核对, 寄存, 托运//vi.证明无误, 核对无误, 逐项相符, [象棋]将军"
chemical,[5kemikEl],"adj.化学的//n.化学制品, 化学药品//n.化学药品"
chemical rain,[],酸雨
chief,[tFi:f],"n.首领, 领袖, 酋长, 长官, 主要部分, 最有价值的部分//adj.主要的, 首要的, 首席的, 主任的"
choice,[tFCis],"n.选择, 抉择, 精选品, 选择机会, 选择权//adj.精选的, 上等的, 挑三拣四的, 可选的, 宠爱的, 爱惜的"
cigarette,[sigE5ret],"n.香烟, 纸烟"
clear away,[],"v.清除, 消失"
clear up,[],"v.整理, 消除, 放晴"
club,[klQb],"n.俱乐部, 夜总会, 社, 棍棒, (高尔夫球等的)球棒, (扑克牌)梅花//vt.棍打, 协作, 联合, 把...当棍棒用"
cock,[kCk],"n.公鸡, 雄鸟, 头目, (水)龙头, <俚>阴茎//vt.使耸立, 使竖起, 堆成锥形//vi.大摇大摆地走, 翘起"
coin,[kCin],"n.硬币//vt.铸造(硬币)水)龙头, <俚>阴茎"
collection,[kE5lekFEn],"n.收藏, 征收, 搜集品, 捐款"
comedy,[5kCmidi],"n.喜剧, 喜剧性的事情"
comfortable,[5kQmfEtEbl],adj.舒适的
communicate,[kE5mju:nikeit],"v.沟通, 通信, (房间、道路、花园等)相通, 传达, 感染"
compare,[kEm5pZE],"v.比较, 相比, 比喻  n.比较"
compare...with...,[],把…和…进行比较
compared to,[],与…相比
composition,[kCmpE5ziFEn],"n.写作, 作文, 成分, 合成物"
container,[kEn5teinE],"n.容器(箱,盆,罐,壶,桶,坛子), 集装箱"
contribution,[7kCntri5bju:FEn],"n.捐献, 贡献, 投稿"
cottage,[5kCtidV],"n.村舍, 小别墅"
custom,[5kQstEm],"n.习惯, 风俗, <动词单用>海关, (封建制度下)定期服劳役, 缴纳租税, 自定义, <偶用作>关税//v.定制, 承接定做活的"
customer,[5kQstEmE],n.消费者
cut,[kQt],"v.切(割、削), (直线等)相交, 剪, 截, 刺穿, 刺痛, 删节, 开辟//n.(刀、剑、鞭等的)切削, 削减, 删节, 伤口, 切口"
daily,[5deili],"adj.每日的, 日常的//adv.每日, 日常地, 天天//n.日报, <美口>朝来夜去的女佣"
damage,[5dAmidV],"n.损害, 伤害//v.招致损害//n.[律] (用复数)赔偿金"
day after day,[],adv.日复一日(=day by day)
deal,[di:l],"n.交易, (政治上的)密约, 待遇, 份量, <口>买卖//vi.处理, 应付, 做生意//vt.分配, 分给(out), 发牌, 给予"
deal with,[],"v.安排, 处理, 涉及, 做生意"
deliver,[di5livE],"vt.递送, 陈述, 释放, 发表(一篇演说等), 交付, 引渡, 瞄准, 给予(打击)"
depend,[di5pend],"vi.依靠, 依赖"
depend on,[],"v.依靠, 依赖"
desert,[di5zE:t],"n.沙漠, 应得的赏罚, 功过//adj.沙漠的, 不毛的, 荒凉的//vt.放弃, 遗弃, 逃跑//vi.逃掉, 逃亡, 开小差"
develop,[di5velEp],"vt.发展, 发达, 发扬, 进步, 逐步展开(情节,音乐主题,方程式等)洗印, 显影//vi.发展, 生长, 发育, 逐步显示出来"
die out,[],"v.灭绝, 逐渐消失, 渐渐止息"
differently,[5difrentli],adv.不同地
dining room,[],n.饭厅
direct,[di5rekt; dai5rekt],"adj.径直的, 直接的, 直系的, 直率的, [天]由西向东运行的, 顺行的//adv.直接地//vt.指引, 指示, 指挥, 命令, 导演//vi.指导, 指挥"
director,[di5rektE; dai5rektE],"n.主任, 主管, 导演, (机关)首长, (团体)理事, (公司)董事, 指挥仪, 控制器"
dirty,[5dE:ti],"adj.肮脏的, 卑鄙的, 下流的, 暴风雨的, 恶劣的(天气)//vt.弄脏//vi.变脏"
disagreement,[disE5gri:mEnt],"n.意见不同, 不调和, 争执, 不和, 争论"
dish,[diF],"n.盘, 碟, 盘装菜//v.提出//碟形卫星天线"
dislike,[dis5laik],"vt.讨厌, 不喜欢//n.嫌恶"
distance,[5distEns],"n.距离, 远离, 一长段时间, 远方, 远景, 遥远, (时间的)间隔, (时日的)经过"
do somebody a favor,[],帮某人一个忙
drop in,[],"v.顺便走访, 不预先通知的拜访"
drug,[drQg],"n.药, 麻药, 麻醉药, 滞销货//vi.<俗> 吸毒//vt.使服毒品, 毒化"
eastern,[5i:stEn],"adj.东方的, 东部的"
edition,[i5diFEn],"n.版本, 版"
editor,[5editE],"n.编辑, 编辑器, 编者"
electric,[i5lektrik],"adj.电的, 导电的, 电动的, 电气"
entire,[in5taiE],"adj.全部的, 完整的, 整个"
envelope,[5envilEup],"n.信封, 封套, 封袋, [天]包层, [数]包迹, [生]包膜"
equal,[5i:kwEl],"adj.相等的, 均等的, 胜任的, 平静的, 合适的, 不相上下的//n.相等的事物(或数量), 对手, 匹敌, 同辈//vt.等于, 比得上"
event,[i5vent],"n.事件, 事变, 结果, 活动, 精力, 竞赛"
exact,[ig5zAkt],"adj.精确的, 准确的, 原样的, 精密的, 严格//vt.强求, 急需, 要求"
excite,[ik5sait],"vt.刺激, 使兴奋, 使激动//vi.<口>兴奋, 激动"
excited,[ik5saitid],兴奋的
exciting,[ik5saitiN],"adj.令人兴奋的, 使人激动的"
exercise,[5eksEsaiz],"n.练习, 习题, 训练, 锻炼, 演习//v.训练, 锻炼//vt.行使, 使担扰"
expect,[iks5pekt],"vt.期待, 预期, 盼望, 指望, <口>(料)想, 认为"
exploit,[iks5plCit],"vt.开拓, 开发, 开采, 剥削, 用以自肥//v.使用"
face-to-face,[],adv.面对面地
fall over,[],"落在...之上, 脸朝下跌倒"
fault,[fC:lt],"n.过错, 缺点, 故障, 毛病//vt.挑剔//vi.弄错"
favor,[5feivE],"n.好感, 宠爱, 关切, 欢心, 好意, 喜爱//vt.支持, 赞成, 照顾, 促成, 象, 喜欢, 证实, 赐予"
film,[film],"n.薄膜, 膜层, 胶卷, 影片, 薄雾, 轻烟, 电影//vt.在...上覆以薄膜, 拍成电影//vi.生薄膜, 变成朦胧, 拍电影"
film-maker,[],n.电影制作人
fire,[5faiE],"n.火, 炉火, 火灾, 失火, 闪光, 炮火, 热情, 激情//vt.点燃, 烧制, 使发光, 给(炉子等)加燃料, 放枪, 激动, <口>解雇//vi.开枪, 射击, 着火, 烧火, 激动"
firm,[fE:m],"n.公司, (合伙)商号//adj.结实的, 坚硬的, 坚定的, 坚固的, 牢固的, 稳固的, 严格的//vt.使牢固, 使坚定//vi.变稳固, 变坚实//adv.稳固地, 坚定地"
firmly,[5fE:mli],"adv.坚定地, 稳固地"
first aid,[],n.(对伤患者的)急救
fist,[fist],"n.拳头, 手, 抓住, 抓牢//vt.拳打, 握成拳, 紧握"
fit,[fit],"n.突然发作, 适合, 痉挛, 一阵//adj.合适的, 恰当的, 健康的, ,准备好的//vt.适合, 安装, 使合身, 使适应, 使合格//vi.适合, 符合"
fix,[fiks],"vt.使固定, 装置, 修理, 准备, 安装, 凝视, 整理, 牢记//vi.固定, 注视, 决定, 选定, 确定//n.困境, 方位, 贿赂"
flow,[flEu],"n.流程, 流动, (河水)泛滥, 洋溢//vi.流动, 涌流, 川流不息, 飘扬//vt.溢过, 淹没"
fool,[fu:l],"n.愚人, 白痴, 莽汉, 受骗者, 奶油拌水果//vt.愚弄, 欺骗, 浪费//vi.干傻事, 开玩笑, 游荡//adj.傻的"
foolish,[5fu:liF],"adj.愚蠢的, 傻的, 笨的, 卤莽的, 可爱的"
for one thing,[],adv.首先
fortunately,[5fC:tFEnEtli],adv.幸运地
freeze,[fri:z],"v.(使)结冰, (使)冷冻, 冻结"
freezing,[5fri:ziN],"adj.冰冻的, 严寒的, 冷冻用的"
frighten,[5fraitn],vt.使惊吓//vi.惊恐
from time to time,[],adv.有时
fur,[fE:],"n.毛皮, 毛, 软毛"
garage,[5gArB:(d)V],"n.汽车间, 修车厂, 车库//v.放入车库"
generally speaking,[],adv.一般而言
gesture,[5dVestFE],"n.姿态, 手势, 表示//v.作手势, 以手势表示"
get away,[],"v.逃脱, 离开, 把...送走"
get down to,[],v.开始认真考虑
get off,[],"v.下来, 脱下, 出发, 被容忍, 动身, 开始"
give up,[],"v.放弃(念头、希望等), 停止, 抛弃, 认输, 把...送交, <口>对...绝望(=give up)i-Tank, 破甲弹"
go ahead,[],v.前进
go off,[],"v.离开, 去世, 消失, 睡去, 爆炸, 被发射, 进行, 变质"
goldfish,[5gEuldfiF],n.金鱼
gradually,[5grAdjuEli],adv.逐渐地
guard,[gB:d],"n.守卫, 警戒, 护卫队, 防护装置//vt.保卫, 看守, 当心//vi.防止, 警惕, 警卫"
guest,[gest],"n.客人, 来宾, 旅客//vt.招待, 款待//vi.作客, 寄宿"
habit,[5hAbit],"n.习惯, 习性"
hand,[hAnd],"n.手, 掌管, 协助, 支配, 插手, 指针, 雇员, 手艺//vt.支持, 搀扶, 交给"
hand out,[],"v.把...拿出来, 分发, 施舍"
handkerchief,[5hANkEtFi:f],n.手帕
handshake,[5hAndFeik],n.握手
hank,[hANk],"n.一束, 一卷//vt.使成一卷卷"
hardly,[5hB:dli],"adv.刚刚, 几乎不, 仅, 严厉的, 艰辛的"
have...on,[],戴着；穿着
headline,[5hedlain],n.大字标题
hear about,[],"听说, 接到消息"
heat,[hi:t],"n.热, 热度, 热烈, 高潮, 压力//vi.加热, 激昂, 发热, 发怒//vt.把...加热, 使激动//abbr.[军] High Explosive-Anti-Tank, 破甲弹"
heaven,[5hevEn],"n.天, 天空, 天堂"
here and there,[],"各处, 到处"
hide,[haid],"n.兽皮, 皮革//v.剥...的皮, 痛打, 隐藏, 掩藏, 隐瞒, 掩饰"
hillside,[`hilsaid],"n.山坡, 山腹"
hold one's breath,[],v.屏息
hold up,[],"v.举起, 支撑, 继续下去, 阻挡, 拦截"
honor,[5CnE],"n.尊敬, 敬意, 荣誉, 光荣//vt.尊敬, 给以荣誉"
honour,[5CnE],"n.尊敬, 敬意, 荣誉, 光荣//vt.尊敬, 给以荣誉"
horse-drawn,[],adj.马拉的（车）
host,[hEust],"n.主人, 旅馆招待 许多//vt.当主人招待//主机"
human,[5hju:mEn],"n.人, 人类//adj.人的, 人类的, 人性的, 有同情心的"
hunt,[hQnt],"v.打猎, 猎取, 搜索, 搜寻, 猎获//n.打猎, 猎取, 搜索, 搜寻, 狩猎"
hurricane,[5hQrikEn; -kin],"n.飓风, 狂风"
imagine,[i5mAdVin],"vt.想象, 设想"
immediately,[i5mi:djEtli],"adv.立即, 马上, 直接地"
in a hurry,[],"adv.匆忙, <口>轻易地"
in a short while,[],一会儿以后；不久
in place,[],"adv.在适当的位置, 适当"
in the hope of,[],adv.怀着希望
in this way,[],adv.这样
injure,[5indVE],"vt.损害, 伤害//v.伤害"
injured,[5indVEd],"adj.受伤的,受损害的,受委屈的"
injury,[5indVEri],"n.伤害, 侮辱"
insist,[in5sist],"v.坚持, 强调"
intend,[in5tend],"vt.想要, 打算, 意指, 意谓"
interview,[5intEvju:],"vt.接见, 会见//n.接见, 会见"
journalist,[5dVE:nElist],"n.新闻记者, 从事新闻杂志业的人"
joy,[dVCi],"n.欢乐, 喜悦, 快乐, 乐事, 乐趣//v.高兴"
judge,[dVQdV],"n.法官, 审判员, 裁判员, 鉴赏家, 鉴定人, (J-)最高的审判者//vt.审理, 鉴定, 判断, 判决, 断定, 认为//vi.下判断, 作评价"
juice,[dVu:s],"n.(水果)汁, 液"
keep back,[],"v.落在后面, 阻止, 隐瞒, 留下"
keeper,[5ki:pE],"n.监护人, 管理人, 看守人, 保管人"
kilometres per hour,[],=kph 公里\每小时
kiss,[kis],"n.吻, (风, 浪等)拂//vt.吻, 轻拂//vi.接吻"
knee,[ni:],"n.膝, 膝盖"
lamp,[lAmp],n.灯//vt.照亮
latest,[5leitist],adj.最近的
lay,[lei],"vt.放置, 铺设, 产(卵)提出, 平息, 布置//vi.下蛋, 打赌//n.位置, 层面, 形势, 短叙事诗//adj.世俗的, 外行的//vbl.lie的过去式"
lecture,[5lektFE],"n.演讲, 讲稿, 谴责, 教训//vt.演讲, 训诫, 说教//vi.讲演"
lifetime,[5laiftaim],"n.一生, 终生, 寿命"
likely,[5laikli],"adj.很可能的, 合适的, 可靠的, 有希望的//adv.或许, 很可能"
limit,[5limit],"n.界限, 限度, 限制//vt.限制, 限定"
line,[lain],"n.绳, 索, 线路, 航线, 诗句//vt.排成一行, 顺...排列, 划线于, 使有线条, 使起皱纹//vi.排队"
lion,[5laiEn],"n.狮子, (剽悍的人)社交场合的名流"
living,[5liviN],"n.生活, 生计, 生存空间, 居住面积//adj.活的, 起作用的, 逼真的, 现存的"
look round,[],"v.环顾, 观光, 察看//观光,仔细察看"
lorry,[5lCri],"n.<古>卡车, 铁路货车"
lose heart,[],v.丧失勇气
lose one's sight,[],丧失视力
magazine,[7mAgE5zi:n],"n.杂志, 期刊, 军火库, 弹药库, (枪、炮的)弹仓, 胶卷盒"
magic,[5mAdVik],"n.魔法, 巫术, 戏法//adj.魔术的, 有魔力的, 不可思议的"
make use of,[],v.使用//利用
male,[meil],"adj.男的, 雄的, 男性"
manage,[5mAnidV],"vi.处理, 应付过去//vt.管理, 控制, 操纵, 维持, 运用, 搞成, 设法, 达成"
manager,[5mAnidVE],"n.经理, 管理人员, 管理器"
manner,[5mAnE],"n.礼貌, 风格, 方式, 样式, 习惯"
manners,[],n.礼貌
material,[mE5tiEriEl],"n.材料, 原料, 物资, 素材, 布料//adj.物质的, 肉体的, 具体的, 重要的, 实质性的"
medical care,[],医疗护理
men's room,[],男厕所
midnight,[5mid7nait],n.午夜
mile,[mail],"n.英里, 较大的距离"
millionaire,[7miljE5nZE],"n.百万富翁, 大富豪"
mine,[main],"n.矿, 矿山, 矿井, 源泉, 宝库, 地雷, 水雷//vt.挖掘, 开采, 在...布雷, 破坏//vi.开矿, 埋设地雷//pron.我的"
minus,[5mainEs],"adj.负的, 减的//prep.减去//n.负数"
monitor,[5mCnitE],"n.班长, 监听器, 监视器, 监控器//vt.监控//v.监控"
mouse,[maus],"n.鼠, 耗子//v.搜寻"
moustache,[mEs5tB:F; mus-],"n.小胡子, (哺乳动物的)触须"
mouth-to-mouth,[],adj.嘴对嘴
mouthful,[5mauW7ful],"n.一口, 满口"
nation,[5neiFEn],"n.国家, 民族"
natural,[5nAtFErEl],"adj.自然的, 自然界的, 关于自然界的, 天生的, 天赋的, 普通的, 正常的, 简单自然的//本位号"
natural gas,[],天然气
nearby,[5niEbai],"adj.附近的, 邻近的//adv.在附近"
nicotine,[5nikEti:n; -tin],n.烟碱
nod,[nCd],"v.点头, 点...// n.点头"
non-smoker,[],n.不抽烟的人
normal,[5nC:mEl],"n.正规, 常态, [数学]法线//adj.正常的, 正规的, 标准的"
note,[nEut],"n.笔记, 短信, (外交)照会, 注解, 注释, 票据, 纸币, 音符//vt.注意, 记录, 笔记"
notebook,[5nEutbuk],"n.笔记簿, 笔记本"
notice,[5nEutis],"n.通知, 布告, 注意//v.注意到"
nuclear,[5nju:kliE],"adj.[核]核子的, 原子能的, 核的, 中心的"
nuclear waste,[],原子能工业废料
official,[E5fiFEl],"n.官员, 公务员//adj.职务上的, 公务的, 官方的, 正式的"
official language,[],官方语言
once upon a time,[],adv.从前
one another,[],"n.彼此, 相互"
operate,[5CpEreit],"v.操作, 运转, 开动, 起作用, 动手术, 开刀//n.[军]作军事行动"
or else,[],否则
or so,[],大约
order,[5C:dE],"n.次序, 顺序, 正常(工作)状态, 秩序, 会议规则, 命令, 定购, 定单//vt.命令, 定购, 定制"
ordinary,[5C:dinEri],"adj.平常的, 普通的, 平凡的//n.[律] 推事, <英>[宗]罪犯的忏悔牧师"
ought,[C:t],"aux.(～ to [verb] ) 应当, 应该"
ought to,[],v.应该
out of one's reach,[],够不着
pack,[pAk],"n.包裹, <贬>一群, 一副, 背包, 包装//vt.包装, 捆扎, 塞满, 压紧, 挑选//vi.包装货物, 挤, 群集, 被包装//背包"
packet,[5pAkit],"n.小包裹, 小捆//v.包装//信息包"
packs of,[],大量的；一大堆的
painful,[5peinful],"adj.疼痛的, 使痛苦的"
pale,[peil],"n.栅栏, 界线, 范围, (围篱用的)尖板条//adj.苍白的, 暗淡的, 无力的//vi.变苍白, 失色//vt.使变苍白, 使失色, 用栅栏围"
particular,[pE5tikjulE],"n.细节, 详细//adj.特殊的, 特别的, 独特的, 详细的, 精确的, 挑剔"
path,[pB:W],"n.小路, 小径, 路线, 轨道, 通道"
pay attention to,[],v.注意
penny,[5peni],"n.便士, <美> 分"
per,[pE:; pE],"prep.每, 每一, 由, 经"
perfect,[5pE:fikt],"n.完成式//adj.完美的, 全然的, 理想的, 正确的, 熟练的, 精通的完成式的//vt.使完美, 修改, 使熟练"
permission,[pE(:)5miFEn],"n.许可, 允许"
photographer,[fE5tCgrEfE],摄影师//n.摄影师
pianist,[5piEnist; 5pjAnist],"n.钢琴家, 钢琴演奏家"
piano,[pi5B:nEu; 5pjB:-],n.钢琴
pick out,[],v.挑选
pipe,[paip],"n.管, 导管, 烟斗, 管乐器, 笛声//vt.以管输送, 吹哨子//vi.吹笛, 尖叫"
plastic,[5plAstik; plB:stik],"n.塑胶, 可塑体, 塑料制品, 整形//adj.塑胶的, 塑造的, 有可塑性的, 造形的, (外科)整形的"
play the piano,[],弹钢琴
pleasant,[5plezEnt],"adj.令人愉快的, 舒适的"
point to,[],v.指向
poison,[5pCizn],"n.毒药, 败坏道德之事, 毒害//vt.毒害, 败坏, 使中毒//vi.放毒, 下毒"
pole,[pEul],"n.棒, 柱, 杆, 竿, 极, 磁极, 电极//vt.用竿支撑, 用棒推//vi.撑篙"
pollute,[pE5lu:t; -5lju:t],"vt.弄脏, 污染"
pollution,[pE5lu:FEn; -5lju:-],"n.污染, 玷污"
pool,[pu:l],"n.池, 撞球, 联营, 石油层//vt.合伙经营, 共享, 共有, 集中(钱、力量等), 采掘, 汇聚成//vi.汇合成塘, 郁积, 联营"
possibly,[5pCsEbli],"adv.可能地, 或者"
pour,[pC:; pCE],"v.灌注, 倾泻, 涌入, 流, 倾盆大雨"
power,[5pauE],"n.能力, 力量, 动力, 权力, [数]幂, [物]功率//vt.使...有力量, 供以动力, 激励"
power station,[],n.发电所
powerful,[5pauEful],"adj.强大的, 有力的"
present,[pri5zent],"n.赠品, 礼物, 现在, 瞄准//adj.现在的, 出席的, 当面的//vt.介绍, 引见, 给, 赠送, 上演, 提出, 呈现//vi.举枪瞄准"
probably,[5prCbEb(E)li],"adv.大概, 或许"
proud,[praud],"adj.自豪的, 得意的, 骄傲的, 妄自尊大的"
public,[5pQblik],"n.公众, (特定的)人群, 公共场所//adj.公众的, 公共的, 公立的, 公用的"
publish,[5pQbliF],"v.出版, 刊印//vt.公布, 发表"
pure,[pjuE],"adj.纯的, 纯粹的, 纯净的, 无垢的, 纯洁的, 完美的, 抽象的"
push over,[],v.推倒
put down,[],"v.放下, 拒绝, 镇压, 羞辱, 削减, 记下, 制止, 取缔"
quantity,[5kwCntiti],"n.量, 数量"
race,[reis],"n.种族, 种族气质, 种族特征, 赛跑, 急流, 姜根//vi.赛跑, 疾走//vt.与...赛跑, 使空转"
radiation,[7reidi5eiFEn],"n.发散, 发光, 发热, 辐射, 放射, 放射线, 放射物"
rail,[reil],"n.横杆, 围栏, 扶手, 铁轨//vt.以横木围栏, 铺铁轨//vi.责骂, 抱怨"
recent,[5ri:snt],"adj.新近的, 近来的"
reduce,[ri5dju:s],"vt.减少, 缩小, 简化, 还原"
refer,[ri5fE:],"vt.提交, 谈及, 归诸于, 指点把...提交, 使求助于//vi.提到, 涉及, 查阅, 咨询"
refer to,[],"v.查阅, 提到, 谈到, 打听"
remain,[ri5mein],"vi.保持, 逗留, 剩余, 残存"
rewrite,[ri:5rait],"v.重写, 改写"
right,[rait],"n.正义, 公正, 正确, 权利, 右边, 右派//adj.正当的, 正确的, 对的, 合适的, 恰当的, 健康的, 健全的, 正面的//adv.正当地, 正确地, 一直地, 直接地, 完全地, 彻底地, 在右边"
ring,[riN],"n.环, 环形物, 环状, 铃声, 声调, 打电话, 拳击场//vt.包围, 套住, 按铃, 敲钟//vi.成环形, 响, 鸣, 敲钟, 回响, 按铃"
